time,stage_id,ambient_temp_C,driver_power_request_W_profile,soc,T_core_C,voltage_V,current_A,pump_cmd,fan_cmd,mode,coolant_in_temp_C,coolant_flow_kgps,T_surface_C
0.0,stage1,35.0,0,0.8,30.0,381.184,0.0,0.0,0.0,0,26.959587986848234,0.1,30.0
0.1,stage1,35.0,0,0.8,30.0,381.184,0.0,0.0,0.0,0,35.00082429051034,0.0975,29.999351851851852
0.2,stage1,35.0,0,0.8,29.999999992893112,381.184,0.0,0.0,0.0,0,35.001580229093115,0.09516666666666666,29.998703937757202
0.3,stage1,35.0,0,0.8,29.99999997868198,381.184,0.0,0.0,0.0,0,35.00227406069352,0.09298888888888888,29.9980562576312
0.4,stage1,35.0,0,0.8,29.99999995736925,381.184,0.0,0.0,0.0,0,35.00291165890664,0.09095629629629629,29.997408811389032
0.5,stage1,35.0,0,0.8,29.999999928957564,381.184,0.0,0.0,0.0,0,35.003498516956256,0.0890592098765432,29.99676159894591
0.6,stage1,35.0,0,0.8,29.99999989344956,381.184,0.0,0.0,0.0,0,35.00403974550879,0.08728859588477365,29.996114620217075
0.7,stage1,35.0,0,0.8,29.99999985084788,381.184,0.0,0.0,0.0,0,35.00454007629037,0.08563602282578875,29.995467875117804
0.8,stage1,35.0,0,0.8,29.999999801155163,381.184,0.0,0.0,0.0,0,35.005003870493624,0.0840936213040695,29.994821363563403
0.9,stage1,35.0,0,0.8,29.999999744374048,381.184,0.0,0.0,0.0,0,35.00543513101199,0.08265404655046486,29.994175085469205
1.0,stage1,35.0,0,0.8,29.999999680507173,381.184,0.0,0.0,0.0,0,35.005837517613585,0.08131044344710053,29.99352904075058
1.1,stage1,35.0,0,0.8,29.999999609557175,381.184,0.0,0.0,0.0,0,35.00621436425615,0.0800564138839605,29.992883229322924
1.2,stage1,35.0,0,0.8,29.99999953152669,381.184,0.0,0.0,0.0,0,35.00656869784274,0.07888598629169646,29.992237651101668
1.3,stage1,35.0,0,0.8,29.999999446418354,381.184,0.0,0.0,0.0,0,35.00690325781773,0.07779358720558337,29.991592306002268
1.4,stage1,35.0,0,0.8,29.999999354234795,381.184,0.0,0.0,0.0,0,35.00722051610117,0.07677401472521114,29.99094719394021
1.5,stage1,35.0,0,0.8,29.99999925497865,381.184,0.0,0.0,0.0,0,35.007522696951696,0.0758224137435304,29.990302314831023
1.6,stage1,35.0,0,0.8,29.999999148652552,381.184,0.0,0.0,0.0,0,35.00781179643343,0.07493425282729503,29.98965766859025
1.7,stage1,35.0,0,0.8,29.99999903525913,381.184,0.0,0.0,0.0,0,35.008089601237735,0.0741053026388087,29.989013255133475
1.8,stage1,35.0,0,0.8,29.999998914801015,381.184,0.0,0.0,0.0,0,35.008357706676776,0.07333161579622145,29.98836907437631
1.9,stage1,35.0,0,0.8,29.999998787280834,381.184,0.0,0.0,0.0,0,35.00861753372204,0.07260950807647336,29.987725126234395
2.0,stage1,35.0,0,0.8,29.99999865270122,381.184,0.0,0.0,0.0,0,35.00887034500804,0.07193554087137513,29.987081410623407
2.1,stage1,35.0,0,0.8,29.999998511064792,381.184,0.0,0.0,0.0,0,35.009117259759456,0.07130650481328346,29.986437927459047
2.2,stage1,35.0,0,0.8,29.999998362374182,381.184,0.0,0.0,0.0,0,35.00935926763082,0.0707194044923979,29.98579467665705
2.3,stage1,35.0,0,0.8,29.999998206632014,381.184,0.0,0.0,0.0,0,35.00959724147134,0.0701714441929047,29.985151658133184
2.4,stage1,35.0,0,0.8,29.99999804384091,381.184,0.0,0.0,0.0,0,35.00983194904533,0.0696600145800444,29.98450887180324
2.5,stage1,35.0,0,0.8,29.999997874003498,381.184,0.0,0.0,0.0,0,35.010064063751706,0.0691826802747081,29.983866317583043
