time,Output
0.0,0.0
0.0001,1.3023846907652961e-09
0.0002,3.946701313412357e-09
0.00030000000000000003,7.468000124169532e-09
0.0004,1.2131305210994321e-08
0.0005,1.8982512097435635e-08
0.0006000000000000001,2.735641824496202e-08
0.0007,3.725302365357346e-08
0.0008,4.9104991259701184e-08
0.0009000000000000001,6.28248314559767e-08
0.001,7.832592991147571e-08
0.0011,9.559403342872505e-08
0.0012000000000000001,1.1460385207609129e-07
0.0013000000000000002,1.353740460622304e-07
0.0014,1.5790461538714233e-07
0.0015,1.818962680133358e-07
0.0016,2.0748233127836604e-07
0.0017000000000000001,2.3468077960057955e-07
0.0018000000000000002,2.633221025743225e-07
0.0019,2.932729163707403e-07
0.002,3.246618973553733e-07
0.0021000000000000003,3.574718183553379e-07
0.0022,3.913815602686087e-07
0.0023,4.2657346922917585e-07
0.0024000000000000002,4.630475452370398e-07
0.0025,5.006504309650749e-07
0.0026000000000000003,5.393240766445005e-07
0.0027,5.791152746587983e-07
0.0028,6.200064903620753e-07
0.0029000000000000002,6.619801891084386e-07
0.003,7.050092373584556e-07
0.0031000000000000003,7.489930395269246e-07
0.0032,7.939575174436473e-07
0.0033,8.398777161786255e-07
0.0034000000000000002,8.867286808018609e-07
0.0035,9.344854563833543e-07
0.0036000000000000003,9.831509447891045e-07
0.0037,1.0327036026935174e-06
0.0038,1.0831053778253955e-06
0.0039000000000000003,1.1343323672581698e-06
0.004,1.1863606680652707e-06
0.0041,1.2391663773201296e-06
0.004200000000000001,1.2927255920961774e-06
0.0043,1.3470144094668446e-06
0.0044,1.4020089265055627e-06
0.0045000000000000005,1.4576852402857625e-06
0.0046,1.514123968463411e-06
0.0047,1.5712639456094642e-06
0.0048000000000000004,1.6290577112779168e-06
0.0049,1.687485124454097e-06
0.005,1.746526044123335e-06
0.0051,1.8061603292709588e-06
0.005200000000000001,1.8663678388822973e-06
0.0053,1.9271284319426787e-06
0.0054,1.988421967437433e-06
0.0055000000000000005,2.0502283043518885e-06
0.0056,2.112615929844383e-06
0.0057,2.175511018824094e-06
0.0058000000000000005,2.2388891967279677e-06
0.0059,2.3027329323769818e-06
0.006,2.367024694592115e-06
0.0061,2.431746952194347e-06
0.006200000000000001,2.4968821740046554e-06
0.0063,2.562412828844018e-06
0.0064,2.6283213855334163e-06
0.006500000000000001,2.694592097253458e-06
0.0066,2.7612342526172626e-06
0.0067,2.828210415351515e-06
0.0068000000000000005,2.89550385104838e-06
0.006900000000000001,2.963097825300026e-06
0.007,3.030975603698618e-06
0.0071,3.099120451836324e-06
0.007200000000000001,3.1675156353053095e-06
0.0073,3.236144419697742e-06
0.0074,3.3049900706057873e-06
0.007500000000000001,3.37403679158447e-06
0.0076,3.4432710576284917e-06
0.0077,3.51267340404905e-06
0.0078000000000000005,3.5822272244664516e-06
0.0079,3.651915912501006e-06
0.008,3.72172286177302e-06
0.0081,3.7916314659028037e-06
0.0082,3.861625118510666e-06
0.0083,3.9316872132169125e-06
0.008400000000000001,4.0018011436418544e-06
0.0085,4.0719774706921106e-06
0.0086,4.142229630497056e-06
0.008700000000000001,4.2125000826326785e-06
0.0088,4.282772640084317e-06
0.0089,4.353031115837317e-06
0.009000000000000001,4.423259322877022e-06
0.0091,4.493441074188774e-06
0.0092,4.563560182757915e-06
0.009300000000000001,4.6336004615697905e-06
0.0094,4.703545723609742e-06
0.0095,4.7733797818631115e-06
0.009600000000000001,4.843086449315244e-06
0.0097,4.912649538951481e-06
0.0098,4.982052863757165e-06
0.0099,5.051280236717642e-06
0.01,5.120315470818251e-06
0.010100000000000001,5.1891423790443385e-06
0.0102,5.257744774381244e-06
0.0103,5.326106469814313e-06
0.010400000000000001,5.394211278328888e-06
0.0105,5.4621379785769015e-06
0.0106,5.529963633778157e-06
0.010700000000000001,5.597523877662595e-06
0.0108,5.664804396727058e-06
0.0109,5.731790877468391e-06
0.011000000000000001,5.79846900638344e-06
0.0111,5.864824469969045e-06
0.0112,5.930842954722054e-06
0.011300000000000001,5.9965101471393096e-06
0.0114,6.061811733717655e-06
0.0115,6.126733400953935e-06
0.011600000000000001,6.191260835344995e-06
0.0117,6.255379723387676e-06
0.0118,6.319075751578824e-06
0.0119,6.382334606415283e-06
0.012,6.445141974393898e-06
0.012100000000000001,6.507483542011513e-06
0.0122,6.569344995764969e-06
0.0123,6.630712022151111e-06
0.012400000000000001,6.691570307666787e-06
0.0125,6.7520381807123944e-06
0.0126,6.8122315736836384e-06
0.012700000000000001,6.871929205873216e-06
0.0128,6.931119380577711e-06
0.0129,6.98979040109371e-06
0.013000000000000001,7.0479305707178024e-06
0.0131,7.10552819274657e-06
0.0132,7.162571570476601e-06
0.013300000000000001,7.2190490072044825e-06
0.0134,7.274948806226799e-06
0.0135,7.330259270840136e-06
0.013600000000000001,7.384968704341083e-06
0.0137,7.4390654100262235e-06
0.013800000000000002,7.4925376911921455e-06
0.013900000000000001,7.545373851135433e-06
0.014,7.597562193152673e-06
0.014100000000000001,7.649091020540454e-06
0.0142,7.699948636595357e-06
0.0143,7.750123344613972e-06
0.014400000000000001,7.799603447892888e-06
0.0145,7.84851784054725e-06
0.0146,7.896992877100629e-06
0.014700000000000001,7.944797490591294e-06
0.0148,7.99192275793418e-06
0.0149,8.038359756044225e-06
0.015000000000000001,8.084099561836366e-06
0.0151,8.129133252225537e-06
0.0152,8.173451904126678e-06
0.015300000000000001,8.217046594454724e-06
0.0154,8.259908400124612e-06
0.0155,8.30202839805128e-06
0.015600000000000001,8.343397665149663e-06
0.015700000000000002,8.384007278334698e-06
0.0158,8.423848314521324e-06
0.0159,8.462911850624475e-06
0.016,8.501188963559092e-06
0.0161,8.538670730240104e-06
0.0162,8.575348227582456e-06
0.016300000000000002,8.611212532501082e-06
0.0164,8.646254721910915e-06
0.0165,8.680692977465966e-06
0.0166,8.714741378466408e-06
0.0167,8.748036639957863e-06
0.016800000000000002,8.780574319246503e-06
0.016900000000000002,8.812349973638504e-06
0.017,8.843359160440045e-06
0.0171,8.8735974369573e-06
0.0172,8.903060360496445e-06
0.0173,8.931743488363656e-06
0.017400000000000002,8.95964237786511e-06
0.0175,8.98675258630698e-06
0.0176,9.013069670995444e-06
0.0177,9.038589189236678e-06
0.0178,9.063306698336857e-06
0.0179,9.087217755602158e-06
0.018000000000000002,9.110317918338755e-06
0.0181,9.132602743852827e-06
0.0182,9.154067789450545e-06
0.0183,9.17470861243809e-06
0.0184,9.194520770121633e-06
0.018500000000000003,9.213871603839928e-06
0.018600000000000002,9.23312173913329e-06
0.0187,9.251686621746574e-06
0.0188,9.26956914365422e-06
0.0189,9.286772196830668e-06
0.019,9.30329867325036e-06
0.019100000000000002,9.319151464887736e-06
0.019200000000000002,9.334333463717235e-06
0.0193,9.348847561713299e-06
0.0194,9.362696650850366e-06
0.0195,9.37588362310288e-06
0.0196,9.388411370445279e-06
0.019700000000000002,9.400282784852004e-06
0.0198,9.411500758297494e-06
0.0199,9.42206818275619e-06
0.02,9.431987950202533e-06
0.0201,9.441262952610964e-06
0.020200000000000003,9.449896081955921e-06
0.020300000000000002,9.457890230211848e-06
0.0204,9.465248289353182e-06
0.0205,9.472092359203725e-06
0.0206,9.478542386251422e-06
0.0207,9.484415257033269e-06
0.020800000000000003,9.489716215292347e-06
0.020900000000000002,9.49445050477174e-06
0.021,9.49862336921453e-06
0.0211,9.502240052363802e-06
0.0212,9.505305797962635e-06
0.0213,9.507825849754116e-06
0.021400000000000002,9.509805451481324e-06
0.021500000000000002,9.511249846887344e-06
0.0216,9.51216427971526e-06
0.0217,9.512553993708153e-06
0.0218,9.512424232609106e-06
0.0219,9.511780240161203e-06
0.022000000000000002,9.510627260107525e-06
0.0221,9.508970536191157e-06
0.0222,9.50681531215518e-06
0.0223,9.504166831742678e-06
0.0224,9.501030338696734e-06
0.022500000000000003,9.497104829506335e-06
0.022600000000000002,9.492094832621629e-06
0.0227,9.486483443326269e-06
0.0228,9.480269863624534e-06
0.0229,9.473453295520706e-06
0.023,9.466032941019064e-06
0.023100000000000002,9.458008002123888e-06
0.023200000000000002,9.449377680839459e-06
0.0233,9.440141179170057e-06
0.0234,9.430297699119965e-06
0.0235,9.419846442693462e-06
0.0236,9.408786611894826e-06
0.023700000000000002,9.39711740872834e-06
0.0238,9.384838035198286e-06
0.0239,9.371947693308942e-06
0.024,9.358445585064588e-06
0.0241,9.344330912469505e-06
0.024200000000000003,9.329602877527975e-06
0.024300000000000002,9.314260682244277e-06
0.0244,9.298303528622693e-06
0.0245,9.281517087426459e-06
0.0246,9.263690886584924e-06
0.0247,9.245157310624429e-06
0.024800000000000003,9.225911348940104e-06
0.024900000000000002,9.205947990927082e-06
0.025,9.185262225980495e-06
0.0251,9.163849043495471e-06
0.0252,9.141703432867144e-06
0.0253,9.118820383490644e-06
0.025400000000000002,9.095194884761102e-06
0.025500000000000002,9.07082192607365e-06
0.0256,9.045696496823419e-06
0.0257,9.01981358640554e-06
0.0258,8.993168184215142e-06
0.025900000000000003,8.965755279647362e-06
0.026000000000000002,8.937569862097324e-06
0.0261,8.908606920960165e-06
0.0262,8.878861445631012e-06
0.0263,8.848328425505e-06
0.0264,8.817002849977258e-06
0.026500000000000003,8.784913279184755e-06
0.026600000000000002,8.752087666852365e-06
0.0267,8.718468620417531e-06
0.0268,8.68405179156917e-06
0.0269,8.648832831996203e-06
0.027,8.612807393387545e-06
0.027100000000000003,8.575971127432115e-06
0.027200000000000002,8.53831968581883e-06
0.0273,8.49984872023661e-06
0.0274,8.460553882374372e-06
0.0275,8.420430823921034e-06
0.027600000000000003,8.379475196565512e-06
0.027700000000000002,8.337682651996727e-06
0.027800000000000002,8.295048841903596e-06
