time,stage_id,ambient_temp_C,driver_power_request_W_profile,coolant_in_temp_C,coolant_flow_kgps,pump_cmd,fan_cmd
0.0,stage1,35.0,0,26.959587986848234,0.1,0.5,0.5
0.1,stage1,35.0,0,35.00082429051034,0.0975,0.5,0.5
0.2,stage1,35.0,0,35.001580229093115,0.09516666666666666,0.5,0.5
0.3,stage1,35.0,0,35.00227406069352,0.09298888888888888,0.5,0.5
0.4,stage1,35.0,0,35.00291165890664,0.09095629629629629,0.5,0.5
0.5,stage1,35.0,0,35.003498516956256,0.0890592098765432,0.5,0.5
0.6,stage1,35.0,0,35.00403974550879,0.08728859588477365,0.5,0.5
0.7,stage1,35.0,0,35.00454007629037,0.08563602282578875,0.5,0.5
0.8,stage1,35.0,0,35.005003870493624,0.0840936213040695,0.5,0.5
0.9,stage1,35.0,0,35.00543513101199,0.08265404655046486,0.5,0.5
1.0,stage1,35.0,0,35.005837517613585,0.08131044344710053,0.5,0.5
1.1,stage1,35.0,0,35.00621436425615,0.0800564138839605,0.5,0.5
1.2,stage1,35.0,0,35.00656869784274,0.07888598629169646,0.5,0.5
1.3,stage1,35.0,0,35.00690325781773,0.07779358720558337,0.5,0.5
1.4,stage1,35.0,0,35.00722051610117,0.07677401472521114,0.5,0.5
1.5,stage1,35.0,0,35.007522696951696,0.0758224137435304,0.5,0.5
1.6,stage1,35.0,0,35.00781179643343,0.07493425282729503,0.5,0.5
1.7,stage1,35.0,0,35.008089601237735,0.0741053026388087,0.5,0.5
1.8,stage1,35.0,0,35.008357706676776,0.07333161579622145,0.5,0.5
1.9,stage1,35.0,0,35.00861753372204,0.07260950807647336,0.5,0.5
2.0,stage1,35.0,0,35.00887034500804,0.07193554087137513,0.5,0.5
2.1,stage1,35.0,0,35.009117259759456,0.07130650481328346,0.5,0.5
2.2,stage1,35.0,0,35.00935926763082,0.0707194044923979,0.5,0.5
2.3,stage1,35.0,0,35.00959724147134,0.0701714441929047,0.5,0.5
2.4,stage1,35.0,0,35.00983194904533,0.0696600145800444,0.5,0.5
2.5,stage1,35.0,0,35.010064063751706,0.0691826802747081,0.5,0.5
2.6,stage1,35.0,0,35.010294174394744,0.06873716825639423,0.5,0.5
2.7,stage1,35.0,0,35.01052279406383,0.06832135703930128,0.5,0.5
2.8,stage1,35.0,0,35.01075036818286,0.06793326657001453,0.5,0.5
2.9,stage1,35.0,0,35.01097728179077,0.06757104879868023,0.5,0.5
3.0,stage1,35.0,0,35.01120386611405,0.06723297887876821,0.5,0.5
3.1,stage1,35.0,0,35.01143040449019,0.06691744695351699,0.5,0.5
3.2,stage1,35.0,0,35.01165713769859,0.06662295048994919,0.5,0.5
3.3,stage1,35.0,0,35.01188426875219,0.06634808712395258,0.5,0.5
3.4,stage1,35.0,0,35.01211196719969,0.06609154798235574,0.5,0.5
3.5,stage1,35.0,0,35.012340372984724,0.06585211145019869,0.5,0.5
3.6,stage1,35.0,0,35.01256959990473,0.06562863735351877,0.5,0.5
3.7,stage1,35.0,0,35.01279973870861,0.06542006152995085,0.5,0.5
3.8,stage1,35.0,0,35.013030859869126,0.06522539076128746,0.5,0.5
3.9,stage1,35.0,0,35.01326301606246,0.0650436980438683,0.5,0.5
4.0,stage1,35.0,0,35.013496244384555,0.06487411817427707,0.5,0.5
4.1,stage1,35.0,0,35.013730568330956,0.06471584362932527,0.5,0.5
4.2,stage1,35.0,0,35.01396599956423,0.06456812072070359,0.5,0.5
4.3,stage1,35.0,0,35.01420253949074,0.06443024600599001,0.5,0.5
4.4,stage1,35.0,0,35.01444018066638,0.06430156293892401,0.5,0.5
4.5,stage1,35.0,0,35.01467890804872,0.06418145874299575,0.5,0.5
4.6,stage1,35.0,0,35.0149187001116,0.06406936149346269,0.5,0.5
4.7,stage1,35.0,0,35.015159529836104,0.06396473739389852,0.5,0.5
4.8,stage1,35.0,0,35.015401365590854,0.06386708823430529,0.5,0.5
4.9,stage1,35.0,0,35.01564417191296,0.06377594901868493,0.5,0.5
5.0,stage1,35.0,0,35.01588791019989,0.0636908857507726,0.5,0.5
5.1,stage1,35.0,0,35.01613253932153,0.06361149336738776,0.5,0.5
