time,stage_id,x2,v2
0.0,stage1,0.0,0.0
0.001,stage1,6.649226464178007e-05,0.016597735773914817
0.002,stage1,6.649226464178007e-05,0.016597735773914817
0.003,stage1,6.649226464178007e-05,0.016597735773914817
0.004,stage1,6.649226464178007e-05,0.016597735773914817
0.005,stage1,6.649226464178007e-05,0.016597735773914817
0.006,stage1,6.649226464178007e-05,0.016597735773914817
0.007,stage1,6.649226464178007e-05,0.016597735773914817
0.008,stage1,6.649226464178007e-05,0.016597735773914817
0.009,stage1,6.649226464178007e-05,0.016597735773914817
0.01,stage1,6.649226464178007e-05,0.016597735773914817
0.011,stage1,0.00033125020139750566,0.03631828536143366
0.012,stage1,0.00033125020139750566,0.03631828536143366
0.013,stage1,0.00033125020139750566,0.03631828536143366
0.014,stage1,0.00033125020139750566,0.03631828536143366
0.015,stage1,0.00033125020139750566,0.03631828536143366
0.016,stage1,0.00033125020139750566,0.03631828536143366
0.017,stage1,0.00033125020139750566,0.03631828536143366
0.018,stage1,0.00033125020139750566,0.03631828536143366
0.019,stage1,0.00033125020139750566,0.03631828536143366
0.02,stage1,0.00033125020139750566,0.03631828536143366
0.021,stage1,0.0007921207180041337,0.055818659523709235
0.022,stage1,0.0007921207180041337,0.055818659523709235
0.023,stage1,0.0007921207180041337,0.055818659523709235
0.024,stage1,0.0007921207180041337,0.055818659523709235
0.025,stage1,0.0007921207180041337,0.055818659523709235
0.026,stage1,0.0007921207180041337,0.055818659523709235
0.027,stage1,0.0007921207180041337,0.055818659523709235
0.028,stage1,0.0007921207180041337,0.055818659523709235
0.029,stage1,0.0007921207180041337,0.055818659523709235
0.03,stage1,0.0007921207180041337,0.055818659523709235
0.031,stage1,0.0014468547304162373,0.07508943011308744
0.032,stage1,0.0014468547304162373,0.07508943011308744
0.033,stage1,0.0014468547304162373,0.07508943011308744
0.034,stage1,0.0014468547304162373,0.07508943011308744
0.035,stage1,0.0014468547304162373,0.07508943011308744
0.036,stage1,0.0014468547304162373,0.07508943011308744
0.037,stage1,0.0014468547304162373,0.07508943011308744
0.038,stage1,0.0014468547304162373,0.07508943011308744
0.039,stage1,0.0014468547304162373,0.07508943011308744
0.04,stage1,0.0014468547304162373,0.07508943011308744
0.041,stage1,0.0022931100150758786,0.09412139776712827
0.042,stage1,0.0022931100150758786,0.09412139776712827
0.043,stage1,0.0022931100150758786,0.09412139776712827
0.044,stage1,0.0022931100150758786,0.09412139776712827
0.045,stage1,0.0022931100150758786,0.09412139776712827
0.046,stage1,0.0022931100150758786,0.09412139776712827
0.047,stage1,0.0022931100150758786,0.09412139776712827
0.048,stage1,0.0022931100150758786,0.09412139776712827
0.049,stage1,0.0022931100150758786,0.09412139776712827
