time,V_in,V_out
0.0,0.0,0.0
0.1,0.05,0.0
0.1,0.05,0.0
0.2,0.1,0.0
0.2,0.1,0.0
0.30000000000000004,0.15000000000000002,0.00020690901900432797
0.30000000000000004,0.15000000000000002,0.00020690901900432797
0.4,0.2,0.0014613365635212558
0.4,0.2,0.0014613365635212558
0.5,0.25,0.00397895951773586
0.5,0.25,0.00397895951773586
0.6000000000000001,0.3,0.00795243733721095
0.6000000000000001,0.3,0.00795243733721095
0.7000000000000001,0.35,0.013588087222321124
0.7000000000000001,0.35,0.013588087222321124
0.8,0.4,0.0208405216894567
0.8,0.4,0.0208405216894567
0.9,0.45,0.029872618934354327
0.9,0.45,0.029872618934354327
1.0,0.5,0.04072237100917554
1.0,0.5,0.04072237100917554
1.1,0.55,0.05346553261095622
1.1,0.55,0.05346553261095622
1.2000000000000002,0.6000000000000001,0.06804901597707133
1.2000000000000002,0.6000000000000001,0.06804901597707133
1.3,0.65,0.08451462847605978
1.3,0.65,0.08451462847605978
1.4000000000000001,0.7000000000000001,0.10277178177279689
1.4000000000000001,0.7000000000000001,0.10277178177279689
1.5,0.75,0.1228356186618791
1.5,0.75,0.1228356186618791
1.6,0.8,0.14459125284774524
1.6,0.8,0.14459125284774524
1.7000000000000002,0.8500000000000001,0.16803278806880084
1.7000000000000002,0.8500000000000001,0.16803278806880084
1.8,0.9,0.1931640806827386
1.8,0.9,0.1931640806827386
1.9000000000000001,0.9500000000000001,0.21991899787597846
1.9000000000000001,0.9500000000000001,0.21991899787597846
2.0,1.0,0.24809104339970647
2.0,1.0,0.24809104339970647
2.1,1.0,0.27765688057111787
2.1,1.0,0.27765688057111787
2.2,1.0,0.30840142820775734
2.2,1.0,0.30840142820775734
2.3000000000000003,1.0,0.33983743478838246
2.3000000000000003,1.0,0.33983743478838246
2.4000000000000004,1.0,0.37155196760417536
2.4000000000000004,1.0,0.37155196760417536
2.5,1.0,0.40320847913057356
2.5,1.0,0.40320847913057356
2.6,1.0,0.43453120664429884
2.6,1.0,0.43453120664429884
2.7,1.0,0.4652966535531602
2.7,1.0,0.4652966535531602
2.8000000000000003,1.0,0.49532744895916125
2.8000000000000003,1.0,0.49532744895916125
2.9000000000000004,1.0,0.5244841118594519
2.9000000000000004,1.0,0.5244841118594519
3.0,1.0,0.5526616813271409
3.0,1.0,0.5526616813271409
3.1,1.0,0.5797833493652099
3.1,1.0,0.5797833493652099
3.2,1.0,0.6057948165815468
3.2,1.0,0.6057948165815468
3.3000000000000003,1.0,0.6306610467122492
3.3000000000000003,1.0,0.6306610467122492
3.4000000000000004,1.0,0.6543641863971474
3.4000000000000004,1.0,0.6543641863971474
3.5,1.0,0.6769003428122801
3.5,1.0,0.6769003428122801
3.6,1.0,0.6982769896738867
3.6,1.0,0.6982769896738867
3.7,1.0,0.7185108618278401
3.7,1.0,0.7185108618278401
3.8000000000000003,1.0,0.7376259623219558
3.8000000000000003,1.0,0.7376259623219558
3.9000000000000004,1.0,0.7556525663653872
3.9000000000000004,1.0,0.7556525663653872
4.0,1.0,0.7726246158311844
4.0,1.0,0.7726246158311844
4.1000000000000005,1.0,0.7885799641068955
4.1000000000000005,1.0,0.7885799641068955
4.2,1.0,0.8035581397669685
4.2,1.0,0.8035581397669685
4.3,1.0,0.8176004408980373
4.3,1.0,0.8176004408980373
4.4,1.0,0.8307492571808693
4.4,1.0,0.8307492571808693
4.5,1.0,0.8430470547746021
4.5,1.0,0.8430470547746021
4.6000000000000005,1.0,0.8545369023562303
4.6000000000000005,1.0,0.8545369023562303
4.7,1.0,0.8652609957275534
4.7,1.0,0.8652609957275534
4.800000000000001,1.0,0.875261244568423
4.800000000000001,1.0,0.875261244568423
4.9,1.0,0.8845783145705036
4.9,1.0,0.8845783145705036
5.0,1.0,0.8932517679261622
5.0,1.0,0.8932517679261622
