time,stage_id,valve,level,leak
0.0,stage1,False,0.0,False
0.01,stage1,False,0.01,False
0.02,stage1,False,0.02,False
0.03,stage1,False,0.030000000000000002,False
0.04,stage1,False,0.04,False
0.05,stage1,False,0.049999999999999996,False
0.06,stage1,False,0.05999999999999999,False
0.07,stage1,False,0.06999999999999998,False
0.08,stage1,False,0.07999999999999996,False
0.09,stage1,False,0.08999999999999994,False
0.1,stage1,False,0.1099999999999999,False
0.11,stage1,False,0.11999999999999988,False
0.12,stage1,False,0.1299999999999999,False
0.13,stage1,False,0.1399999999999999,False
0.14,stage1,False,0.1499999999999999,False
0.15,stage1,False,0.1499999999999999,False
0.16,stage1,False,0.15999999999999992,False
0.17,stage1,False,0.16999999999999993,False
0.18,stage1,False,0.17999999999999994,False
0.19,stage1,False,0.18999999999999995,False
0.2,stage1,False,0.19999999999999996,False
0.21,stage1,False,0.20999999999999996,False
0.22,stage1,False,0.21999999999999997,False
0.23,stage1,False,0.22999999999999998,False
0.24,stage1,False,0.24,False
0.25,stage1,False,0.25,False
0.26,stage1,False,0.26,False
0.27,stage1,False,0.27,False
0.28,stage1,False,0.28,False
0.29,stage1,False,0.29000000000000004,False
0.3,stage1,False,0.30000000000000004,False
0.31,stage1,False,0.31000000000000005,False
0.32,stage1,False,0.32000000000000006,False
0.33,stage1,False,0.33000000000000007,False
0.34,stage1,False,0.3400000000000001,False
0.35,stage1,False,0.3500000000000001,False
0.36,stage1,False,0.3600000000000001,False
0.37,stage1,False,0.3700000000000001,False
0.38,stage1,False,0.3800000000000001,False
0.39,stage1,False,0.3900000000000001,False
0.4,stage1,False,0.40000000000000013,False
0.41,stage1,False,0.41000000000000014,False
0.42,stage1,False,0.42000000000000015,False
0.43,stage1,False,0.43000000000000016,False
0.44,stage1,False,0.44000000000000017,False
0.45,stage1,False,0.4500000000000002,False
0.46,stage1,False,0.4600000000000002,False
0.47,stage1,False,0.4700000000000002,False
0.48,stage1,False,0.4800000000000002,False
0.49,stage1,False,0.4900000000000002,False
0.5,stage1,False,0.5000000000000002,False
0.51,stage1,False,0.5100000000000002,False
0.52,stage1,False,0.5200000000000002,False
0.53,stage1,False,0.5300000000000002,False
0.54,stage1,False,0.5400000000000003,False
0.55,stage1,False,0.5500000000000003,False
0.56,stage1,False,0.5600000000000003,False
0.57,stage1,False,0.5700000000000003,False
0.58,stage1,False,0.5800000000000003,False
0.59,stage1,False,0.5900000000000003,False
0.6,stage1,False,0.6000000000000003,False
0.61,stage1,False,0.6100000000000003,False
0.62,stage1,False,0.6200000000000003,False
0.63,stage1,False,0.6300000000000003,False
0.64,stage1,False,0.6400000000000003,False
0.65,stage1,False,0.6500000000000004,False
0.66,stage1,False,0.6600000000000004,False
0.67,stage1,False,0.6700000000000004,False
0.68,stage1,False,0.6800000000000004,False
0.69,stage1,False,0.6900000000000004,False
0.7,stage1,False,0.7000000000000004,False
0.71,stage1,False,0.7100000000000004,False
0.72,stage1,False,0.7200000000000004,False
0.73,stage1,False,0.7300000000000004,False
0.74,stage1,False,0.7400000000000004,False
0.75,stage1,False,0.7500000000000004,False
0.76,stage1,False,0.7600000000000005,False
0.77,stage1,False,0.7700000000000005,False
0.78,stage1,False,0.7800000000000005,False
0.79,stage1,False,0.7900000000000005,False
0.8,stage1,False,0.8000000000000005,False
0.81,stage1,False,0.8100000000000005,False
0.82,stage1,False,0.8200000000000005,False
0.83,stage1,False,0.8300000000000005,False
0.84,stage1,False,0.8400000000000005,False
0.85,stage1,False,0.8500000000000005,False
0.86,stage1,False,0.8600000000000005,False
0.87,stage1,False,0.8700000000000006,False
0.88,stage1,False,0.8800000000000006,False
0.89,stage1,False,0.8900000000000006,False
0.9,stage1,False,0.9000000000000006,False
0.91,stage1,False,0.9100000000000006,False
0.92,stage1,False,0.9200000000000006,False
0.93,stage1,False,0.9300000000000006,False
0.94,stage1,False,0.9400000000000006,False
0.95,stage1,False,0.9500000000000006,False
0.96,stage1,False,0.9600000000000006,False
0.97,stage1,False,0.9700000000000006,False
0.98,stage1,False,0.9800000000000006,False
0.99,stage1,False,0.9900000000000007,False
1.0,stage1,False,1.0000000000000007,False
1.01,stage1,False,1.010000000000001,False
1.02,stage1,False,1.0200000000000011,False
1.03,stage1,False,1.0300000000000014,False
1.04,stage1,False,1.0400000000000016,False
1.05,stage1,False,1.0500000000000018,False
1.06,stage1,False,1.060000000000002,False
1.07,stage1,False,1.0700000000000023,False
1.08,stage1,False,1.0800000000000025,False
1.09,stage1,False,1.0900000000000027,False
1.1,stage1,False,1.100000000000003,False
1.11,stage1,False,1.1100000000000032,False
1.12,stage1,False,1.1200000000000034,False
1.13,stage1,False,1.1300000000000037,False
1.14,stage1,False,1.140000000000004,False
1.15,stage1,False,1.1500000000000041,False
1.16,stage1,False,1.1600000000000044,False
1.17,stage1,False,1.1700000000000046,False
1.18,stage1,False,1.1800000000000048,False
