time,stage_id,ambient_temp_C_profile,enable,i_load_A_profile,temp_ref_C,temp_cell_C,pump_cmd,soc,v_term_V
0.0,stage1,25.0,True,40.0,35.0,30.0,0.2,0.85,359.6586
0.01,stage1,25.0,True,40.0,35.0,29.999963075692307,0.198,0.85,359.6586
0.02,stage1,25.0,True,40.0,35.0,29.999926150835538,0.19602,0.85,359.6586
0.03,stage1,25.0,True,40.0,35.0,29.999889225429715,0.1940598,0.85,359.6586
0.04,stage1,25.0,True,40.0,35.0,29.999852299474853,0.19211920200000002,0.85,359.6586
0.05,stage1,25.0,True,40.0,35.0,29.999815372970957,0.19019800998000003,0.85,359.6586
0.06,stage1,25.0,True,40.0,35.0,29.999778445918025,0.18829602988020003,0.85,359.6586
0.07,stage1,25.0,True,40.0,35.0,29.999741518316046,0.18641306958139803,0.85,359.6586
0.08,stage1,25.0,True,40.0,35.0,29.999704590165006,0.18454893888558405,0.85,359.6586
0.09,stage1,25.0,True,40.0,35.0,29.999667661464876,0.1827034494967282,0.85,359.6586
0.1,stage1,25.0,True,40.0,35.0,29.99963073221563,0.1808764150017609,0.85,359.6586
0.11,stage1,25.0,True,40.0,35.0,29.99959380241722,0.1790676508517433,0.85,359.6586
0.12,stage1,25.0,True,40.0,35.0,29.999556872069608,0.17727697434322587,0.85,359.6586
0.13,stage1,25.0,True,40.0,35.0,29.999519941172736,0.1755042045997936,0.85,359.6586
0.14,stage1,25.0,True,40.0,35.0,29.99948300972655,0.17374916255379566,0.85,359.6586
0.15,stage1,25.0,True,40.0,35.0,29.99944607773098,0.1720116709282577,0.85,359.6586
0.16,stage1,25.0,True,40.0,35.0,29.999409145185957,0.17029155421897513,0.85,359.6586
0.17,stage1,25.0,True,40.0,35.0,29.9993722120914,0.16858863867678536,0.85,359.6586
0.18,stage1,25.0,True,40.0,35.0,29.999335278447234,0.16690275229001753,0.85,359.6586
0.19,stage1,25.0,True,40.0,35.0,29.99929834425336,0.16523372476711734,0.85,359.6586
0.2,stage1,25.0,True,40.0,35.0,29.999261409509696,0.16358138751944618,0.85,359.6586
0.21,stage1,25.0,True,40.0,35.0,29.99922447421614,0.16194557364425172,0.85,359.6586
0.22,stage1,25.0,True,40.0,35.0,29.999187538372585,0.1603261179078092,0.85,359.6586
0.23,stage1,25.0,True,40.0,35.0,29.999150601978926,0.15872285672873113,0.85,359.6586
0.24,stage1,25.0,True,40.0,35.0,29.999113665035054,0.15713562816144383,0.85,359.6586
0.25,stage1,25.0,True,40.0,35.0,29.99907672754085,0.15556427187982938,0.85,359.6586
0.26,stage1,25.0,True,40.0,35.0,29.999039789496198,0.15400862916103109,0.85,359.6586
0.27,stage1,25.0,True,40.0,35.0,29.999002850900975,0.15246854286942077,0.85,359.6586
0.28,stage1,25.0,True,40.0,35.0,29.998965911755054,0.15094385744072655,0.85,359.6586
0.29,stage1,25.0,True,40.0,35.0,29.998928972058305,0.1494344188663193,0.85,359.6586
0.3,stage1,25.0,True,40.0,35.0,29.9988920318106,0.1479400746776561,0.85,359.6586
0.31,stage1,25.0,True,40.0,35.0,29.998855091011798,0.14646067393087955,0.85,359.6586
0.32,stage1,25.0,True,40.0,35.0,29.998818149661766,0.14499606719157077,0.85,359.6586
0.33,stage1,25.0,True,40.0,35.0,29.998781207760363,0.14354610651965505,0.85,359.6586
0.34,stage1,25.0,True,40.0,35.0,29.998744265307447,0.1421106454544585,0.85,359.6586
