time,outputs[1],outputs[2]
0.0,25.0,20.0
0.001,25.0,20.009999980000032
0.002,25.0,20.019998567862956
0.003,25.0,20.029995763813247
0.004,25.0,20.039991568075493
0.005,25.0,20.049985980874112
0.006,25.0,20.059979002433522
0.007,25.0,20.069970632978084
0.008,25.0,20.0799608727321
0.009000000000000001,25.0,20.08994972191988
0.01,25.0,20.099937180765608
0.011,25.0,20.10992324949342
0.012,25.0,20.119907928327507
0.013000000000000001,25.0,20.12989121749189
0.014,25.0,20.13987311721064
0.015,25.0,20.149853627707728
0.016,25.0,20.159832749207055
0.017,25.0,20.16981048193253
0.018000000000000002,25.0,20.179786826108
0.019,25.0,20.189761781957202
0.02,25.0,20.19973534970393
0.021,25.0,20.20970752957186
0.022,25.0,20.21967832178467
0.023,25.0,20.22964772656593
0.024,25.0,20.2396157441392
0.025,25.0,20.249582374727993
0.026000000000000002,25.0,20.259547618555757
0.027,25.0,20.269511475845945
0.028,25.0,20.279473946821838
0.029,25.0,20.28943503170683
0.03,25.0,20.299394730724146
0.031,25.0,20.30935304409701
0.032,25.0,20.319309972048643
0.033,25.0,20.329265514802103
0.034,25.0,20.339219672580498
0.035,25.0,20.349172445606882
0.036000000000000004,25.0,20.359123834104196
0.037,25.0,20.369073838295435
0.038,25.0,20.379022458403426
0.039,25.0,20.388969694651053
0.04,25.0,20.39891554726114
0.041,25.0,20.4088600164564
0.042,25.0,20.418803102459492
0.043000000000000003,25.0,20.428744805493125
0.044,25.0,20.438685125779898
0.045,25.0,20.448624063542354
0.046,25.0,20.458561619003035
0.047,25.0,20.468497792384426
0.048,25.0,20.478432583908898
0.049,25.0,20.488365993798823
0.05,25.0,20.498298022276572
0.051000000000000004,25.0,20.508228669564403
0.052000000000000005,25.0,20.518157935884517
0.053,25.0,20.528085821459115
0.054,25.0,20.53801232651034
0.055,25.0,20.54793745126028
0.056,25.0,20.55786119593097
0.057,25.0,20.56778356074443
0.058,25.0,20.577704545922586
0.059000000000000004,25.0,20.58762415168735
0.06,25.0,20.597542378260584
0.061,25.0,20.60745922586409
0.062,25.0,20.617374694719615
0.063,25.0,20.627288785048904
0.064,25.0,20.63720149707359
0.065,25.0,20.647112831015306
0.066,25.0,20.657022787095684
0.067,25.0,20.666931365536186
0.068,25.0,20.676838566558274
0.069,25.0,20.686744390383467
0.07,25.0,20.696648837233056
0.07100000000000001,25.0,20.706551907328446
0.07200000000000001,25.0,20.71645360089093
0.073,25.0,20.72635391814174
0.074,25.0,20.736252859302056
0.075,25.0,20.746150424593054
0.076,25.0,20.756046614235856
0.077,25.0,20.76594142845147
0.078,25.0,20.775834867460958
0.079,25.0,20.78572693148527
0.08,25.0,20.79561762074536
0.081,25.0,20.805506935462063
0.082,25.0,20.815394875856214
0.083,25.0,20.825281442148594
0.084,25.0,20.835166634559926
0.085,25.0,20.845050453310932
0.08600000000000001,25.0,20.854932898622224
0.08700000000000001,25.0,20.86481397071441
0.088,25.0,20.87469366980804
0.089,25.0,20.884571996123555
0.09,25.0,20.894448949881507
0.091,25.0,20.904324531302223
0.092,25.0,20.91419874060614
0.093,25.0,20.924071578013525
0.094,25.0,20.933943043744648
0.095,25.0,20.943813138019777
0.096,25.0,20.95368186105901
0.097,25.0,20.96354921308256
0.098,25.0,20.973415194310462
0.099,25.0,20.983279804962763
0.1,25.0,20.993143045259444
0.101,25.0,21.00300491542049
0.10200000000000001,25.0,21.01286541566577
0.10300000000000001,25.0,21.02272454621516
0.10400000000000001,25.0,21.032582307288408
0.105,25.0,21.042438699105332
0.106,25.0,21.052293721885633
0.107,25.0,21.06214737584895
0.108,25.0,21.07199966121493
0.109,25.0,21.08185057820316
0.11,25.0,21.091700127033164
0.111,25.0,21.10154830792436
0.112,25.0,21.11139512109628
0.113,25.0,21.12124056676828
0.114,25.0,21.13108464515966
0.115,25.0,21.140927356489783
0.116,25.0,21.150768700977835
0.117,25.0,21.16060867884306
0.11800000000000001,25.0,21.17044729030465
0.11900000000000001,25.0,21.180284535581677
0.12,25.0,21.190120414893215
0.121,25.0,21.199954928458283
0.122,25.0,21.209788076495897
0.123,25.0,21.219619859224906
0.124,25.0,21.22945027686427
0.125,25.0,21.23927932963278
0.126,25.0,21.24910701774928
0.127,25.0,21.258933341432453
0.128,25.0,21.268758300901027
0.129,25.0,21.27858189637368
0.13,25.0,21.288404128068976
0.131,25.0,21.298224996205477
0.132,25.0,21.308044501001746
0.133,25.0,21.317862642676232
0.134,25.0,21.32767942144733
0.135,25.0,21.337494837533427
0.136,25.0,21.34730889115292
0.137,25.0,21.35712158252403
0.138,25.0,21.366932911865035
0.139,25.0,21.3767428793941
0.14,25.0,21.38655148532939
0.14100000000000001,25.0,21.396358729889016
0.14200000000000002,25.0,21.406164613291025
0.14300000000000002,25.0,21.415969135753414
0.14400000000000002,25.0,21.425772297494177
0.145,25.0,21.435574098731195
0.146,25.0,21.445374539682405
0.147,25.0,21.455173620565574
0.148,25.0,21.464971341598527
0.149,25.0,21.47476770299903
0.15,25.0,21.48456270498474
0.151,25.0,21.494356347773305
0.152,25.0,21.504148631582325
0.153,25.0,21.51393955662934
0.154,25.0,21.523729123131886
0.155,25.0,21.533517331307394
0.156,25.0,21.543304181373344
0.157,25.0,21.55308967354705
0.158,25.0,21.56287380804588
0.159,25.0,21.57265658508709
0.16,25.0,21.582438004887933
0.161,25.0,21.592218067665613
0.162,25.0,21.601996773637268
0.163,25.0,21.611774123019984
0.164,25.0,21.62155011603079
0.165,25.0,21.63132475288677
0.166,25.0,21.641098033804838
0.167,25.0,21.65086995900191
0.168,25.0,21.6606405286949
0.169,25.0,21.670409743100606
0.17,25.0,21.680177602435776
0.171,25.0,21.68994410691721
0.17200000000000001,25.0,21.699709256761594
0.17300000000000001,25.0,21.709473052185558
0.17400000000000002,25.0,21.719235493405733
0.17500000000000002,25.0,21.728996580638636
0.176,25.0,21.738756314100783
0.177,25.0,21.748514694008634
0.178,25.0,21.758271720578648
0.179,25.0,21.768027394027172
0.18,25.0,21.77778171457055
0.181,25.0,21.787534682425076
0.182,25.0,21.797286297806977
0.183,25.0,21.80703656093243
0.184,25.0,21.816785472017614
0.185,25.0,21.826533031278586
