time,stage_id,valve,level,leak,asset_dtaas_water_tank_swap__x4.valve
12.1,stage1,0,1.492927598419237,False,False
12.2,stage1,0,1.5929275984192393,False,False
12.3,stage1,0,1.6929275984192416,False,False
12.4,stage1,0,1.7929275984192439,False,False
12.5,stage1,0,1.8929275984192462,False,False
12.6,stage1,0,1.9929275984192485,False,False
12.7,stage1,0,2.0929275984192466,False,False
12.8,stage1,1,1.9749440801783025,False,False
12.9,stage1,1,1.865735165806379,False,False
13.0,stage1,1,1.7678042104258473,False,False
13.1,stage1,1,1.679986543920326,False,False
13.2,stage1,1,1.6012377711700907,False,False
13.3,stage1,1,1.5306213513033848,False,False
13.4,stage1,1,1.4672974596332637,False,False
13.5,stage1,1,1.410512999817568,False,False
13.6,stage1,1,1.3595926474589686,False,False
13.7,stage1,1,1.313930818628693,False,False
13.8,stage1,1,1.2729844677974569,False,False
13.9,stage1,1,1.2362666295210587,False,False
14.0,stage1,1,1.2033406270734057,False,False
14.1,stage1,1,1.1738148791515925,False,False
14.2,stage1,1,1.147338242890374,False,False
14.3,stage1,1,1.1235958378015953,False,False
14.4,stage1,1,1.1023053009736472,False,False
14.5,stage1,1,1.083213428994913,False,False
14.6,stage1,1,1.0660931666643778,False,False
14.7,stage1,1,1.0507409066768392,False,False
14.8,stage1,1,1.0369740681684945,False,False
14.9,stage1,1,1.024628925325116,False,False
15.0,stage1,1,1.0135586602289546,False,False
15.1,stage1,1,1.0036316167873285,False,False
15.2,stage1,1,0.9947297349772816,False,False
15.3,stage1,0,1.0929226426254082,False,False
15.4,stage1,0,1.1929226426254105,False,False
15.5,stage1,0,1.2929226426254128,False,False
15.6,stage1,0,1.392922642625415,False,False
15.7,stage1,0,1.4929226426254174,False,False
15.8,stage1,0,1.5929226426254197,False,False
15.9,stage1,0,1.692922642625422,False,False
16.0,stage1,0,1.7929226426254243,False,False
16.1,stage1,0,1.8929226426254266,False,False
16.2,stage1,0,1.992922642625429,False,False
16.3,stage1,0,2.092922642625427,False,False
16.4,stage1,1,1.9749396280939555,False,False
16.5,stage1,1,1.8657311734869235,False,False
16.6,stage1,1,1.7678006303915557,False,False
16.7,stage1,1,1.6799833335946806,False,False
16.8,stage1,1,1.6012348923734336,False,False
16.9,stage1,1,1.5306187697988562,False,False
17.0,stage1,1,1.467295144719629,False,False
17.1,stage1,1,1.4105109239640972,False,False
17.2,stage1,1,1.3595907859780183,False,False
17.3,stage1,1,1.3139291493821037,False,False
17.4,stage1,1,1.2729829709332665,False,False
17.5,stage1,1,1.2362652872374087,False,False
17.6,stage1,1,1.2033394234068275,False,False
17.7,stage1,1,1.1738137997871594,False,False
17.8,stage1,1,1.1473372749914563,False,False
17.9,stage1,1,1.125854446807087,False,False
18.0,stage1,1,1.104330664370134,False,False
18.1,stage1,1,1.0850296339590533,False,False
18.2,stage1,1,1.0677218129001553,False,False
18.3,stage1,1,1.0522013632958238,False,False
18.4,stage1,1,1.0382837040421913,False,False
18.5,stage1,1,1.025803315648921,False,False
18.6,stage1,1,1.01461177175434,False,False
18.7,stage1,1,1.0045759739251725,False,False
18.8,stage1,1,0.9955765687477787,False,False
18.9,stage1,0,1.0937679379812224,False,False
19.0,stage1,0,1.1937679379812247,False,False
19.1,stage1,0,1.293767937981227,False,False
19.2,stage1,0,1.3937679379812293,False,False
19.3,stage1,0,1.4937679379812316,False,False
19.4,stage1,0,1.593767937981234,False,False
19.5,stage1,0,1.6937679379812363,False,False
19.6,stage1,0,1.7937679379812386,False,False
19.7,stage1,0,1.8937679379812409,False,False
19.8,stage1,0,1.9937679379812432,False,False
19.9,stage1,0,2.0937679379812413,False,False
20.0,stage1,1,1.975699007188214,False,False
20.1,stage1,1,1.8664121318191658,False,False
20.2,stage1,1,1.768411266441134,False,False
20.3,stage1,1,1.6805309095143663,False,False
20.4,stage1,1,1.6017259203565122,False,False
20.5,stage1,1,1.5310590895271314,False,False
20.6,stage1,1,1.4676899928134035,False,False
20.7,stage1,1,1.4108649962600814,False,False
20.8,stage1,1,1.3599082933758257,False,False
20.9,stage1,1,1.3142138679235027,False,False
21.0,stage1,1,1.2732382867097678,False,False
21.1,stage1,1,1.2364942366602678,False,False
21.2,stage1,1,1.2035447293183763,False,False
21.3,stage1,1,1.1739979038429391,False,False
21.4,stage1,1,1.1475023666982596,False,False
21.5,stage1,1,1.1237430126123638,False,False
21.6,stage1,1,1.102437277103154,False,False
21.7,stage1,1,1.0833317760046266,False,False
21.8,stage1,1,1.0661992920278096,False,False
21.9,stage1,1,1.050836072518298,False,False
22.0,stage1,1,1.0370594062732374,False,False
22.1,stage1,1,1.0247054505994115,False,False
22.2,stage1,1,1.013627282770124,False,False
22.3,stage1,1,1.0036931527073225,False,False
22.4,stage1,1,0.9947849161085092,False,False
22.5,stage1,0,1.0929777235109142,False,False
22.6,stage1,0,1.1929777235109165,False,False
22.7,stage1,0,1.2929777235109188,False,False
22.8,stage1,0,1.392977723510921,False,False
22.9,stage1,0,1.4929777235109234,False,False
23.0,stage1,0,1.5929777235109257,False,False
23.1,stage1,0,1.692977723510928,False,False
23.2,stage1,0,1.7929777235109303,False,False
23.3,stage1,0,1.8929777235109326,False,False
23.4,stage1,0,1.992977723510935,False,False
23.5,stage1,0,2.092977723510933,False,False
23.6,stage1,1,1.974989110529484,False,False
23.7,stage1,1,1.8657755458919938,False,False
23.8,stage1,1,1.7678404204768807,False,False
23.9,stage1,1,1.6800190145745075,False,False
24.0,stage1,1,1.6012668885933716,False,False
24.1,stage1,1,1.53064746178252,False,False
24.2,stage1,1,1.4673208736941192,False,False
24.3,stage1,1,1.4105339959181342,False,False
24.4,stage1,1,1.3596114753009951,False,False
24.5,stage1,1,1.3139477021273347,False,False
24.6,stage1,1,1.2729996077442431,False,False
24.7,stage1,1,1.2362802059718618,False,False
