time,outputs[1],outputs[2],outputs[3],outputs[4]
0.0,10.0,0.0,0.0,0.0
0.01,9.915778536155651,0.09999674039644908,0.0,0.0
0.02,9.860290560181888,0.19997627090556172,0.0,0.0
0.03,9.82923757718144,0.29992458854397885,0.0,0.0
0.04,9.81595635235842,0.39982640603839825,0.0,0.0
0.05,9.812022546852262,0.49966610031795733,0.0,0.0
0.06,9.808085651946397,0.5994279594648052,0.0,0.0
0.07,9.795232046186406,0.6990968361406246,0.0,0.0
0.08,9.76681440454549,0.7986603786649754,0.0,0.0
0.09,9.714298106374859,0.8981001884492015,0.0,0.0
0.1,9.633019738178842,0.9973997809563127,0.0,0.0
0.11,9.519621727304045,1.0965420692397516,0.0,0.0
0.12,9.375571983018466,1.1955110453997388,0.0,0.0
0.13,9.206612122163127,1.2942916679415801,0.0,0.0
0.14,9.018446024867078,1.3928685023602325,0.0,0.0
0.15,8.820657416767327,1.4912264899710002,0.0,0.0
0.16,8.623330885778437,1.5893501377552284,0.0,0.0
0.17,8.435705017656888,1.6872239668732636,0.0,0.0
0.18,8.266890487803419,1.7848324199272243,0.0,0.0
0.19,8.123714836772216,1.8821600110913297,0.0,0.0
0.2,8.010244603323635,1.9791913635150182,0.0,0.0
0.21,7.928916131818088,2.0759111303750117,0.0,0.0
0.22,7.878002207377022,2.1723040684352486,0.0,0.0
0.23,7.8521577262055935,2.268354984558746,0.0,0.0
0.24,7.845790873924414,2.364048696612468,0.0,0.0
0.25,7.849708034614354,2.459370097556214,0.0,0.0
0.26,7.853876673126862,2.554304145923106,0.0,0.0
0.27,7.849062520386088,2.6488358497412148,0.0,0.0
0.28,7.826180065459117,2.7429502840623923,0.0,0.0
0.29,7.778870745593791,2.8366325835263466,0.0,0.0
0.3,7.703157290500148,2.9298679586449716,0.0,0.0
0.31,7.596641984244981,3.0226416622902117,0.0,0.0
0.32,7.460929730452278,3.1149390506257624,0.0,0.0
0.33,7.301183006236289,3.2067455724715885,0.0,0.0
