time,angle
0.0,-0.0
0.001,-9.847584373402074e-06
0.002,-3.918784467361525e-05
0.003,-8.804411037427909e-05
0.004,-0.00015639805055677722
0.005,-0.0002442518068995805
0.006,-0.0003516040471194067
0.007,-0.0004784547712162558
0.008,-0.0006247260765021084
0.009000000000000001,-0.0007904544437457232
0.01,-0.0009756556508152413
0.011,-0.0011803296977106635
0.012,-0.0014044765844319893
0.013000000000000001,-0.0016480963109792187
0.014,-0.0019111704589299464
0.015,-0.0021935648018236286
0.016,-0.002495388873963858
0.017,-0.002816642675350637
0.018000000000000002,-0.003157326205983963
0.019,-0.0035174394658638373
0.02,-0.0038969824549902592
0.021,-0.004295878365270117
0.022,-0.004714071135857718
0.023,-0.005151644679060284
0.024,-0.00560859899487782
0.025,-0.006084934083310323
0.026000000000000002,-0.00658064994435779
0.027,-0.007095746578020225
0.028,-0.007630080641279349
0.029,-0.008183704254830006
0.03,-0.008756657624300921
0.031,-0.009348940749692093
0.032,-0.009960553631003528
0.033,-0.01059149626823522
0.034,-0.011241756353462003
0.035,-0.01191115530725495
0.036000000000000004,-0.012599832084951615
0.037,-0.013307786686551993
0.038,-0.01403501911205609
0.039,-0.0147815293614639
0.04,-0.01554731743477543
0.041,-0.01633231171329798
0.042,-0.017136433009411735
0.043000000000000003,-0.017959779517064463
0.044,-0.018802351236256162
0.045,-0.01966414816698684
0.046,-0.020545170309256493
0.047,-0.02144541766306511
0.048,-0.02236475223551422
0.049,-0.023303207491555074
0.05,-0.024260834570081345
0.051000000000000004,-0.02523763347109304
0.052000000000000005,-0.026233604194590157
0.053,-0.027248746740572687
0.054,-0.0282830583987048
0.055,-0.02933633474565927
0.056,-0.030408728515030847
0.057,-0.031500239706819526
0.058,-0.03261086832102531
0.059000000000000004,-0.03374061435764821
0.06,-0.0348894778166882
0.061,-0.03605739425072779
0.062,-0.037244260079028944
0.063,-0.03845018761125093
0.064,-0.039675176847393766
0.065,-0.040919227787457456
0.066,-0.04218234043144199
0.067,-0.04346451477934736
0.068,-0.04476561522535688
0.069,-0.046085655435361875
0.07,-0.04742469995395828
0.07100000000000001,-0.048782748781146086
0.07200000000000001,-0.050159801916925296
0.073,-0.05155585936129591
0.074,-0.05297092111425796
0.075,-0.05440487841949508
0.076,-0.05585778678349391
0.077,-0.057329649783746536
0.078,-0.05882044014226717
0.079,-0.06033010948039202
0.08,-0.06185869472343625
0.081,-0.06340619587139984
0.082,-0.0649725545205115
0.083,-0.06655777856217475
0.084,-0.06816188284321052
0.085,-0.0697848533703717
0.08600000000000001,-0.07142659207000425
0.08700000000000001,-0.07308715397375005
0.088,-0.07476653618781334
0.089,-0.07646473581839845
0.09,-0.07818174997170962
0.091,-0.07991757575395111
0.092,-0.0816722102713272
0.093,-0.08344565063004218
0.094,-0.08523778104992946
0.095,-0.08704865488047715
0.096,-0.08887827699394614
0.097,-0.09072663968014989
0.098,-0.09259373522890198
0.099,-0.09447955593001595
0.1,-0.09638409407330532
0.101,-0.09830734194858363
0.10200000000000001,-0.10024924849329543
0.10300000000000001,-0.10220980234782122
0.10400000000000001,-0.10418901547492264
0.105,-0.10618687739911735
0.106,-0.10820337764492309
0.107,-0.11023850573685746
0.108,-0.11229225119943818
0.109,-0.11436460355718293
0.11,-0.11645554036518296
0.111,-0.11856503273885724
0.112,-0.1206930871042463
0.113,-0.12283969158457221
0.114,-0.12500483430305698
0.115,-0.1271885033829227
0.116,-0.12939068694739136
0.117,-0.13161137311968502
0.11800000000000001,-0.1338505480362022
0.11900000000000001,-0.13610817631116118
0.12,-0.13838426233045678
0.121,-0.1406787932300469
0.122,-0.1429917561458894
0.123,-0.14532313821394222
0.124,-0.1476729265701631
0.125,-0.1500411083505101
0.126,-0.15242767069094101
0.127,-0.15483257796814848
0.128,-0.15725582635961532
0.129,-0.15969740608826338
0.13,-0.16215730323614164
0.131,-0.16463550388529902
0.132,-0.16713199411778465
0.133,-0.1696467600156474
0.134,-0.17217978766093628
0.135,-0.17473104622349697
0.136,-0.17730051604370944
0.137,-0.17988819264861952
0.138,-0.1824940603967069
0.139,-0.18511810358314376
0.14,-0.1877603064397943
0.14100000000000001,-0.1904206531352151
0.14200000000000002,-0.19309912777465496
0.14300000000000002,-0.19579571440005503
0.14400000000000002,-0.1985103969900486
0.145,-0.2012431594599613
0.146,-0.20399396008397844
0.147,-0.20676279241343318
0.148,-0.20954964370613285
0.149,-0.21235449597342024
0.15,-0.21517733107714854
0.151,-0.21801813072968126
0.152,-0.22087687649389257
0.153,-0.22375354978316672
0.154,-0.22664813186139873
0.155,-0.22956060384299376
0.156,-0.23249094554097335
0.157,-0.23543911790719316
0.158,-0.23840511527678626
0.159,-0.24138891711558294
0.16,-0.24439050268050938
0.161,-0.24740985101958743
0.162,-0.25044694097193493
0.163,-0.25350175116776535
0.164,-0.2565742600283881
0.165,-0.2596644457662085
0.166,-0.2627722863847273
0.167,-0.26589775622926853
0.168,-0.269040826287215
0.169,-0.2722014796925571
0.17,-0.2753796930120905
0.171,-0.27857544257019273
0.17200000000000001,-0.2817887044488229
0.17300000000000001,-0.2850194544875223
0.17400000000000002,-0.2882676682834139
0.17500000000000002,-0.29153332119120257
0.176,-0.29481638832317514
0.177,-0.29811684454920034
0.178,-0.30143465970849553
0.179,-0.3047698070393681
0.18,-0.30812226334242415
0.181,-0.31149200206788136
0.182,-0.31487899639879924
0.183,-0.31828321925107894
0.184,-0.3217046432734634
0.185,-0.3251432408475371
0.186,-0.3285989840877263
0.187,-0.332071844841299
0.188,-0.33556179468836467
0.189,-0.3390687896996061
0.19,-0.3425928081515298
0.191,-0.3461338232693516
0.192,-0.34969180509122005
0.193,-0.3532667233840811
0.194,-0.3568585476436771
0.195,-0.3604672470945476
0.196,-0.364092790690029
0.197,-0.3677351471122546
0.198,-0.37139428477215475
0.199,-0.37507017180945645
0.2,-0.3787627760926838
0.201,-0.3824720652191578
0.202,-0.38619800651499636
0.203,-0.38994056703511437
0.20400000000000001,-0.3936997135632235
0.20500000000000002,-0.3974754069212322
0.20600000000000002,-0.40126757133653285
0.20700000000000002,-0.4050762088713966
0.20800000000000002,-0.4089012841357992
0.209,-0.4127427614307577
0.21,-0.4166006047483315
0.211,-0.42047477777162134
0.212,-0.4243652438747697
0.213,-0.42827196612296065
0.214,-0.4321949072724202
0.215,-0.43613402977041577
0.216,-0.44008929575525674
0.217,-0.44406066705629405
0.218,-0.4480481051939204
0.219,-0.4520515713795701
0.22,-0.4560710265157192
0.221,-0.46010643119588546
0.222,-0.46415771884711077
0.223,-0.46822482923119585
0.224,-0.4723077537754207
0.225,-0.47640645042485685
0.226,-0.4805208767632404
0.227,-0.4846509900129719
0.228,-0.48879674703511683
0.229,-0.49295810432940496
0.23,-0.497135018034231
0.231,-0.501327443926654
0.232,-0.5055353374223978
0.233,-0.5097586535758507
0.234,-0.513997347080066
0.23500000000000001,-0.5182513722667611
0.23600000000000002,-0.5225206831063184
0.23700000000000002,-0.5268052332077848
0.23800000000000002,-0.531104975818872
0.23900000000000002,-0.5354198209287045
0.24,-0.539749736130728
0.241,-0.544094687224547
0.242,-0.5484546247237189
0.243,-0.5528294987332047
0.244,-0.5572192589493707
0.245,-0.5616238546599867
0.246,-0.5660432347442268
0.247,-0.57047734767267
0.248,-0.574926141507299
0.249,-0.5793895639015012
0.25,-0.583867562100068
0.251,-0.5883600829391951
0.252,-0.5928670728464828
0.253,-0.5973884778409355
0.254,-0.6019242435329618
0.255,-0.6064743142273129
0.256,-0.611038590171736
0.257,-0.6156170511635505
0.258,-0.6202096402331734
0.259,-0.6248162999668381
0.26,-0.6294369725065941
0.261,-0.6340715995503073
0.262,-0.6387201223516595
0.263,-0.643382481720149
0.264,-0.6480586180210903
0.265,-0.652748471175614
0.266,-0.6574519806606667
0.267,-0.6621690855090117
0.268,-0.6668997243092283
0.269,-0.6716438352057118
0.27,-0.6764013558986741
0.271,-0.681172223644143
0.272,-0.6859563657777984
0.273,-0.6907537038460383
0.274,-0.6955641910002841
0.275,-0.7003877620641135
0.276,-0.7052243513925178
0.277,-0.7100738928719033
0.278,-0.7149363199200899
0.279,-0.7198115654863118
0.28,-0.7246995620512177
0.281,-0.7296002416268703
0.28200000000000003,-0.7345135357567465
0.28300000000000003,-0.7394393755157376
0.28400000000000003,-0.7443776915101489
0.28500000000000003,-0.7493284138777
0.28600000000000003,-0.7542914722875248
0.28700000000000003,-0.7592667959401713
0.28800000000000003,-0.764254313567602
0.289,-0.7692539427794403
0.29,-0.774265612500328
0.291,-0.7792892554897068
0.292,-0.7843247982318023
0.293,-0.7893721667285122
0.294,-0.7944312864994063
0.295,-0.7995020825817271
0.296,-0.8045844795303888
0.297,-0.8096784014179786
0.298,-0.8147837718347554
0.299,-0.8199005138886506
0.3,-0.8250285502052677
0.301,-0.8301678029278826
0.302,-0.8353181937174436
0.303,-0.8404796437525711
0.304,-0.8456520737295578
0.305,-0.8508354038623684
0.306,-0.8560295520092256
0.307,-0.8612344387115038
0.308,-0.8664499828348811
0.309,-0.8716761026206418
0.31,-0.8769127158261643
0.311,-0.8821597397249201
0.312,-0.8874170911064752
0.313,-0.892684686276488
0.314,-0.8979624410567115
0.315,-0.9032502707849919
0.316,-0.9085480903152687
0.317,-0.9138558140175761
0.318,-0.9191733557780405
0.319,-0.9245006289988827
0.32,-0.9298375465984171
0.321,-0.9351840210110516
0.322,-0.9405399676265903
0.323,-0.945905308546303
0.324,-0.9512799443846579
0.325,-0.9566637859859937
0.326,-0.9620567437236489
0.327,-0.9674587274999633
0.328,-0.972869646746277
0.329,-0.9782894104229307
0.33,-0.9837179270192659
0.331,-0.9891551045536247
