"time","valve","level"
0.0,1.0,1.5
0.1,1.0,1.5025505102572168
0.2,1.0,1.5050989389160094
0.3,1.0,1.5076452894390744
0.4,1.0,1.5101895652774968
0.5,1.0,1.5127317698708143
0.6,1.0,1.5152719066470794
0.7,1.0,1.5178099790229223
0.8,1.0,1.5203459904036118
0.9,1.0,1.5228799441831176
1.0,1.0,1.5254118437441702
1.1,1.0,1.5279416924583222
1.2,1.0,1.5304694936860077
1.3,1.0,1.532995250776602
1.4,1.0,1.5355189670684808
1.5,1.0,1.5380406458890785
1.6,1.0,1.5405602905549467
1.7,1.0,1.5430779043718117
1.8,1.0,1.545593490634632
1.9,1.0,1.5481070526276552
2.0,1.0,1.5506185936244747
2.1,1.0,1.553128116888085
2.2,1.0,1.5556356256709385
2.3,1.0,1.558141123215
2.4,1.0,1.5606446127518014
2.5,1.0,1.563146097502497
2.6,1.0,1.5656455806779164
2.7,1.0,1.5681430654786195
2.8,1.0,1.5706385550949487
2.9,1.0,1.5731320527070822
3.0,1.0,1.5756235614850869
3.1,1.0,1.5781130845889693
3.2,1.0,1.5806006251687286
3.3,1.0,1.5830861863644077
3.4,1.0,1.5855697713061436
3.5,1.0,1.5880513831142191
3.6,1.0,1.5905310248991122
3.7,1.0,1.5930086997615465
3.8,1.0,1.5954844107925403
3.9,1.0,1.5979581610734568
4.0,1.0,1.6004299536760518
4.1,1.0,1.602899791662523
4.2,1.0,1.605367678085558
4.3,1.0,1.6078336159883824
4.4,1.0,1.6102976084048066
4.5,1.0,1.612759658359274
4.6,1.0,1.615219768866907
4.7,1.0,1.6176779429335537
4.8,1.0,1.6201341835558345
4.9,1.0,1.6225884937211879
5.0,1.0,1.6250408764079156
5.1,1.0,1.6274913345852282
5.2,1.0,1.6299398712132902
5.3,1.0,1.6323864892432642
5.4,1.0,1.634831191617356
5.5,1.0,1.637273981268857
5.6,1.0,1.6397148611221903
5.7,1.0,1.642153834092952
5.8,1.0,1.6445909030879555
5.9,1.0,1.6470260710052742
6.0,1.0,1.6494593407342832
6.1,1.0,1.651890715155703
6.2,1.0,1.65432019714164
6.3,1.0,1.656747789555629
6.4,1.0,1.6591734952526749
6.5,1.0,1.6615973170792928
6.6,1.0,1.6640192578735495
6.7,1.0,1.6664393204651045
6.8,1.0,1.6688575076752492
6.9,1.0,1.6712738223169479
7.0,1.0,1.6736882671948767
7.1,1.0,1.6761008451054642
7.2,1.0,1.6785115588369295
7.3,1.0,1.680920411169322
7.4,1.0,1.6833274048745595
7.5,1.0,1.6857325427164673
7.6,1.0,1.6881358274508163
7.7,1.0,1.69053726182536
7.8,1.0,1.6929368485798735
7.9,1.0,1.6953345904461905
8.0,1.0,1.6977304901482402
8.1,1.0,1.7001245504020848
8.2,1.0,1.7025167739159555
8.3,1.0,1.7049071633902901
8.4,1.0,1.7072957215177682
8.5,1.0,1.7096824509833475
8.6,1.0,1.7120673544643001
8.7,1.0,1.7144504346302476
8.8,1.0,1.7168316941431965
8.9,1.0,1.719211135657573
9.0,1.0,1.7215887618202588
9.1,1.0,1.7239645752706245
9.2,1.0,1.7263385786405654
9.3,1.0,1.7287107745545343
9.4,1.0,1.7310811656295764
9.5,1.0,1.733449754475363
9.6,1.0,1.735816543694225
9.7,1.0,1.7381815358811858
9.8,1.0,1.7405447336239954
9.9,1.0,1.7429061395031622
10.0,1.0,1.7452657560919864
10.1,1.0,1.7476235859565925
10.2,1.0,1.7499796316559613
10.3,1.0,1.7523338957419623
10.4,1.0,1.7546863807593855
10.5,1.0,1.7570370892459735
10.6,1.0,1.759386023732452
10.7,1.0,1.7617331867425616
10.8,1.0,1.7640785807930899
10.9,1.0,1.766422208393901
11.0,1.0,1.768764072047967
11.1,1.0,1.771104174251398
11.2,1.0,1.7734425174934734
11.3,1.0,1.775779104256671
11.4,1.0,1.7781139370166978
11.5,1.0,1.7804470182425192
11.6,1.0,1.7827783503963888
11.7,1.0,1.7851079359338782
11.8,1.0,1.7874357773039058
11.9,1.0,1.7897618769487662
12.0,1.0,1.7920862373041588
12.1,1.0,1.7944088607992166
12.2,1.0,1.7967297498565349
12.3,1.0,1.7990489068921995
12.4,1.0,1.8013663343158153
12.5,1.0,1.8036820345305336
12.6,1.0,1.8059960099330807
12.7,1.0,1.8083082629137852
12.8,1.0,1.8106187958566056
12.9,1.0,1.8129276111391575
13.0,1.0,1.8152347111327412
13.1,1.0,1.8175400982023686
13.2,1.0,1.81984377470679
13.3,1.0,1.8221457429985206
13.4,1.0,1.8244460054238674
13.5,1.0,1.8267445643229556
13.6,1.0,1.8290414220297546
13.7,1.0,1.8313365808721043
13.8,1.0,1.833630043171741
13.9,1.0,1.8359218112443227
14.0,1.0,1.838211887399456
14.1,1.0,1.8405002739407201
14.2,1.0,1.842786973165693
14.3,1.0,1.8450719873659764
14.4,1.0,1.847355318827221
14.5,1.0,1.8496369698291508
14.6,1.0,1.8519169426455888
14.7,1.0,1.8541952395444805
14.8,1.0,1.8564718627879193
14.9,1.0,1.8587468146321702
15.0,1.0,1.8610200973276942
15.1,1.0,1.8632917131191724
15.2,1.0,1.86556166424553
15.3,1.0,1.8678299529399593
15.4,1.0,1.8700965814299446
15.5,1.0,1.8723615519372847
15.6,1.0,1.8746248666781165
15.7,1.0,1.876886527862938
15.8,1.0,1.8791465376966323
15.9,1.0,1.8814048983784895
16.0,1.0,1.8836616121022298
16.1,1.0,1.8859166810560268
16.2,1.0,1.8881701074225292
16.3,1.0,1.8904218933788837
16.4,1.0,1.8926720410967572
16.5,1.0,1.8949205527423594
16.6,1.0,1.8971674304764639
16.7,1.0,1.899412676454431
16.8,1.0,1.9016562928262295
16.9,1.0,1.9038982817364576
17.0,1.0,1.9061386453243652
17.1,1.0,1.9083773857238753
17.2,1.0,1.910614505063605
17.3,1.0,1.9128500054668869
17.4,1.0,1.91508388905179
17.5,1.0,1.9173161579311413
17.6,1.0,1.9195468142125458
17.7,1.0,1.9217758599984076
17.8,1.0,1.9240032973859507
17.9,1.0,1.9262291284672393
18.0,1.0,1.9284533553291985
18.1,1.0,1.930675980053634
18.2,1.0,1.932897004717253
18.3,1.0,1.9351164313916833
18.4,1.0,1.9373342621434946
18.5,1.0,1.9395504990342172
18.6,1.0,1.941765144120362
18.7,1.0,1.9439781994534406
18.8,1.0,1.9461896670799843
18.9,1.0,1.9483995490415638
19.0,1.0,1.950607847374808
19.1,1.0,1.9528145641114245
19.2,1.0,1.955019701278217
19.3,1.0,1.957223260897105
19.4,1.0,1.9594252449851437
19.5,1.0,1.9616256555545413
19.6,1.0,1.9638244946126784
19.7,1.0,1.9660217641621265
19.8,1.0,1.9682174662006666
19.9,1.0,1.9704116027213072
20.0,1.0,1.9726041757123032
20.1,1.0,1.9747951871571736
20.2,1.0,1.9769846390347199
20.3,1.0,1.9791725333190437
20.4,1.0,1.9813588719795652
20.5,1.0,1.9835436569810405
20.6,1.0,1.9857268902835796
20.7,1.0,1.9879085738426643
20.8,1.0,1.9900887096091646
20.9,1.0,1.9922672995293575
21.0,1.0,1.9944443455449439
21.1,1.0,1.9966198495930652
21.2,1.0,1.998793813606321
21.3,1.0,2.000966239512787
21.4,0.0,1.9981371292360302
21.5,0.0,1.9953100196667095
21.6,0.0,1.9924849108053262
21.7,0.0,1.9896618026523818
21.8,0.0,1.9868406952083788
21.9,0.0,1.9840215884738202
22.0,0.0,1.9812044824492099
22.1,0.0,1.9783893771350525
22.2,0.0,1.9755762725318533
22.3,0.0,1.9727651686401184
22.4,0.0,1.9699560654603543
22.5,0.0,1.9671489629930685
22.6,0.0,1.9643438612387694
22.7,0.0,1.9615407601979655
22.8,0.0,1.9587396598711668
22.9,0.0,1.9559405602588835
23.0,0.0,1.9531434613616268
23.1,0.0,1.9503483631799081
23.2,0.0,1.9475552657142403
23.3,0.0,1.9447641689651367
23.4,0.0,1.9419750729331111
23.5,0.0,1.9391879776186784
23.6,0.0,1.936402883022354
23.7,0.0,1.9336197891446545
23.8,0.0,1.9308386959860964
23.9,0.0,1.9280596035471975
24.0,0.0,1.9252825118284764
24.1,0.0,1.9225074208304525
24.2,0.0,1.9197343305536454
24.3,0.0,1.916963240998576
24.4,0.0,1.9141941521657657
24.5,0.0,1.911427064055737
24.6,0.0,1.9086619766690125
24.7,0.0,1.905898890006116
24.8,0.0,1.9031378040675722
24.9,0.0,1.900378718853906
25.0,0.0,1.897621634365644
25.1,0.0,1.8948665506033124
25.2,0.0,1.8921134675674391
25.3,0.0,1.8893623852585524
25.4,0.0,1.8866133036771813
25.5,0.0,1.8838662228238556
25.6,0.0,1.881121142699106
25.7,0.0,1.8783780633034637
25.8,0.0,1.8756369846374612
25.9,0.0,1.8728979067016314
26.0,0.0,1.870160829496508
26.1,0.0,1.8674257530226255
26.2,0.0,1.864692677280519
26.3,0.0,1.8619616022707248
26.4,0.0,1.8592325279937798
26.5,0.0,1.8565054544502215
26.6,0.0,1.8537803816405887
26.7,0.0,1.8510573095654201
26.8,0.0,1.8483362382252562
26.9,0.0,1.8456171676206377
27.0,0.0,1.842900097752106
27.1,0.0,1.8401850286202037
27.2,0.0,1.837471960225474
27.3,0.0,1.834760892568461
27.4,0.0,1.8320518256497096
27.5,0.0,1.8293447594697652
27.6,0.0,1.8266396940291743
27.7,0.0,1.8239366293284842
27.8,0.0,1.821235565368243
27.9,0.0,1.8185365021489996
28.0,0.0,1.8158394396713036
28.1,0.0,1.8131443779357055
28.2,0.0,1.8104513169427565
28.3,0.0,1.807760256693009
28.4,0.0,1.805071197187016
28.5,0.0,1.802384138425331
28.6,0.0,1.7996990804085087
28.7,0.0,1.7970160231371046
28.8,0.0,1.794334966611675
28.9,0.0,1.791655910832777
29.0,0.0,1.7889788558009685
29.1,0.0,1.7863038015168082
29.2,0.0,1.783630747980856
29.3,0.0,1.780959695193672
29.4,0.0,1.7782906431558174
