time,J1_w,J2_w,J3_w,J4_w
0.0,10.0,0.0,0.0,0.0
0.01,9.915553766406427,0.09999711710639403,-3.3306690738754696e-16,-3.3758277537180843e-16
0.02,9.860669055954125,0.19997831824316137,-2.3869795029440866e-15,-2.392692649059758e-15
0.03,9.830871987973028,0.29992773093836966,-2.55351295663786e-15,-2.560855632307979e-15
0.04,9.819448748845904,0.39982991368167653,2.6645352591003757e-15,2.6571528641514405e-15
0.05,9.817634916128442,0.4996688661941775,3.885780586188048e-15,3.879027331660034e-15
0.06,9.815798423465626,0.599428738511909,4.884981308350689e-15,4.878955920573007e-15
0.07,9.804628508282615,0.6990942398530748,-5.001488112554853e-11,5.001186041039401e-11
0.08,9.77527944153741,0.7986492795636035,-5.001576930396823e-11,5.001097223197431e-11
0.09,9.720924324145221,0.8980781895598913,-5.002154246369628e-11,5.0005199072246256e-11
0.1,9.637172452042002,0.9973651661763903,-5.002132041909135e-11,5.000542111685118e-11
0.11,9.522558958598545,1.0964945727752031,-5.002132041909135e-11,5.000542111685118e-11
0.12,9.378630290764086,1.195450792505337,-5.002132041909135e-11,5.000542111685118e-11
0.13,9.209630381377414,1.2942185643063544,-5.002465108816523e-11,5.0002090447777306e-11
0.14,9.022593896042428,1.3927819167952187,-5.0025317221980004e-11,5.000142431396253e-11
0.15,8.82619283759798,1.4911253029588467,-5.002553926658493e-11,5.0001202269357606e-11
0.16,8.63003346375101,1.5892332077948321,-5.0026205400399704e-11,5.000053613554283e-11
0.17,8.443721840843192,1.6870901515464132,-5.002642744500463e-11,5.0000314090937906e-11
0.18,8.275939933078954,1.7846806616715378,-5.0024873132770153e-11,5.000186840317238e-11
0.19,8.133561433566525,1.8819893499322546,-5.0023540865140603e-11,5.000320067080193e-11
0.2,8.021013455620977,1.9790008501586493,-5.00217645083012e-11,5.000497702764133e-11
0.21,7.939832137170946,2.0756998431102414,-5.002132041909135e-11,5.000542111685118e-11
0.22,7.888513770010179,2.1720710588950762,-5.00190999730421e-11,5.000764156290043e-11
0.23,7.862663485545842,2.2680992793810084,-5.001865588383225e-11,5.000808565211028e-11
0.24,7.855426942410919,2.363769340598828,-5.00199881514618e-11,5.000675338448073e-11
0.25,7.858162759114612,2.4590661351368253,-5.0023984954350453e-11,5.000275658159208e-11
0.26,7.861289869103798,2.5539746145264353,-5.00217645083012e-11,5.000497702764133e-11
0.27,7.8552268529850675,2.6484797916185405,-5.002220859751105e-11,5.000453302229644e-11
0.28,7.831331299292581,2.742566742950144,-5.00199881514618e-11,5.0006752515740704e-11
0.29,7.782747242393505,2.836220611100935,-5.001954406225195e-11,5.000719319375516e-11
0.3,7.705077724174131,2.929426607039466,-5.002043224067165e-11,5.000629969388903e-11
0.31,7.59681664425354,3.022170012458502,-5.001776770541255e-11,5.000895347713785e-11
0.32,7.45949762598877,3.1144361820992064,-5.001865588383225e-11,5.000805312839643e-11
0.33,7.29754532600257,3.2062105460638133,-5.00173236162027e-11,5.0009373632942666e-11
0.34,7.117843741867118,3.2974786121163686,-5.00173236162027e-11,5.000937645221803e-11
0.35000000000000003,6.929063774770559,3.3882259679712297,-5.00173236162027e-11,5.000935991613837e-11
0.36,6.740815869794067,3.478438283568933,-5.00146590809436e-11,5.00120132256601e-11
0.37,6.562710679050556,3.568101313339068,-5.00137709025239e-11,5.0012887818861486e-11
0.38,6.403419696300681,3.65720089844983,-5.001243863489435e-11,5.001421024342822e-11
0.39,6.269827814454943,3.745722969043851,-5.001332681331405e-11,5.00133123608421e-11
0.4,6.1663607593196295,3.8336535464600066,-5.00137709025239e-11,5.00128634641904e-11
0.41000000000000003,6.094552967591789,3.8209787488338223,0.09999999994998587,5.001238312374312e-11
0.42,6.052953710772068,3.807684935535888,0.19999999994998552,5.0012605168348045e-11
0.43,6.037164189927201,3.7937583099921515,0.2999999999499843,5.0010773300357414e-11
0.44,6.040189080746674,3.7791850627229633,0.39999999994998436,5.0011328411869727e-11
0.45,6.053606704632598,3.7639520528470993,0.49999999994998356,5.0010440233450026e-11
0.46,6.067638992751623,3.7480456317616633,0.5999999999499841,5.001099534496234e-11
0.47000000000000003,6.072698799883648,3.7314525154878377,0.6999999999499829,5.0009885121937714e-11
0.48,6.060193711069484,3.7141596069595204,0.7863293757348488,0.01367062426514365
0.49,6.023242284666492,3.6961537283304904,0.8574811280490122,0.04251887195097859
0.5,5.957513528032712,3.6774219967587776,0.9141514628325198,0.08584853716747276
0.51,5.861510257727372,3.657951670106584,0.9573860716862046,0.14261392831379016
