time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,force_cmd_N
0.091,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.092,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.093,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.094,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.095,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.096,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.097,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.098,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.099,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.1,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.101,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.102,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.103,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.104,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.105,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.106,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.107,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.108,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.109,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.11,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.111,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.112,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.113,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.114,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.115,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.116,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.117,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.118,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.119,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.12,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.121,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.122,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.123,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.124,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.125,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.126,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.127,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.128,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.129,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.13,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.131,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.132,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.133,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.134,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.135,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.136,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.137,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.138,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.139,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.14,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.141,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.142,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.143,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.144,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.145,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.146,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.147,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.148,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.149,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.15,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.151,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.152,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.153,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.154,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.155,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.156,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.157,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.158,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.159,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.16,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.161,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.162,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.163,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.164,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.165,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.166,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.167,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.168,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.169,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.17,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.171,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.172,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.173,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.174,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.175,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.176,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.177,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.178,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.179,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.18,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.181,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.182,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.183,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.184,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.185,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.186,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.187,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.188,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.189,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.19,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.191,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.192,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.193,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.194,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.195,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.196,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.197,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.198,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.199,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.2,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.201,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.202,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.203,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.204,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.205,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.206,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.207,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.208,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.209,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.21,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.211,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.212,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.213,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.214,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.215,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
