time,J1_w,J2_w,J3_w,J4_w
0.0,10.0,0.0,0.0,0.0
0.001,9.99,0.009999999999999787,-2.0990154059319366e-16,-2.1076509144546974e-16
0.002,9.980314115486465,0.019999992104317244,-2.706168622523819e-16,-2.7226998558942044e-16
0.003,9.970942052264474,0.029999960521598368,-1.6861512186494565e-15,-1.6872639317956882e-15
0.004,9.961883206458728,0.03999988946053179,-7.355227538141662e-16,-7.372773646208324e-16
0.005,9.953136665125042,0.049999763129862984,8.049116928532385e-16,8.025887351189212e-16
0.006,9.944701207166883,0.059999565738424465,9.159339953157541e-16,9.137439904129705e-16
0.007,9.936575304556001,0.06999928149516599,2.609024107869118e-15,2.606411921346359e-15
0.008,9.928757123855965,0.07999889460916876,3.191891195797325e-15,3.1889292980149507e-15
0.009000000000000001,9.921244528047103,0.08999838928967918,3.094746681142624e-15,3.091507038791329e-15
0.01,9.914035078651043,0.09999774974613196,4.010680676458378e-15,4.00660664457802e-15
0.011,9.907126038152754,0.10999696018816962,3.5110803153770576e-15,3.5068706778797983e-15
0.012,9.9005143727177,0.11999600482567452,2.095545958979983e-15,2.0912707479125238e-15
0.013000000000000001,9.894196755201428,0.12999486786879189,1.304512053934559e-15,1.2996124803995925e-15
0.014,9.888169568448616,0.13999353352795296,1.942890293094024e-15,1.9374347529156058e-15
0.015,9.882428908878321,0.14999198601389807,2.1649348980190553e-15,2.1589908673019327e-15
0.016,9.876970590351908,0.15999020953770504,1.0547118733938987e-15,1.0483458419772618e-15
0.017,9.871790148319814,0.16998818831081763,2.0261570199409107e-15,2.0194344258287676e-15
0.018000000000000002,9.866882844243076,0.17998590654505975,2.1371793224034263e-15,2.1304785057280446e-15
0.019,9.862243670285254,0.18998334845266918,9.43689570931383e-16,9.367596550547993e-16
0.02,9.857867354270121,0.19998049824632247,3.885780586188048e-16,3.814809433523583e-16
0.021,9.853748364900213,0.20997734013915448,-6.106226635438361e-16,-6.181403999496107e-16
0.022,9.849880917231108,0.21997385834478855,-7.771561172376096e-16,-7.850352408468732e-16
0.023,9.846258978396026,0.22997003707735786,-2.498001805406602e-16,-2.5766886012141187e-16
0.024,9.84287627357509,0.23996586055153024,-4.996003610813204e-16,-5.077162805639041e-16
0.025,9.83972629220337,0.24996131298253665,-9.159339953157541e-16,-9.24242353838865e-16
0.026000000000000002,9.836802294411578,0.25995637858619425,-6.106226635438361e-16,-6.189132387047316e-16
0.027,9.834097317693058,0.26995104157892946,-2.7755575615628914e-16,-2.859339841825679e-16
0.028,9.831604183790487,0.2799452861778047,-4.440892098500626e-16,-4.526622179201863e-16
0.029,9.829315505795506,0.28993909660054484,2.220446049250313e-16,2.133249587874085e-16
0.03,9.82722369545425,0.2999324570655588,1.3877787807814457e-15,1.3789588510419662e-15
0.031,9.825320970671594,0.30992535179196423,8.881784197001252e-16,8.793027276614395e-16
0.032,9.823599363206686,0.31991776499961944,1.887379141862766e-15,1.8784118272017153e-15
0.033,9.822050726552188,0.32990968090913775,2.0539125955565396e-15,2.044894383585813e-15
0.034,9.820666743989445,0.3399010837419212,2.4980018054066022e-15,2.488971462364694e-15
0.035,9.819438936811625,0.34989195772018,2.3314683517128287e-15,2.3224233943021296e-15
0.036000000000000004,9.818358672706728,0.3598822870669611,2.220446049250313e-15,2.211391773850315e-15
0.037,9.817417174292178,0.36987205600617123,2.4980018054066022e-15,2.4889463473688533e-15
0.038,9.816605527792587,0.37986124876259986,1.4432899320127035e-15,1.4342589531552308e-15
0.039,9.81591469185212,0.38984984956195134,2.220446049250313e-15,2.2114091097266766e-15
0.04,9.815335506472755,0.3998378426308591,2.3314683517128287e-15,2.3224909847772003e-15
0.041,9.814858702069646,0.40982521219691925,2.3314683517128287e-15,2.3225354025091943e-15
0.042,9.814474908634622,0.4198119424887121,2.275957200481571e-15,2.2670905593270695e-15
0.043000000000000003,9.814174664998793,0.42979801773582693,1.6653345369377348e-15,1.6565538655416019e-15
0.044,9.81394842818512,0.4397834221688903,2.9976021664879227e-15,2.988846374061626e-15
0.045,9.813786582841715,0.4497681400195823,2.886579864025407e-15,2.877864099483261e-15
0.046,9.813679450746577,0.45975215552067183,2.6645352591003757e-15,2.655872391629847e-15
0.047,9.813617300374357,0.46973545290603624,2.886579864025407e-15,2.8780589751563986e-15
0.048,9.81359035651574,0.47971801641068623,3.552713678800501e-15,3.5443430428713292e-15
0.049,9.813588809939917,0.4896998302707889,2.1094237467877974e-15,2.1010523183097543e-15
0.05,9.813602827090662,0.4996808787237015,2.3314683517128287e-15,2.3231782827559036e-15
0.051000000000000004,9.81362255980638,0.5096611460079838,1.9984014443252818e-15,1.9900370533408212e-15
0.052000000000000005,9.813638155054589,0.519640616363434,3.3306690738754696e-15,3.322229367663714e-15
0.053,9.813639764671203,0.5296192740311039,4.3298697960381105e-15,4.321429966271865e-15
0.054,9.813617555095007,0.53959710325333,3.885780586188048e-15,3.877335003606024e-15
0.055,9.813561717087723,0.5495740882737614,5.329070518200751e-15,5.320689747581851e-15
0.056,9.813462475430061,0.5595502133373724,4.107825191113079e-15,4.0994204854195736e-15
0.057,9.813310098584216,0.5695254626905033,3.6637359812630166e-15,3.655373310419905e-15
0.058,9.813094908313234,0.5794998205808746,4.884981308350689e-15,4.876645857930019e-15
0.059000000000000004,9.813046093687,0.5811925118017989,4.773959005888173e-15,4.765638600389492e-15
0.06,9.812369638828649,0.5994450326532306,-0.00024731296643210054,0.00024731296644192233
0.061,9.811908614988994,0.6094166216558357,-0.00024731296643309975,0.00024731296644092313
0.062,9.811346788133486,0.6193872562008842,-0.000247312966434321,0.0002473129664397019
0.063,9.810674888649867,0.6293569205433833,-0.00024731296643565326,0.0002473129664383696
0.064,9.809883756510217,0.639325598939875,-0.000247312966434321,0.0002473129664397019
0.065,9.8089643503263,0.6492932756484517,-0.0002473129664338769,0.000247312966440146
0.066,9.807907756287845,0.6592599349287926,-0.0002473129664333218,0.0002473129664407011
0.067,9.806705196974894,0.6692255610421807,-0.00024731296643409895,0.00024731296643992393
0.068,9.80534804003558,0.6791901382515348,-0.0002473129664333218,0.0002473129664407011
0.069,9.80382780672071,0.6891536508214244,-0.00024731296643420997,0.0002473129664398129
0.07,9.802136180266775,0.6991160830181062,-0.00024731296643365486,0.000247312966440368
0.07100000000000001,9.800265014119093,0.7090774191095388,-0.0002473129664327667,0.0002473129664412562
0.07200000000000001,9.798206339986978,0.7190376433654126,-0.0002473129664317675,0.0002473129664422554
0.073,9.795952375722976,0.7289967400571733,-0.0002473129664314344,0.00024731296644258847
0.074,9.793495533018406,0.738954693458048,-0.0002473129664314344,0.00024731296644258847
0.075,9.790828424907598,0.7489114878430687,-0.00024731296643210054,0.00024731296644192233
0.076,9.787943873073432,0.7588671074890989,-0.00024731296643265566,0.0002473129664413672
0.077,9.784834914946961,0.7688215366748565,-0.0002473129664328777,0.0002473129664411452
0.078,9.781494810594115,0.7787747596809389,-0.0002473129664329887,0.00024731296644103415
0.079,9.777917049382692,0.7887267607898476,-0.00024731296643365486,0.000247312966440368
0.08,9.774095356423054,0.7986775242860151,-0.00024731296643420997,0.0002473129664398129
0.081,9.770023698776166,0.808627034455828,-0.000247312966434432,0.00024731296643959086
0.082,9.765696291422865,0.8185752755876514,-0.000247312966434321,0.0002473129664397019
0.083,9.761107602988451,0.8285222319718546,-0.00024731296643409895,0.00024731296643992393
0.084,9.756252361216974,0.8384678879008352,-0.000247312966434321,0.0002473129664397019
0.085,9.75112555818978,0.8484122276690442,-0.00024731296643554224,0.00024731296643848064
0.08600000000000001,9.745722455283206,0.8583552355730131,-0.00024731296643665246,0.0002473129664373704
0.08700000000000001,9.740038587860493,0.8682968959113762,-0.00024731296643654144,0.00024731296643748144
0.088,9.734069769693324,0.8782371929848942,-0.0002473129664358753,0.0002473129664381476
0.089,9.727812097108584,0.8881761110964792,-0.00024731296643665246,0.0002473129664373704
0.09,9.721261952856292,0.8981136345512262,-0.00024731296643565326,0.0002473129664383696
0.091,9.71441600969484,0.9080497476564258,-0.00024731296643609735,0.00024731296643792553
0.092,9.707271233690058,0.9179844347216015,-0.0002473129664357643,0.0002473129664382586
0.093,9.699824887224782,0.927917680058524,-0.0002473129664369855,0.00024731296643703735
0.094,9.692074531716026,0.9378494679812466,-0.0002473129664364304,0.00024731296643759246
0.095,9.684018030037011,0.9477797828061174,-0.0002473129664368745,0.0002473129664371484
0.096,9.675653548641716,0.9577086088518154,-0.0002473129664369855,0.00024731296643703735
0.097,9.666979559389805,0.9676359304393678,-0.0002473129664379847,0.00024731296643603815
0.098,9.657994841070177,0.9775617318921803,-0.00024731296643820677,0.0002473129664358161
0.099,9.648698480621594,0.9874859975360568,-0.00024731296643853984,0.00024731296643548304
0.1,9.639089874049205,0.9974087116992276,-0.00024731296643853984,0.00024731296643548304
0.101,9.62916872703606,1.0073298587123727,-0.00024731296643820677,0.0002473129664358161
0.10200000000000001,9.618935055249006,1.0172494229086464,-0.0002473129664377627,0.0002473129664362602
0.10300000000000001,9.608389184338657,1.0271673886237025,-0.0002473129664377627,0.0002473129664362602
0.10400000000000001,9.597531749633454,1.037083740195719,-0.00024731296643865086,0.000247312966435372
0.105,9.586363695528105,1.0469984619654245,-0.00024731296643865086,0.000247312966435372
0.106,9.574886274567007,1.0569115382761183,-0.00024731296643998313,0.00024731296643403975
0.107,9.563101046223565,1.066822953473702,-0.0002473129664402052,0.0002473129664338177
0.108,9.551009875376604,1.076732691906697,-0.0002473129664404272,0.00024731296643359566
0.109,9.538614930485378,1.086640737926274,-0.00024731296644064926,0.0002473129664333736
0.11,9.525918681464985,1.096547075886276,-0.0002473129664402052,0.0002473129664338177
0.111,9.512923897264269,1.106451690143242,-0.0002473129664408713,0.00024731296643315157
0.112,9.499633643148622,1.1163545650564348,-0.00024731296644153744,0.00024731296643248544
0.113,9.486051277690345,1.1262556849878642,-0.00024731296644153744,0.00024731296643248544
0.114,9.472180449469553,1.1361550343023108,-0.0002473129664402052,0.0002473129664338177
0.115,9.458025093488866,1.1460525973673494,-0.0002473129664388729,0.00024731296643514997
0.116,9.443589427305444,1.1559483585533759,-0.0002473129664388729,0.00024731296643514997
0.117,9.42887794688417,1.165842302233635,-0.00024731296643754064,0.00024731296643648224
0.11800000000000001,9.413895422176063,1.1757344127842355,-0.0002473129664388729,0.00024731296643514997
0.11900000000000001,9.39864689242632,1.1856246745841883,-0.00024731296643909495,0.00024731296643492793
0.12,9.38313766121657,1.1955130720154195,-0.00024731296643865086,0.000247312966435372
0.121,9.367373291246265,1.2053995894627985,-0.0002473129664388729,0.00024731296643514997
0.122,9.351359598858368,1.2152842113141649,-0.00024731296643953904,0.00024731296643448384
0.123,9.335102648314693,1.2251669219603532,-0.00024731296643909495,0.00024731296643492793
0.124,9.318608745826598,1.235047705795214,-0.0002473129664377627,0.0002473129664362602
0.125,9.301884433346887,1.2449265472156394,-0.0002473129664373186,0.0002473129664367043
0.126,9.28493648212907,1.2548034306215907,-0.0002473129664373186,0.0002473129664367043
0.127,9.267771886060324,1.2646783404161202,-0.00024731296643865086,0.000247312966435372
0.128,9.25039785477474,1.2745512610053993,-0.00024731296643909495,0.00024731296643492793
0.129,9.232821806553643,1.2844221767987394,-0.00024731296643820677,0.0002473129664358161
0.13,9.215051361020011,1.2942910722086154,-0.00024731296643754064,0.00024731296643648224
0.131,9.197094331634183,1.3041579316506944,-0.0002473129664373186,0.0002473129664367043
0.132,9.178958717998274,1.3140227395438595,-0.0002473129664364304,0.00024731296643759246
0.133,9.160652697976882,1.3238854803102313,-0.0002473129664359863,0.00024731296643803655
0.134,9.142184619641878,1.3337461383751954,-0.00024731296643665246,0.0002473129664373704
0.135,9.123562993049205,1.343604698167428,-0.0002473129664373186,0.0002473129664367043
0.136,9.104796481855832,1.353461144118918,-0.0002473129664373186,0.0002473129664367043
0.137,9.085893894785098,1.3633154606649907,-0.0002473129664377627,0.0002473129664362602
0.138,9.066864176948913,1.3731676322443365,-0.00024731296643754064,0.00024731296643648224
0.139,9.047716401035336,1.3830176432990307,-0.00024731296643754064,0.00024731296643648224
0.14,9.028459758370262,1.3928654782745609,-0.00024731296643820677,0.0002473129664358161
0.14100000000000001,9.009103549862019,1.402711121619853,-0.00024731296643820677,0.0002473129664358161
0.14200000000000002,8.989657176837811,1.412554557787292,-0.00024731296643754064,0.00024731296643648224
0.14300000000000002,8.970130131781069,1.4223957712327469,-0.00024731296643820677,0.0002473129664358161
