time,x
0.0,1.0
0.01,0.99
0.02,0.9801
0.03,0.970299
0.04,0.9605960100000001
0.05,0.9509900499
0.06,0.941480149401
0.07,0.93206534790699
0.08,0.9227446944279202
0.09,0.9135172474836409
0.1,0.9043820750088045
0.11,0.8953382542587165
0.12,0.8863848717161293
0.13,0.8775210229989681
0.14,0.8687458127689783
0.15,0.8600583546412885
0.16,0.8514577710948756
0.17,0.8429431933839269
0.18,0.8345137614500876
0.19,0.8261686238355868
0.2,0.8179069375972309
0.21,0.8097278682212585
0.22,0.801630589539046
0.23,0.7936142836436555
0.24,0.785678140807219
0.25,0.7778213593991468
0.26,0.7700431458051553
0.27,0.7623427143471038
0.28,0.7547192872036327
0.29,0.7471720943315964
0.3,0.7397003733882804
0.31,0.7323033696543976
0.32,0.7249803359578536
0.33,0.717730532598275
0.34,0.7105532272722923
0.35000000000000003,0.7034476949995694
0.36,0.6964132180495737
0.37,0.6894490858690779
0.38,0.6825545950103872
0.39,0.6757290490602833
0.4,0.6689717585696805
0.41000000000000003,0.6622820409839837
0.42,0.6556592205741438
0.43,0.6491026283684024
0.44,0.6426116020847183
0.45,0.6361854860638712
0.46,0.6298236312032325
0.47000000000000003,0.6235253948912002
0.48,0.6172901409422882
0.49,0.6111172395328653
0.5,0.6050060671375367
0.51,0.5989560064661613
0.52,0.5929664464014996
0.53,0.5870367819374847
0.54,0.5811664141181098
0.55,0.5753547499769287
0.56,0.5696012024771594
0.5700000000000001,0.5639051904523879
0.58,0.558266138547864
0.59,0.5526834771623853
0.6,0.5471566423907614
0.61,0.5416850759668538
0.62,0.5362682252071852
0.63,0.5309055429551134
0.64,0.5255964875255622
0.65,0.5203405226503066
0.66,0.5151371174238035
0.67,0.5099857462495655
0.68,0.5048858887870699
0.6900000000000001,0.49983702989919915
0.7000000000000001,0.4948386596002072
0.71,0.4898902730042052
0.72,0.4849913702741631
0.73,0.4801414565714215
0.74,0.4753400420057073
0.75,0.4705866415856502
0.76,0.4658807751697937
0.77,0.46122196741809574
0.78,0.4566097477439148
0.79,0.45204365026647564
0.8,0.4475232137638109
0.81,0.44304798162617276
0.8200000000000001,0.43861750180991105
0.8300000000000001,0.4342313267918119
0.84,0.42988901352389386
0.85,0.42559012338865493
0.86,0.4213342221547684
0.87,0.4171208799332207
0.88,0.41294967113388853
0.89,0.40882017442254964
0.9,0.40473197267832417
0.91,0.40068465295154093
0.92,0.3966778064220255
0.93,0.39271102835780525
0.9400000000000001,0.3887839180742272
0.9500000000000001,0.3848960788934849
0.96,0.3810471181045501
0.97,0.3772366469235046
0.98,0.37346428045426955
0.99,0.36972963764972683
1.0,0.36603234127322953
1.01,0.3623720178604972
1.02,0.35874829768189226
1.03,0.3551608147050733
1.04,0.3516092065580226
1.05,0.34809311449244235
1.06,0.3446121833475179
1.07,0.3411660615140427
1.08,0.3377544008989023
1.09,0.33437685688991325
1.1,0.33103308832101414
1.11,0.327722757437804
1.12,0.32444552986342595
1.1300000000000001,0.3212010745647917
1.1400000000000001,0.31798906381914377
1.1500000000000001,0.3148091731809523
1.16,0.31166108144914284
1.17,0.3085444706346514
1.18,0.3054590259283049
1.19,0.3024044356690218
1.2,0.2993803913123316
1.21,0.29638658739920826
1.22,0.29342272152521615
1.23,0.290488494309964
1.24,0.28758360936686433
1.25,0.2847077732731957
1.26,0.2818606955404637
1.27,0.2790420885850591
1.28,0.2762516676992085
1.29,0.27348915102221644
1.3,0.2707542595119943
1.31,0.2680467169168743
1.32,0.26536624974770556
1.33,0.2627125872502285
1.34,0.2600854613777262
1.35,0.25748460676394896
1.36,0.2549097606963095
1.37,0.2523606630893464
1.3800000000000001,0.24983705645845294
1.3900000000000001,0.24733868589386843
1.4000000000000001,0.24486529903492973
1.41,0.2424166460445805
1.42,0.2399924795841347
1.43,0.23759255478829333
1.44,0.2352166292404104
1.45,0.23286446294800628
1.46,0.2305358183185262
1.47,0.22823046013534096
1.48,0.22594815553398753
1.49,0.22368867397864767
1.5,0.2214517872388612
1.51,0.2192372693664726
1.52,0.21704489667280785
1.53,0.21487444770607977
1.54,0.212725703229019
1.55,0.2105984461967288
1.56,0.2084924617347615
1.57,0.2064075371174139
1.58,0.20434346174623974
1.59,0.20230002712877734
1.6,0.20027702685748958
1.61,0.19827425658891468
1.62,0.19629151402302553
1.6300000000000001,0.19432859888279527
1.6400000000000001,0.19238531289396732
