time,outputs[1],outputs[2],outputs[3],outputs[4]
0.0,10.0,0.0,0.0,0.0
0.01,9.915778536155651,0.09999674039644904,0.0,0.0
0.02,9.860290560181886,0.19997627090556166,0.0,0.0
0.03,9.82923757718144,0.29992458854397874,0.0,0.0
0.04,9.81595635235842,0.3998264060383981,0.0,0.0
0.05,9.812022546852262,0.4996661003179572,0.0,0.0
0.06,9.808085651946394,0.5994279594648051,0.0,0.0
0.07,9.795232046186404,0.6990968361406246,0.0,0.0
0.08,9.766814404545487,0.7986603786649754,0.0,0.0
0.09,9.714298106374855,0.8981001884492014,0.0,0.0
0.1,9.633019738178838,0.9973997809563124,0.0,0.0
0.11,9.519621727304042,1.0965420692397512,0.0,0.0
0.12,9.375571983018462,1.1955110453997384,0.0,0.0
0.13,9.206612122163124,1.2942916679415797,0.0,0.0
0.14,9.018446024867076,1.392868502360232,0.0,0.0
0.15,8.820657416767324,1.4912264899710002,0.0,0.0
0.16,8.623330885778433,1.5893501377552282,0.0,0.0
0.17,8.435705017656886,1.6872239668732636,0.0,0.0
0.18,8.266890487803416,1.7848324199272245,0.0,0.0
0.19,8.123714836772214,1.88216001109133,0.0,0.0
0.2,8.010244603323633,1.979191363515019,0.0,0.0
0.21,7.928916131818085,2.0759111303750126,0.0,0.0
0.22,7.878002207377019,2.17230406843525,0.0,0.0
0.23,7.85215772620559,2.268354984558747,0.0,0.0
0.24,7.84579087392441,2.3640486966124694,0.0,0.0
0.25,7.849708034614351,2.4593700975562154,0.0,0.0
0.26,7.853876673126859,2.5543041459231075,0.0,0.0
0.27,7.849062520386084,2.6488358497412166,0.0,0.0
0.28,7.826180065459112,2.7429502840623945,0.0,0.0
0.29,7.778870745593786,2.836632583526349,0.0,0.0
0.3,7.703157290500144,2.929867958644974,0.0,0.0
0.31,7.596641984244974,3.022641662290215,0.0,0.0
0.32,7.460929730452271,3.114939050625766,0.0,0.0
0.33,7.301183006236283,3.206745572471592,0.0,0.0
0.34,7.122848208658646,3.2980466992241215,0.0,0.0
0.35000000000000003,6.934881642296487,3.38882801814687,0.0,0.0
0.36,6.747148003674138,3.479075215260371,0.0,0.0
0.37,6.568714259219269,3.5687740234756755,0.0,0.0
0.38,6.4086256460288284,3.6579102695058308,0.0,0.0
0.39,6.273776670162177,3.7464698928503477,0.0,0.0
0.4,6.168230317052836,3.8344389179727885,0.0,0.0
0.40000000020000004,6.168230315263533,3.8344389197261703,0.0,0.0
0.40000000020000004,6.168230315263533,3.8344389197261703,0.0,0.0
0.41000000000000003,6.095911544182974,3.8770399652930174,0.04476340470037726,0.0
0.42,6.054127372501001,3.8637472404942046,0.1448015224969073,0.0
0.4256528510186132,6.0417763910268665,3.8559647086411952,0.20134001810340826,0.0
0.4256528510186132,6.0417763910268665,3.8559647086411952,0.20134001810340826,0.0
0.43,6.037173320977346,3.849846013841537,0.24481419117782566,0.0
0.44,6.038626459475297,3.8353083653254028,0.3448173278533481,0.0
0.45,6.050139112297562,3.8201140669697558,0.444818093295554,0.0
0.46,6.062385786992483,3.804248090986255,0.5448182823896566,0.0
0.47000000000000003,6.06497364277566,3.7876951781069823,0.6448183231078904,0.0
0.4774076775432326,6.057094962598232,3.774984792929735,0.7188950897942917,0.0
0.4774076775432326,6.057094962598232,3.774984792929735,0.7188950897942917,0.0
0.48,6.051541838039325,3.7704450640210583,0.7448183045379324,0.0
0.49,6.01460840773204,3.7524839467902353,0.8448182784322171,0.0
0.5,5.950144868583365,3.7337985636239095,0.9448182515677914,0.0
0.51,5.855892642653511,3.714375982808619,1.0448182396487382,0.0
0.52,5.732680901272112,3.694203003022115,1.1448182348549776,0.0
0.53,5.5852294578054265,3.6732669389198493,1.2448182334093922,0.0
0.54,5.420185606141245,3.6515552484014986,1.3448182339726813,0.0
0.55,5.245475991440196,3.629055507905286,1.4448182346633358,0.0
0.56,5.071098999301564,3.6057555144895916,1.5448182352074686,0.0
0.5700000000000001,4.9065779190170895,3.5816431974415597,1.6448182356084207,0.0
0.58,4.760426469916248,3.5567065377139726,1.7448182357353474,0.0
0.59,4.6399737270521255,3.5309336891363095,1.844818235769032,0.0
0.6,4.549404160637987,3.5043129548768532,1.9448182357610335,0.0
0.61,4.490255651963063,3.4768327472612355,2.0448182357392986,0.0
0.6142974482290612,4.474764282838279,3.464756353218091,2.0877927180245353,0.0
0.6142974482290612,4.474764282838279,3.464756353218091,2.0877927180245353,0.0
0.62,4.461918316709304,3.448481585157328,2.1448182357255616,0.0
0.63,4.459843659574991,3.4192481657491416,2.2448182357170787,0.0
0.64,4.476662009950431,3.389121352835895,2.344818235712474,0.0
0.65,4.504865535776353,3.3580900622042016,2.4448182357116752,0.0
0.66,4.534550235900849,3.3261434087157857,2.5448182357118108,0.0
0.67,4.556021261221681,3.293270674682617,2.6448182357123264,0.0
0.68,4.56095754288711,3.259461250450309,2.7448182357127524,0.0
0.6900000000000001,4.542023303367672,3.2247046577033536,2.8448182357129603,0.0
0.6904883465359468,4.540428386578919,3.222982896456954,2.8497017010724375,0.0
0.6904883465359468,4.540428386578919,3.222982896456954,2.8497017010724375,0.0
0.7000000000000001,4.494659439396938,3.1889906065025713,2.9448182357130643,0.0
0.71,4.418109598547356,3.152308988463181,3.044818235713097,0.0
0.7178145661404501,4.33777634888036,3.122963896917484,3.1229638971175966,0.0
0.7178145661404501,4.33777634888036,3.122963896917484,3.1229638971175966,0.0
0.72,4.312586096579806,3.114649745231052,3.144818235713092,0.0
0.73,4.181997561273009,3.0870187528568835,3.2338024944070938,0.0
0.74,4.033029456875678,3.11821815839917,3.2629590270151083,0.0
0.75,3.8761077743683297,3.1479468764086196,3.292578939343878,0.0
0.76,3.719934688071199,3.1771148210814624,3.3217438589354913,0.0
0.77,3.573488758795835,3.205762340949383,3.350404792802587,0.0
0.78,3.4462732111496956,3.2338987591818644,3.3785425847320756,0.0
0.79,3.345619956546395,3.2615163992186864,3.406155669909838,0.0
0.7984649930998944,3.2844828422122836,3.284482842412369,3.4291201090284735,0.0
