time,h,v
0.0,1.0,0.0
0.000225,1.0,-0.00220725
0.00045,0.99999950336875,-0.0044145
0.000675,0.99999851010625,-0.006621750000000001
0.0009,0.9999970202124999,-0.008829
0.001125,0.9999950336874999,-0.01103625
0.00135,0.9999925505312499,-0.013243500000000002
0.001575,0.99998957074375,-0.015450750000000001
0.0018,0.999986094325,-0.017658
0.002025,0.999982121275,-0.01986525
0.00225,0.99997765159375,-0.022072500000000002
0.0024749999999999998,0.9999726852812499,-0.024279750000000003
0.0027,0.9999672223374999,-0.026487000000000007
0.002925,0.9999612627624999,-0.028694250000000008
0.00315,0.9999548065562499,-0.03090150000000001
0.003375,0.99994785371875,-0.033108750000000006
0.0036,0.99994040425,-0.03531600000000001
0.003825,0.99993245815,-0.03752325000000001
0.00405,0.99992401541875,-0.03973050000000001
0.004275,0.99991507605625,-0.04193775000000001
0.0045,0.9999056400624999,-0.044145000000000004
0.004725,0.9998957074374999,-0.046352250000000005
0.0049499999999999995,0.9998852781812498,-0.0485595
0.005175,0.9998743522937499,-0.05076675
0.0054,0.9998629297749999,-0.052974
0.005625,0.9998510106249999,-0.055181249999999994
0.00585,0.9998385948437499,-0.057388499999999995
0.006075,0.9998256824312499,-0.05959574999999999
0.0063,0.9998122733874999,-0.06180299999999999
0.0065249999999999996,0.9997983677124999,-0.06401024999999999
0.00675,0.9997839654062498,-0.0662175
0.006974999999999999,0.9997690664687499,-0.06842474999999999
0.0072,0.9997536708999999,-0.070632
0.007425,0.9997377786999999,-0.07283925000000001
0.00765,0.9997213898687499,-0.0750465
0.007875,0.9997045044062499,-0.07725375000000001
0.0081,0.9996871223124999,-0.079461
0.008324999999999999,0.9996692435874999,-0.08166825
0.00855,0.9996508682312498,-0.0838755
0.008775,0.9996319962437499,-0.08608275
0.009,0.9996126276249999,-0.08829
0.009225,0.9995927623749999,-0.09049725
0.00945,0.99957240049375,-0.0927045
0.009675,0.99955154198125,-0.09491174999999999
0.009899999999999999,0.9995301868375,-0.09711899999999998
0.010125,0.9995083350624999,-0.09932624999999999
0.01035,0.9994859866562499,-0.10153349999999998
0.010575,0.9994631416187498,-0.10374074999999998
0.0108,0.9994397999499999,-0.10594799999999999
0.011025,0.9994159616499999,-0.10815524999999998
0.01125,0.9993916267187499,-0.11036249999999997
0.011474999999999999,0.9993667951562499,-0.11256974999999997
0.0117,0.9993414669624999,-0.11477699999999998
0.011925,0.9993156421374999,-0.11698424999999997
0.01215,0.9992893206812499,-0.11919149999999996
0.012374999999999999,0.9992625025937498,-0.12139874999999996
0.0126,0.9992351878749999,-0.12360599999999997
0.012825,0.9992073765249999,-0.12581324999999996
0.013049999999999999,0.9991790685437499,-0.12802049999999995
0.013275,0.99915026393125,-0.13022774999999998
0.0135,0.9991209626875,-0.13243499999999997
0.013725,0.9990911648124999,-0.13464224999999996
0.013949999999999999,0.9990608703062499,-0.13684949999999996
0.014175,0.9990300791687499,-0.13905674999999998
0.0144,0.9989987913999998,-0.14126399999999997
0.014624999999999999,0.9989670069999999,-0.14347124999999997
0.01485,0.9989347259687499,-0.1456785
0.015075,0.9989019483062499,-0.14788574999999998
0.0153,0.9988686740124999,-0.15009299999999998
0.015524999999999999,0.9988349030874999,-0.15230024999999997
0.01575,0.9988006355312499,-0.1545075
0.015975,0.9987658713437498,-0.15671474999999999
0.0162,0.9987306105249998,-0.15892199999999998
0.016425,0.9986948530749998,-0.16112924999999997
0.016649999999999998,0.9986585989937499,-0.16333649999999997
