time,outputs[1],outputs[2]
0.0,25.0,20.0
0.001,25.0,20.009998256517633
0.002,25.0,20.01999509345461
0.003,25.0,20.029991002672034
0.004,25.0,20.03998479664625
0.005,25.0,20.04997337283146
0.006,25.0,20.059960715042962
0.007,25.0,20.069946823280702
0.008,25.0,20.07993169754468
0.009000000000000001,25.0,20.08991533783501
0.01,25.0,20.099897744151576
0.011,25.0,20.10987891649438
0.012,25.0,20.11985885486348
0.013000000000000001,25.0,20.129837559258874
0.014,25.0,20.139815029680562
0.015,25.0,20.14979126612849
0.016,25.0,20.159766268602652
0.017,25.0,20.169740037103168
0.018000000000000002,25.0,20.17971257162992
0.019,25.0,20.18968387218291
0.02,25.0,20.199653938762197
0.021,25.0,20.209622771367776
0.022,25.0,20.219590369999594
0.023,25.0,20.229556734657706
0.024,25.0,20.239521865342113
0.025,25.0,20.249485762052757
0.026000000000000002,25.0,20.259448424789696
0.027,25.0,20.26940985355293
0.028,25.0,20.2793700483424
0.029,25.0,20.289329009158166
0.03,25.0,20.29928673600017
0.031,25.0,20.309243228868468
0.032,25.0,20.31919848776306
0.033,25.0,20.32915251268389
0.034,25.0,20.339105303631015
0.035,25.0,20.349056860604378
0.036000000000000004,25.0,20.359007183604035
0.037,25.0,20.368956272629987
0.038,25.0,20.378904127682176
0.039,25.0,20.388845412335797
0.04,25.0,20.398784797004566
0.041,25.0,20.408722857788007
0.042,25.0,20.418659594686233
0.043000000000000003,25.0,20.42859500769913
0.044,25.0,20.438529096826755
0.045,25.0,20.44846186206911
0.046,25.0,20.458393303426192
0.047,25.0,20.468323420898002
0.048,25.0,20.478252214484485
0.049,25.0,20.488179684185752
0.05,25.0,20.49810583000169
0.051000000000000004,25.0,20.50803065193236
0.052000000000000005,25.0,20.517954149977754
0.053,25.0,20.52787632413788
0.054,25.0,20.537797174412674
0.055,25.0,20.547716700802255
0.056,25.0,20.557634903306507
0.057,25.0,20.567551781925488
0.058,25.0,20.577467336659254
0.059000000000000004,25.0,20.587381567507634
0.06,25.0,20.5972944744708
0.061,25.0,20.607206057548694
0.062,25.0,20.61711631674126
0.063,25.0,20.62702525204861
0.064,25.0,20.636932863470633
0.065,25.0,20.646839151007384
0.066,25.0,20.656744114658864
0.067,25.0,20.66664775442507
0.068,25.0,20.67655007030595
0.069,25.0,20.686451062301614
0.07,25.0,20.69635073041195
0.07100000000000001,25.0,20.70624907463707
0.07200000000000001,25.0,20.716146094976864
0.073,25.0,20.726041791431328
0.074,25.0,20.735936164000577
0.075,25.0,20.745829212684555
0.076,25.0,20.755720937483204
0.077,25.0,20.76561133839664
0.078,25.0,20.775500415424744
0.079,25.0,20.78538816856758
0.08,25.0,20.79527459782514
0.081,25.0,20.805159703197432
0.082,25.0,20.815043484684395
0.083,25.0,20.824925942286143
0.084,25.0,20.834807076002562
0.085,25.0,20.84468688583371
0.08600000000000001,25.0,20.854565371779586
0.08700000000000001,25.0,20.86444253384019
0.088,25.0,20.874318372015523
0.089,25.0,20.884192886305527
0.09,25.0,20.894066076710317
0.091,25.0,20.903937943229778
0.092,25.0,20.913808485863967
0.093,25.0,20.923677704612885
0.094,25.0,20.93354559947653
0.095,25.0,20.943412170454906
0.096,25.0,20.95327741754801
0.097,25.0,20.963141340755783
0.098,25.0,20.973003940078286
0.099,25.0,20.982865215515517
0.1,25.0,20.992725167067476
0.101,25.0,21.002583794734164
0.10200000000000001,25.0,21.01244109851558
0.10300000000000001,25.0,21.022297078411725
0.10400000000000001,25.0,21.03215173442254
0.105,25.0,21.042005066548086
0.106,25.0,21.05185707478836
0.107,25.0,21.06170775914336
0.108,25.0,21.07155711961309
0.109,25.0,21.081405156197548
0.11,25.0,21.091251868896677
0.111,25.0,21.10109725771059
0.112,25.0,21.110941322639178
0.113,25.0,21.120784063682493
0.114,25.0,21.130625480840536
0.115,25.0,21.140465574113307
0.116,25.0,21.150304343500807
0.117,25.0,21.160141789002978
0.11800000000000001,25.0,21.169977910619934
0.11900000000000001,25.0,21.179812708351562
0.12,25.0,21.18964618219792
0.121,25.0,21.199478332159003
0.122,25.0,21.209309158234817
0.123,25.0,21.2191386604253
0.124,25.0,21.22896683873057
0.125,25.0,21.238793693150512
0.126,25.0,21.24861922368524
0.127,25.0,21.258443430334637
0.128,25.0,21.268266313098763
0.129,25.0,21.27808787197756
0.13,25.0,21.287908106971145
0.131,25.0,21.297727018079456
0.132,25.0,21.30754460530244
0.133,25.0,21.31736086864015
0.134,25.0,21.32717580809259
0.135,25.0,21.33698942365976
0.136,25.0,21.346801715341655
0.137,25.0,21.35661268313828
0.138,25.0,21.366422327049577
0.139,25.0,21.3762306470756
0.14,25.0,21.38603764321641
0.14100000000000001,25.0,21.395843315471893
0.14200000000000002,25.0,21.405647663842103
0.14300000000000002,25.0,21.415450688326985
0.14400000000000002,25.0,21.42525238892665
0.145,25.0,21.43505276564099
0.146,25.0,21.444851818470113
0.147,25.0,21.454649547413908
0.148,25.0,21.46444595247243
0.149,25.0,21.474241033645683
0.15,25.0,21.484034790933663
0.151,25.0,21.493827224336314
0.152,25.0,21.50361833385375
0.153,25.0,21.51340811948586
0.154,25.0,21.523196581232696
0.155,25.0,21.53298371909426
0.156,25.0,21.542769533070555
0.157,25.0,21.552554023161576
0.158,25.0,21.56233718936727
0.159,25.0,21.57211903168775
0.16,25.0,21.5818995501229
0.161,25.0,21.591678744672777
0.162,25.0,21.601456615337383
0.163,25.0,21.61123316211672
0.164,25.0,21.621008385010782
0.165,25.0,21.630782284019517
0.166,25.0,21.640554859143037
0.167,25.0,21.65032611038123
0.168,25.0,21.66009603773415
0.169,25.0,21.669864519966325
0.17,25.0,21.679631147346697
0.171,25.0,21.68939644436432
0.17200000000000001,25.0,21.69916041101908
0.17300000000000001,25.0,21.708923047311032
0.17400000000000002,25.0,21.718684353240235
0.17500000000000002,25.0,21.728444328806575
0.176,25.0,21.738202974010164
0.177,25.0,21.747960288850948
0.178,25.0,21.757716273328924
0.179,25.0,21.767470927444094
0.18,25.0,21.777224251196458
0.181,25.0,21.78697624458607
0.182,25.0,21.796726907612822
0.183,25.0,21.806476240276822
0.184,25.0,21.81622424257796
0.185,25.0,21.825970914516347
0.186,25.0,21.835716256091928
0.187,25.0,21.845460267304702
0.188,25.0,21.85520294815467
0.189,25.0,21.86494429864183
0.19,25.0,21.874684318766242
0.191,25.0,21.88442300852779
0.192,25.0,21.894160367926588
0.193,25.0,21.90389639696258
0.194,25.0,21.913631095635765
0.195,25.0,21.923364463946086
0.196,25.0,21.933096501893715
0.197,25.0,21.94282720947848
0.198,25.0,21.95255658670044
0.199,25.0,21.96228463355959
0.2,25.0,21.972011350055993
0.201,25.0,21.98173673618959
0.202,25.0,21.99146079196032
0.203,25.0,22.001183517368304
0.20400000000000001,25.0,22.01090491241348
0.20500000000000002,25.0,22.02062497709585
0.20600000000000002,25.0,22.03034371141547
0.20700000000000002,25.0,22.040061115372225
0.20800000000000002,25.0,22.04977718896623
0.209,25.0,22.059491932197375
0.21,25.0,22.069205345065768
0.211,25.0,22.078917427571355
0.212,25.0,22.088628179714135
0.213,25.0,22.09833760149411
0.214,25.0,22.108045692911276
0.215,25.0,22.117752453965636
0.216,25.0,22.12745788465719
0.217,25.0,22.137161984985994
0.218,25.0,22.14686475495199
0.219,25.0,22.156566194555126
0.22,25.0,22.16626630379551
0.221,25.0,22.175965082673088
0.222,25.0,22.18566253118786
0.223,25.0,22.195358649339823
0.224,25.0,22.20505343712904
0.225,25.0,22.21474689455539
0.226,25.0,22.22443902161899
0.227,25.0,22.234129818319786
0.228,25.0,22.243819284657718
0.229,25.0,22.2535074206329
0.23,25.0,22.263194226245275
0.231,25.0,22.272879701494844
0.232,25.0,22.282563846381663
0.233,25.0,22.29224666090562
0.234,25.0,22.301928145066825
0.23500000000000001,25.0,22.311608298865167
0.23600000000000002,25.0,22.32128712230076
0.23700000000000002,25.0,22.330964615373546
0.23800000000000002,25.0,22.340640778083525
0.23900000000000002,25.0,22.350315610430698
0.24,25.0,22.359989112415064
0.241,25.0,22.369661284036624
0.242,25.0,22.379332125295434
0.243,25.0,22.38900163619138
0.244,25.0,22.398669816724578
0.245,25.0,22.408336666894968
0.246,25.0,22.418002186702495
0.247,25.0,22.427666376147272
0.248,25.0,22.4373292352293
0.249,25.0,22.446990763948463
0.25,25.0,22.45665096230482
0.251,25.0,22.466309830298428
0.252,25.0,22.475967367929172
0.253,25.0,22.485623575197167
0.254,25.0,22.495278452102355
0.255,25.0,22.504931998644736
0.256,25.0,22.51458421482431
0.257,25.0,22.52423510064108
0.258,25.0,22.53388465609504
0.259,25.0,22.543532881186252
0.26,25.0,22.5531797759146
0.261,25.0,22.5628253402802
0.262,25.0,22.572469574282934
0.263,25.0,22.58211247792292
0.264,25.0,22.5917540512001
0.265,25.0,22.60139429411447
0.266,25.0,22.611033206666093
0.267,25.0,22.620670788854852
0.268,25.0,22.630307040680805
0.269,25.0,22.639941962144007
0.27,25.0,22.649575553244404
0.271,25.0,22.659207813981936
0.272,25.0,22.66883874435672
0.273,25.0,22.678468344368696
0.274,25.0,22.688096614017866
0.275,25.0,22.697723553304286
0.276,25.0,22.707349162227842
0.277,25.0,22.71697344078865
0.278,25.0,22.726596388986593
0.279,25.0,22.736218006821787
