"time","soc","temp_cell_C","v_term_V","heat_gen_W","pump_cmd","coolant_temp_C"
0.0,0.85,30.0,359.6586,0.0,0.2,28.0
1.0,0.8497777777777774,29.99693779193673,314.6226517896984,41.159302331916464,0.06973568802,27.993344136151777
2.0,0.8495555555555548,29.99386973783819,314.60780377162223,41.15981407170611,0.024315330918113866,27.987629799580652
3.0,0.8493333333333323,29.99079745454328,314.5929565900909,41.160326616647296,0.008478231655043243,27.982622758005075
4.0,0.8491111111111097,29.987721963855677,314.5781104790402,41.16083986834501,0.0029561765882869183,27.977992671096633
5.0,0.8488888888888871,29.984643782549277,314.5632655554375,41.16135377714105,0.0010307550414640227,27.973541217422245
6.0,0.8486666666666646,29.98156315409985,314.54842187293417,41.16186831975888,0.0003594020599828862,27.969172483719625
7.0,0.848444444444442,29.978480194999676,314.5335794557576,41.16238348518189,0.0001253157496435594,27.964844034052344
8.0,0.8482222222222194,29.975394966551438,314.51873831534624,41.16289926772229,4.3694900105678427e-05,27.9605378531386
9.0,0.8479999999999969,29.972307506806615,314.5038984577512,41.16341566393695,1.5235469609173279e-05,27.9562464413827
10.0,0.8477777777777743,29.96921784415029,314.4890598867853,41.16393267131538,5.312279777517496e-06,27.951966701736787
11.0,0.8475555555555517,29.966126002954283,314.47422260533386,41.16445028773359,1.8522774261995755e-06,27.947697354683182
12.0,0.8473333333333292,29.963032005903887,314.45938661589395,41.16496851122929,6.45849203599711e-07,27.943437865720345
13.0,0.8471111111111066,29.959935874950208,314.44455192079556,41.165487339909866,2.2519369285097453e-07,27.939188004627677
14.0,0.846888888888884,29.956837631698892,314.42971852229147,41.166006771914795,7.852018554363632e-08,27.934947665239044
15.0,0.8466666666666615,29.953737297568647,314.41488642259446,41.16652680540033,2.7378295811717685e-08,27.93071679193112
16.0,0.8464444444444389,29.950634893855927,314.4000556238919,41.16704743853327,9.546221476226084e-09,27.92649534967855
17.0,0.8462222222222163,29.947530441761362,314.38522612835186,41.16756866948836,3.32856161317963e-09,27.922283311864415
18.0,0.8459999999999938,29.944423962400688,314.37039793812625,41.16809049644727,1.1605976710602132e-09,27.918080655319912
19.0,0.8457777777777712,29.94131547680928,314.35557105535094,41.16861291759815,4.04675385528968e-10,27.91388735830626
20.0,0.8455555555555486,29.938205005944187,314.340745482147,41.16913593113546,1.4110158217310665e-10,27.909703399693655
21.0,0.845333333333326,29.935092570685043,314.32592122062044,41.169659535259825,4.9199079567760785e-11,27.905528758627245
22.0,0.8451111111111035,29.931978191834588,314.31109827286275,41.17018372817805,1.7154658318042616e-11,27.90136341439116
23.0,0.8448888888888809,29.92886189011904,314.2962766409506,41.17070850810305,5.981459502783589e-12,27.897207346353156
24.0,0.8446666666666584,29.92574368618836,314.2814563269459,41.17123387325384,2.085605968951903e-12,27.893060533942073
25.0,0.8444444444444358,29.92262360061645,314.26663733289604,41.171759821855524,7.272058359173985e-13,27.88892295663855
26.0,0.8442222222222132,29.91950165390147,314.251819660834,41.17228635213925,2.5356099649929506e-13,27.884794593971208
27.0,0.8439999999999906,29.916377866465975,314.2370033127782,41.17281346234221,8.841125272957577e-14,27.880675425515076
28.0,0.8437777777777681,29.91325225865723,314.22218829073245,41.17334115070763,3.0827097689035346e-14,27.876565430890828
