time,Output1,Output2,Output3,Output4,Output5,Output6
0.0,64.27977977985257,300.0000000000996,0.0,43.012500000014285,7.25225225225466,0.30000000000000004
0.01,132.4722799649353,254.56831318322384,122.95054316460592,40.74868833495845,23.234441503203183,18.570171372760353
0.02,206.8204755567212,176.41549827029365,143.68673121642018,37.85060536219594,37.368237042338286,22.441540823741647
0.03,202.26411215165928,112.73467839802571,91.28243906504815,34.99260143033051,30.611646892259287,22.03845205301276
0.04,140.72484059171543,79.19882397588314,35.30646077530025,32.08799934322136,20.70499793165312,26.63946990294465
0.05,96.09000590283485,65.96446060194612,5.658060302466924,28.963333673954654,24.262044005303427,31.24275881149636
0.06,104.54217678043466,60.61442459671932,0.0,25.857309707128994,31.689589534419593,29.017448146478685
0.07,143.83615081189723,55.63123969229697,0.0,23.075042074899415,29.410317660823846,23.041834541469417
0.08,167.0118359873773,50.67833567058705,0.0,20.60644067112389,21.88959100853127,19.514614705138598
0.09,153.93639714963706,45.771551802198935,0.0,18.300978174821704,19.857278891505356,18.04521233714608
0.1,119.35392884839901,40.93422836231183,0.0,16.15347158284384,22.3137188908385,14.651170784594264
0.11,91.64698485654695,36.19609396516665,0.0,14.244976699654112,21.527710389759097,9.255271587793791
0.12,86.78283321978802,31.59191992727663,0.0,12.56147360046055,16.841627709958296,4.976472538617588
0.13,99.11202881696852,27.159989018043607,0.0,11.012898785361472,13.730075689510663,2.661260789777891
0.14,111.59336354343117,22.94043082132867,0.0,9.55370258296884,13.763056711647373,0.3654208133205029
0.15,112.1393720721837,18.97347924294231,0.0,8.164680842365216,15.38968490030407,0.0
0.16,101.63479362117945,15.297709382928529,0.0,6.816921101059031,17.133783636071037,0.0
0.17,89.63879921072856,11.948311018727326,0.0,5.5332814893712685,16.77657348687501,0.0
0.18,84.49561217784161,8.95545433188377,0.0,4.336625343553326,14.91036385324412,0.0
0.19,87.10783162215006,6.342800317483275,0.0,3.2395572360432072,13.448101131241117,0.0
0.2,92.23382427321124,4.1311372659885786,0.0,2.2470063391460706,13.388010427711977,0.0
0.21,94.23614874622011,2.3506969183912,0.0,1.3599103086143587,14.129506956283102,0.0
