time,room.RAT,room.energy,wall.Tisurf,wall.Tosurf,der(room.RAT),der(room.energy),der(wall.Tisurf),der(wall.Tosurf),OAT,RAT,fanspeed,room.DT,room.EWT,room.Qin,room.Qout,room.SAT,room.fs,room.mdota,room.mdotw,room.vo,valveopen,wall.C,wall.R,room.Tisurf,room.fanspeed,room.valveopen,wall.OAT,wall.RAT
0.0,16.0,0.0,16.0,10.0,1.3289036544850503e-06,0.4857600000000001,-0.0008902573757972958,-0.011556168100429158,0.0,16.0,0.0,0.4857600000000001,28.381726859602963,0.4857600000000001,0.0,25.6,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,16.0,0.0,0.0,0.0,16.0
0.0005,16.000000000664453,0.00024288000000000003,15.999999554871312,9.99999422191595,1.328610958729726e-06,0.48575999998655156,-0.000890258028409444,-0.011556160117496097,0.0,16.000000000664453,0.0,0.48565300963269514,28.381726859602963,0.48575999998655156,0.00010699035385641764,25.60000000066446,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999999554871312,0.0,0.0,0.0,16.000000000664453
0.001,16.000000001328758,0.0004857599999932758,15.999999109742298,9.99998844383589,1.3283182628577795e-06,0.48575999997310604,-0.000890258681020896,-0.011556152134568646,0.0,16.000000001328758,0.0,0.48554601922276064,28.38172685992462,0.48575999997310604,0.00021398075034539943,25.60000000106298,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999999109742298,0.0,0.0,0.0,16.000000001328758
0.0015,16.000000001992916,0.0007286399999798289,15.999998664612956,9.999982665759823,1.3280255668668775e-06,0.48575999995966346,-0.0008902593336316512,-0.011556144151646802,0.0,16.000000001992916,0.0,0.48543902876934386,28.381726860246207,0.48575999995966346,0.00032097119031959664,25.600000001461414,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999998664612956,0.0,0.0,0.0,16.000000001992916
0.002,16.00000000265693,0.0009715199999596605,15.99999821948329,9.999976887687748,1.3277328707581864e-06,0.4857599999462238,-0.0008902599862417101,-0.011556136168730568,0.0,16.00000000265693,0.0,0.48533203827287114,28.381726860567724,0.4857599999462238,0.00042796167335268365,25.600000001859765,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99999821948329,0.0,0.0,0.0,16.00000000265693
0.0025,16.000000003320796,0.0012143999999327726,15.999997774353297,9.999971109619663,1.32744017453054e-06,0.4857599999327872,-0.0008902606388510717,-0.011556128185819943,0.0,16.000000003320796,0.0,0.4852250477329162,28.381726860889167,0.4857599999327872,0.0005349521998709861,25.600000002258025,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999997774353297,0.0,0.0,0.0,16.000000003320796
0.003,16.000000003984518,0.0014572799998991662,15.999997329222976,9.99996533155557,1.3271474781839381e-06,0.48575999991935337,-0.0008902612914597363,-0.011556120202914926,0.0,16.000000003984518,0.0,0.48511805714947887,28.381726861210545,0.48575999991935337,0.0006419427698745039,25.6000000026562,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999997329222976,0.0,0.0,0.0,16.000000003984518
0.0035,16.00000000464809,0.001700159999858843,15.999996884092331,9.999959553495469,1.3268547817218804e-06,0.4857599999059227,-0.0008902619440677058,-0.011556112220015515,0.0,16.00000000464809,0.0,0.48501106652383846,28.38172686153185,0.4857599999059227,0.0007489333820842603,25.600000003054284,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999996884092331,0.0,0.0,0.0,16.00000000464809
0.004,16.000000005311517,0.0019430399998118044,15.99999643896136,9.999953775439359,1.3265620851408672e-06,0.48575999989249496,-0.0008902625966749782,-0.011556104237121717,0.0,16.000000005311517,0.0,0.48490407585471573,28.38172686185308,0.48575999989249496,0.0008559240377792321,25.600000003452283,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99999643896136,0.0,0.0,0.0,16.000000005311517
0.0045000000000000005,16.000000005974798,0.002185919999758052,15.99999599383006,9.99994799738724,1.3262693884408985e-06,0.48575999987907015,-0.0008902632492815534,-0.011556096254233527,0.0,16.000000005974798,0.0,0.48479708514211073,28.381726862174244,0.48575999987907015,0.0009629147369594193,25.600000003850194,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99999599383006,0.0,0.0,0.0,16.000000005974798
0.005,16.000000006637933,0.002428799999697587,15.999995548698436,9.999942219339113,1.3259766916231409e-06,0.4857599998656483,-0.0008902639018874323,-0.01155608827135094,0.0,16.000000006637933,0.0,0.4846900943864498,28.381726862495334,0.4857599998656483,0.0010699054791984963,25.600000004248013,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999995548698436,0.0,0.0,0.0,16.000000006637933
0.0055,16.000000007300923,0.002671679999630411,15.999995103566485,9.999936441294977,1.3256839946864277e-06,0.4857599998522293,-0.0008902645544926141,-0.011556080288473967,0.0,16.000000007300923,0.0,0.4845831035873065,28.38172686281635,0.4857599998522293,0.0011768962649227888,25.60000000464575,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999995103566485,0.0,0.0,0.0,16.000000007300923
0.006,16.000000007963763,0.002914559999556526,15.999994658434208,9.999930663254833,1.3253912976330925e-06,0.48575999983881346,-0.0008902652070971001,-0.011556072305602601,0.0,16.000000007963763,0.0,0.4844761127455338,28.381726863137303,0.48575999983881346,0.0012838870932796453,25.600000005043395,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999994658434208,0.0,0.0,0.0,16.000000007963763
0.006500000000000001,16.000000008626458,0.0031574399994759327,15.999994213301605,9.99992488521868,1.325098600461968e-06,0.4857599998254005,-0.0008902658597008897,-0.011556064322736844,0.0,16.000000008626458,0.0,0.48436912186070513,28.38172686345818,0.4857599998254005,0.0013908779646953917,25.600000005440954,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999994213301605,0.0,0.0,0.0,16.000000008626458
0.007,16.000000009289007,0.003400319999388633,15.999993768168675,9.99991910718652,1.3248059031718883e-06,0.4857599998119906,-0.000890266512303982,-0.011556056339876697,0.0,16.000000009289007,0.0,0.48426213093239423,28.381726863778987,0.4857599998119906,0.0014978688795963535,25.600000005838424,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999993768168675,0.0,0.0,0.0,16.000000009289007
0.0075,16.00000000995141,0.0036431999992946277,15.999993323035419,9.99991332915835,1.324513205762853e-06,0.48575999979858353,-0.0008902671649063773,-0.011556048357022156,0.0,16.00000000995141,0.0,0.484155139960601,28.381726864099722,0.48575999979858353,0.0016048598379825307,25.600000006235813,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999993323035419,0.0,0.0,0.0,16.00000000995141
0.008,16.000000010613668,0.0038860799991939196,15.999992877901835,9.999907551134172,1.3242205082348628e-06,0.4857599997851795,-0.0008902678175080757,-0.011556040374173224,0.0,16.000000010613668,0.0,0.48404814894532555,28.381726864420386,0.4857599997851795,0.0017118508398539234,25.600000006633106,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999992877901835,0.0,0.0,0.0,16.000000010613668
0.0085,16.000000011275777,0.0041289599990865095,15.999992432767927,9.999901773113985,1.3239278105914158e-06,0.48575999977177836,-0.0008902684701090789,-0.011556032391329902,0.0,16.000000011275777,0.0,0.4839411578878468,28.381726864740983,0.48575999977177836,0.0018188418839315545,25.60000000703031,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999992432767927,0.0,0.0,0.0,16.000000011275777
0.009000000000000001,16.00000001193774,0.0043718399989723985,15.999991987633692,9.99989599509779,1.3236351128290138e-06,0.4857599997583802,-0.0008902691227093849,-0.011556024408492188,0.0,16.00000001193774,0.0,0.4838341667868858,28.381726865061506,0.4857599997583802,0.0019258329714944011,25.600000007427433,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999991987633692,0.0,0.0,0.0,16.00000001193774
0.0095,16.000000012599557,0.004614719998851588,15.99999154249913,9.999890217085586,1.3233424149476564e-06,0.48575999974498507,-0.0008902697753089938,-0.011556016425660084,0.0,16.000000012599557,0.0,0.4837271756424426,28.38172686538196,0.48575999974498507,0.002032824102542463,25.600000007824463,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99999154249913,0.0,0.0,0.0,16.000000012599557
0.01,16.00000001326123,0.004857599998724081,15.999991097364243,9.999884439077373,1.32304971694851e-06,0.48575999973159284,-0.0008902704279079063,-0.011556008442833587,0.0,16.00000001326123,0.0,0.4836201844549434,28.38172686570234,0.48575999973159284,0.002139815276649415,25.60000000822141,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999991097364243,0.0,0.0,0.0,16.00000001326123
0.0105,16.000000013922755,0.005100479998589877,15.999990652229028,9.999878661073152,1.3227570188304082e-06,0.48575999971820355,-0.0008902710805061218,-0.011556000460012697,0.0,16.000000013922755,0.0,0.48351319322396197,28.38172686602265,0.48575999971820355,0.002246806494241582,25.600000008618267,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999990652229028,0.0,0.0,0.0,16.000000013922755
0.011,16.000000014584135,0.005343359998448979,15.999990207093488,9.999872883072923,1.3224643205933512e-06,0.4857599997048172,-0.0008902717331036403,-0.01155599247719742,0.0,16.000000014584135,0.0,0.48340620194949824,28.38172686634289,0.4857599997048172,0.002353797755318965,25.600000009015034,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999990207093488,0.0,0.0,0.0,16.000000014584135
0.0115,16.000000015245366,0.0055862399983013875,15.999989761957622,9.999867105076685,1.322171622240838e-06,0.48575999969143385,-0.0008902723857004635,-0.011555984494387748,0.0,16.000000015245366,0.0,0.48329921063283127,28.381726866663065,0.48575999969143385,0.002460789058602586,25.600000009411712,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999989761957622,0.0,0.0,0.0,16.000000015245366
0.012,16.00000001590645,0.005829119998147105,15.999989316821429,9.999861327084439,1.321878923769369e-06,0.48575999967805344,-0.0008902730382965897,-0.011555976511583688,0.0,16.00000001590645,0.0,0.483192219272682,28.38172686698316,0.48575999967805344,0.0025677804053714226,25.60000000980831,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999989316821429,0.0,0.0,0.0,16.00000001590645
0.0125,16.00000001656739,0.006071999997986132,15.99998887168491,9.999855549096184,1.3215862251789451e-06,0.48575999966467603,-0.0008902736908920187,-0.011555968528785229,0.0,16.00000001656739,0.0,0.48308522786905056,28.38172686730319,0.48575999966467603,0.0026747717956254746,25.600000010204813,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99998887168491,0.0,0.0,0.0,16.00000001656739
0.013000000000000001,16.000000017228185,0.00631487999781847,15.999988426548065,9.999849771111919,1.3212935264707322e-06,0.48575999965130157,-0.0008902743434867518,-0.011555960545992384,0.0,16.000000017228185,0.0,0.48297823642236315,28.38172686762315,0.48575999965130157,0.0027817632289384164,25.60000001060123,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999988426548065,0.0,0.0,0.0,16.000000017228185
0.0135,16.000000017888834,0.00655775999764412,15.999987981410893,9.999843993131645,1.3210008276435638e-06,0.48575999963793004,-0.0008902749960807878,-0.011555952563205147,0.0,16.000000017888834,0.0,0.48287124493219347,28.381726867943037,0.48575999963793004,0.0028887547057365737,25.600000010997565,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999987981410893,0.0,0.0,0.0,16.000000017888834
0.014,16.000000018549333,0.006800639997463085,15.999987536273395,9.999838215155362,1.320708128699773e-06,0.48575999962456157,-0.0008902756486741277,-0.011555944580423515,0.0,16.000000018549333,0.0,0.48276425339939427,28.381726868262852,0.48575999962456157,0.002995746225167295,25.600000011393803,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999987536273395,0.0,0.0,0.0,16.000000018549333
0.0145,16.000000019209686,0.007043519997275366,15.999987091135571,9.999832437183072,1.320415429638193e-06,0.485759999611196,-0.0008902763012667713,-0.011555936597647492,0.0,16.000000019209686,0.0,0.4826572618235391,28.381726868582597,0.485759999611196,0.0031027377876569062,25.600000011789955,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999987091135571,0.0,0.0,0.0,16.000000019209686
0.015,16.000000019869894,0.007286399997080964,15.99998664599742,9.999826659214772,1.320122730457658e-06,0.48575999959783345,-0.000890276953858718,-0.011555928614877082,0.0,16.000000019869894,0.0,0.4825502702042017,28.381726868902273,0.48575999959783345,0.003209729393631733,25.60000001218602,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99998664599742,0.0,0.0,0.0,16.000000019869894
0.0155,16.000000020529956,0.0075292799968798806,15.999986200858944,9.999820881250464,1.3198300311581671e-06,0.4857599995844737,-0.0008902776064499674,-0.011555920632112276,0.0,16.000000020529956,0.0,0.4824432785413819,28.381726869221872,0.4857599995844737,0.003316721043091775,25.600000012582,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999986200858944,0.0,0.0,0.0,16.000000020529956
0.016,16.000000021189873,0.007772159996672118,15.99998575572014,9.999815103290148,1.3195373317397215e-06,0.48575999957111704,-0.0008902782590405197,-0.011555912649353076,0.0,16.000000021189873,0.0,0.48233628683508,28.381726869541406,0.48575999957111704,0.0034237127360370323,25.600000012977894,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99998575572014,0.0,0.0,0.0,16.000000021189873
0.0165,16.00000002184964,0.008015039996457677,15.99998531058101,9.999809325333823,1.3192446322058194e-06,0.48575999955776333,-0.0008902789116303769,-0.011555904666599493,0.0,16.00000002184964,0.0,0.4822292950865748,28.381726869860866,0.48575999955776333,0.0035307044711885283,25.600000013373695,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99998531058101,0.0,0.0,0.0,16.00000002184964
0.017,16.000000022509262,0.00825791999623656,15.999984865441554,9.99980354738149,1.318951932552962e-06,0.4857599995444126,-0.0008902795642195371,-0.011555896683851513,0.0,16.000000022509262,0.0,0.4821223032945874,28.38172687018026,0.4857599995444126,0.0036376962498252396,25.60000001376941,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999984865441554,0.0,0.0,0.0,16.000000022509262
0.0175,16.000000023168738,0.008500799996008765,15.999984420301772,9.999797769433147,1.3186592327811491e-06,0.4857599995310648,-0.0008902802168079999,-0.011555888701109142,0.0,16.000000023168738,0.0,0.48201531145911763,28.381726870499577,0.4857599995310648,0.0037446880719471665,25.600000014165033,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999984420301772,0.0,0.0,0.0,16.000000023168738
0.018000000000000002,16.00000002382807,0.008743679995774297,15.999983975161664,9.999791991488797,1.3183665328915474e-06,0.48575999951772,-0.0008902808693957667,-0.011555880718372382,0.0,16.00000002382807,0.0,0.481908319580592,28.381726870818824,0.48575999951772,0.003851679937127983,25.600000014560578,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999983975161664,0.0,0.0,0.0,16.00000002382807
0.0185,16.000000024487253,0.008986559995533156,15.999983530021229,9.999786213548438,1.3180738328829902e-06,0.48575999950437804,-0.0008902815219828363,-0.011555872735641227,0.0,16.000000024487253,0.0,0.481801327658584,28.381726871138003,0.48575999950437804,0.003958671845794015,25.60000001495603,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999983530021229,0.0,0.0,0.0,16.000000024487253
0.019,16.00000002514629,0.009229439995285344,15.999983084880467,9.99978043561207,1.3177811327578106e-06,0.4857599994910392,-0.0008902821745692098,-0.011555864752915682,0.0,16.00000002514629,0.0,0.4816943356939466,28.381726871457115,0.4857599994910392,0.004065663797092611,25.600000015351387,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999983084880467,0.0,0.0,0.0,16.00000002514629
0.0195,16.00000002580518,0.009472319995030865,15.99998263973938,9.999774657679694,1.3174884325148417e-06,0.4857599994777032,-0.0008902828271548872,-0.011555856770195749,0.0,16.00000002580518,0.0,0.4815873436862531,28.38172687177615,0.4857599994777032,0.004172655791450097,25.60000001574667,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99998263973938,0.0,0.0,0.0,16.00000002580518
0.02,16.000000026463923,0.009715199994769717,15.999982194597967,9.99976887975131,1.3171957321529177e-06,0.4857599994643702,-0.0008902834797398674,-0.011555848787481419,0.0,16.000000026463923,0.0,0.4814803516350774,28.381726872095115,0.4857599994643702,0.004279647829292799,25.600000016141855,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999982194597967,0.0,0.0,0.0,16.000000026463923
0.0205,16.00000002712252,0.009958079994501903,15.999981749456227,9.999763101826916,1.3169030316720384e-06,0.48575999945104026,-0.0008902841323241505,-0.011555840804772701,0.0,16.00000002712252,0.0,0.48137335954041954,28.38172687241401,0.48575999945104026,0.0043866399106207155,25.600000016536953,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999981749456227,0.0,0.0,0.0,16.00000002712252
0.021,16.000000027780974,0.010200959994227423,15.999981304314161,9.999757323906515,1.3166103310733701e-06,0.48575999943771314,-0.0008902847849077374,-0.011555832822069591,0.0,16.000000027780974,0.0,0.4812663674027056,28.38172687273283,0.48575999943771314,0.004493632035007522,25.60000001693197,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999981304314161,0.0,0.0,0.0,16.000000027780974
0.021500000000000002,16.000000028439278,0.01044383999394628,15.99998085917177,9.999751545990105,1.3163176303580792e-06,0.4857599994243891,-0.0008902854374906284,-0.01155582483937209,0.0,16.000000028439278,0.0,0.4811593752223622,28.381726873051587,0.4857599994243891,0.004600624202026893,25.600000017326888,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99998085917177,0.0,0.0,0.0,16.000000028439278
0.022,16.000000029097436,0.010686719993658472,15.99998041402905,9.999745768077684,1.3160249295238328e-06,0.48575999941106796,-0.0008902860900728224,-0.011555816856680197,0.0,16.000000029097436,0.0,0.4810523829985365,28.381726873370265,0.48575999941106796,0.004707616412531479,25.600000017721722,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.99998041402905,0.0,0.0,0.0,16.000000029097436
0.0225,16.000000029755448,0.010929599993364007,15.999979968886006,9.999739990169255,1.3157322285717974e-06,0.4857599993977497,-0.0008902867426543202,-0.011555808873993911,0.0,16.000000029755448,0.0,0.48094539073165476,28.381726873688876,0.4857599993977497,0.004814608666094955,25.600000018116475,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999979968886006,0.0,0.0,0.0,16.000000029755448
0.023,16.000000030413315,0.011172479993062883,15.999979523742635,9.999734212264817,1.3154395275008068e-06,0.48575999938443454,-0.0008902873952351209,-0.011555800891313231,0.0,16.000000030413315,0.0,0.4808383984212909,28.38172687400742,0.48575999938443454,0.004921600963143646,25.600000018511135,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999979523742635,0.0,0.0,0.0,16.000000030413315
0.0235,16.000000031071036,0.0114153599927551,15.999979078598937,9.999728434364371,1.3151468263108612e-06,0.48575999937112235,-0.0008902880478152244,-0.011555792908638162,0.0,16.000000031071036,0.0,0.4807314060674448,28.381726874325885,0.48575999937112235,0.005028593303677553,25.600000018905714,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999979078598937,0.0,0.0,0.0,16.000000031071036
0.024,16.000000031728607,0.011658239992440662,15.999978633454912,9.999722656467917,1.3148541250042926e-06,0.48575999935781305,-0.0008902887003946319,-0.0115557849259687,0.0,16.000000031728607,0.0,0.48062441367096903,28.381726874644286,0.48575999935781305,0.005135585686844024,25.600000019300197,0.0001,5e-05,1e-05,0.0001,0.0,1606726.3679999998,0.0041946308724832215,15.999978633454912,0.0,0.0,0.0,16.000000031728607
