time,angle
0.0,-0.0
0.01,-0.0009754319800937174
0.02,-0.0038976595159247954
0.03,-0.008758527268418363
0.04,-0.015550279835070489
0.05,-0.024265072338879784
0.06,-0.03489491217632932
0.07,-0.047431558872460894
0.08,-0.061866414248178764
0.09,-0.07819038008295218
0.1,-0.09639370238409917
0.11,-0.11646579690772005
0.12,-0.13839505661534124
0.13,-0.16216864961323815
0.14,-0.18777227518862055
0.15,-0.21518993915924328
0.16,-0.24440370665888625
0.17,-0.2753934351225298
0.18,-0.30813650743583376
0.19,-0.3426075596252541
0.2,-0.3787782068911327
0.21,-0.4166167718718525
0.22,-0.4560880195323584
0.23,-0.49715290285127844
0.24,-0.539768323898078
0.25,-0.5838869156732909
0.26,-0.6294568498373563
0.27,-0.6764216756512431
0.28,-0.7247201954223749
0.29,-0.7742863816054679
0.3,-0.8250493403456131
0.31,-0.8769333257777996
0.32,-0.9298578087183467
0.33,-0.9837376025444738
0.34,-1.038483048054968
0.35000000000000003,-1.0940002579592858
0.36,-1.1501914203814751
0.37,-1.206955159425775
0.38,-1.2641869494761309
0.39,-1.321779578541478
0.4,-1.3796236546649465
0.41000000000000003,-1.4376081482410623
0.42,-1.4956209620808698
0.43,-1.5535495202752418
0.44,-1.611281366367515
0.45,-1.6687047610831214
0.46,-1.725709269888357
0.47000000000000003,-1.7821863309620163
0.48,-1.8380297947476107
0.49,-1.8931364270835045
0.5,-1.947406368945958
0.51,-2.0007435470400905
0.52,-2.0530560307852372
0.53,-2.104256332611016
0.54,-2.1542616498564584
0.55,-2.202994047822097
0.56,-2.250380584620118
0.5700000000000001,-2.296353381879265
0.58,-2.3408496402451755
0.59,-2.3838116064258186
0.6,-2.425186496139936
0.61,-2.4649263770661998
0.62,-2.5029880172598036
0.63,-2.5393327044246945
0.64,-2.573926041820207
0.65,-2.606737724034067
0.66,-2.637741301584847
0.67,-2.666913936010687
0.68,-2.694236150293363
0.6900000000000001,-2.719691579187278
0.7000000000000001,-2.7432667232510846
0.71,-2.764950709431559
0.72,-2.784735061117711
0.73,-2.8026134800559546
0.74,-2.8185816421728895
0.75,-2.832637008989571
0.76,-2.844778655996529
0.77,-2.8550071190712933
0.78,-2.863324259764561
0.79,-2.869733150054991
0.8,-2.8742379769740896
0.81,-2.8768439673285364
0.8200000000000001,-2.8775573325941854
0.8300000000000001,-2.8763852339198386
0.84,-2.873335767055763
0.85,-2.8684179669075287
0.86,-2.8616418313060357
0.87,-2.8530183634755666
0.88,-2.842559632569629
0.89,-2.830278851525817
0.9,-2.816190471362989
0.91,-2.800310290920727
0.92,-2.782655580798084
0.93,-2.7632452202767697
0.9400000000000001,-2.7420998456072927
0.9500000000000001,-2.719242007983725
0.96,-2.694696339247546
0.97,-2.6684897231915032
0.98,-2.6406514700820787
0.99,-2.6112134917903873
1.0,-2.5802104747088945
1.01,-2.547680047420708
1.02,-2.513662939905236
1.03,-2.47820313091292
1.04,-2.4413479800326563
1.05,-2.403148340916306
1.06,-2.363658652189709
1.07,-2.3229370025833407
1.08,-2.2810451669717264
1.09,-2.2380486104380712
1.1,-2.194016457673353
1.11,-2.149021425526126
1.12,-2.103139717070526
1.1300000000000001,-2.056450876187963
1.1400000000000001,-2.009037602364063
1.1500000000000001,-1.9609855261681433
1.16,-1.9123829466870355
1.17,-1.8633205330054374
1.18,-1.8138909926354083
1.19,-1.7641887105706249
1.2,-1.7143093633491426
1.21,-1.6643495131251487
1.22,-1.6144061872517728
1.23,-1.5645764492435186
1.24,-1.51495696720352
1.25,-1.4656435858584735
1.26,-1.4167309082409756
1.27,-1.3683118927984104
1.28,-1.3204774713010246
1.29,-1.2733161923851462
1.3,-1.2269138949220404
1.31,-1.1813534146733309
1.32,-1.136714326907137
1.33,-1.093072726832835
1.34,-1.0505010488937472
1.35,-1.0090679251613819
1.36,-0.9688380823245638
1.37,-0.9298722760806429
1.3800000000000001,-0.8922272611286701
1.3900000000000001,-0.8559557944462186
1.4000000000000001,-0.8211066691084146
1.41,-0.7877247755816056
1.42,-0.7558511871932218
1.43,-0.7255232663390023
1.44,-0.6967747879316101
1.45,-0.6696360766118055
1.46,-0.6441341543246256
1.47,-0.6202928949977957
1.48,-0.5981331832371645
1.49,-0.5776730741640931
1.5,-0.5589279517527626
1.51,-0.5419106832730454
1.52,-0.5266317676990993
1.53,-0.5130994761994278
1.54,-0.5013199830756022
1.55,-0.4912974857605541
1.56,-0.48303431273485775
1.57,-0.47653101835321116
1.58,-0.4717864640056877
1.59,-0.4687978849261222
1.6,-0.46756094241292695
1.61,-0.4680697612054065
1.62,-0.4703169520776931
1.6300000000000001,-0.47429361976724366
1.6400000000000001,-0.47998935654829733
1.6500000000000001,-0.48739222189631637
1.6600000000000001,-0.496488708840912
1.67,-0.5072636977475568
1.68,-0.5197003984152526
1.69,-0.5337802815247273
1.7,-0.5494830006212943
1.71,-0.5667863059674829
1.72,-0.5856659517523164
1.73,-0.6060955982950555
1.74,-0.6280467110291708
1.75,-0.6514884581967328
1.76,-0.6763876093129546
1.77,-0.7027084365621142
1.78,-0.7304126214207879
1.79,-0.7594591688949975
1.8,-0.7898043317146859
1.81,-0.82140154692709
1.82,-0.8542013872760396
1.83,-0.8881515296755159
1.84,-0.9231967429649569
1.85,-0.9592788969572347
1.86,-0.9963369945587041
1.87,-1.034307228454457
1.8800000000000001,-1.073123063512565
1.8900000000000001,-1.1127153456725123
1.9000000000000001,-1.1530124376909727
1.9100000000000001,-1.1939403817002658
1.92,-1.235423087037538
1.93,-1.2773825440514908
1.94,-1.3197390609208697
1.95,-1.3624115214092276
1.96,-1.4053176613559182
1.97,-1.448374360814891
1.98,-1.4914979483100697
1.99,-1.5346045146324605
2.0,-1.5776102303136799
2.0100000000000002,-1.6204316645721069
2.02,-1.662986101493272
2.0300000000000002,-1.7051918493445595
2.04,-1.7469685392208525
2.05,-1.7882374097748266
2.06,-1.8289215748419623
2.07,-1.868946271234875
2.08,-1.9082390843979218
2.09,-1.9467301500976117
2.1,-1.9843523308164333
2.11,-2.021041366020104
2.12,-2.0567359959617306
2.13,-2.0913780591597217
2.14,-2.124912564114543
2.15,-2.1572877362933287
2.16,-2.188455041648867
2.17,-2.218369188324697
2.18,-2.246988108444773
2.19,-2.274272922022374
2.2,-2.300187885211093
2.21,-2.3247003251509835
2.22,-2.3477805637371403
2.23,-2.3694018326006017
2.24,-2.3895401815643806
2.25,-2.408174382702227
2.2600000000000002,-2.4252858320882438
2.27,-2.4408584511961613
2.2800000000000002,-2.4548785896484873
2.29,-2.467334930968314
2.3000000000000003,-2.4782184027782286
2.31,-2.4875220927154276
2.32,-2.4952411711452336
2.33,-2.501372821665697
2.34,-2.505916180010693
2.35,-2.5088722820782987
2.36,-2.5102440214011845
2.37,-2.5100361163910803
2.38,-2.508255087396592
2.39,-2.504909243552929
2.4,-2.500008679219952
2.41,-2.4935652796723495
2.42,-2.4855927355623866
2.43,-2.47610656554298
2.44,-2.465124146306566
2.45,-2.45266474916789
2.46,-2.4387495821953964
2.47,-2.423401836777817
2.48,-2.406646737400713
2.49,-2.3885115933037646
2.5,-2.3690258505952873
2.5100000000000002,-2.348221143318065
2.52,-2.326131341892504
2.5300000000000002,-2.302792597312107
2.54,-2.278243379435039
2.5500000000000003,-2.252524507707205
2.56,-2.2256791726692535
2.57,-2.1977529466450756
2.58,-2.168793782084719
2.59,-2.138851996141872
2.6,-2.107980240206087
2.61,-2.0762334532829034
2.62,-2.0436687983173765
2.63,-2.0103455808062636
2.64,-1.976325149272643
2.65,-1.9416707775034536
2.66,-1.9064475287217826
2.67,-1.8707221021939937
2.68,-1.8345626630873733
2.69,-1.7980386567018565
2.7,-1.7612206085075044
2.71,-1.7241799116970216
2.72,-1.686988604216181
2.73,-1.6497191374493914
2.74,-1.6124441389152768
2.75,-1.575236171448439
2.7600000000000002,-1.538167491419231
2.77,-1.501309808563771
2.7800000000000002,-1.4647340499579387
2.79,-1.4285101305829677
2.8000000000000003,-1.3927067327884468
2.81,-1.3573910967731606
2.82,-1.3226288239774884
2.83,-1.2884836950214298
2.84,-1.255017503536775
2.85,-1.2222899069392406
2.86,-1.1903582948748428
2.87,-1.1592776757621464
2.88,-1.1291005815466542
2.89,-1.0998769904920094
2.9,-1.07165426756109
2.91,-1.0444771216935023
2.92,-1.0183875790682304
2.93,-0.9934249712540297
2.94,-0.9696259369971072
2.95,-0.9470244362762521
2.96,-0.9256517751695379
2.97,-0.9055366400222179
2.98,-0.8867051393821083
2.99,-0.8691808521722385
3.0,-0.8529848805988259
3.0100000000000002,-0.8381359063438852
3.02,-0.8246502486613985
3.0300000000000002,-0.8125419230815091
3.04,-0.8018226995259293
3.0500000000000003,-0.7925021587467577
3.06,-0.7845877461177924
3.0700000000000003,-0.7780848219299275
3.08,-0.7729967074685962
3.09,-0.7693247262795853
3.1,-0.7670682401588071
3.11,-0.7662246795304889
3.12,-0.7667895680058917
3.13,-0.7687565410403742
3.14,-0.7721173587297528
3.15,-0.7768619129069789
3.16,-0.7829782288166595
3.17,-0.7904524617574566
3.18,-0.7992688891903078
3.19,-0.8094098989132106
3.2,-0.8208559740002447
3.21,-0.8335856752927442
3.22,-0.8475756223131322
3.23,-0.8628004735457602
3.24,-0.8792329070929209
3.25,-0.8968436027666697
3.2600000000000002,-0.9156012267167372
3.27,-0.9354724197201426
3.2800000000000002,-0.9564217902677697
3.29,-0.9784119135753833
3.3000000000000003,-1.001403337620604
3.31,-1.025354597261627
3.3200000000000003,-1.0502222374275514
3.33,-1.0759608462835426
3.34,-1.1025230991667716
3.35,-1.1298598139617286
3.36,-1.1579200184370266
3.37,-1.1866510299031228
3.38,-1.2159985473705865
3.39,-1.2459067562013018
3.4,-1.2763184450408107
3.41,-1.3071751346227185
3.42,-1.3384172178315392
3.43,-1.369984110210434
3.44,-1.401814409912747
3.45,-1.4338460659215573
3.46,-1.4660165532032339
3.47,-1.4982630533338437
3.48,-1.530522639033913
3.49,-1.5627324609578994
3.5,-1.5948299350216766
3.5100000000000002,-1.6267529286027695
3.52,-1.6584399439118176
3.5300000000000002,-1.6898302969028325
3.54,-1.7208642901783224
3.5500000000000003,-1.7514833784202268
3.56,-1.7816303251256966
3.5700000000000003,-1.8112493495995667
3.58,-1.8402862629051093
3.59,-1.8686885922521734
3.6,-1.8964056932835887
3.61,-1.9233888497851852
3.62,-1.9495913606607547
3.63,-1.974968614188639
3.64,-1.9994781497515497
3.65,-2.023079707399096
3.66,-2.045735265754033
3.67,-2.067409068906274
3.68,-2.088067643052161
3.69,-2.1076798037294346
3.7,-2.1262166545703463
3.71,-2.143651578546812
3.72,-2.1599602227127757
3.73,-2.1751204774613324
3.74,-2.1891124513087465
3.75,-2.2019184421958617
3.7600000000000002,-2.213522906261231
3.77,-2.2239124250107314
3.7800000000000002,-2.233075671607072
3.79,-2.2410033773296014
3.8000000000000003,-2.247688298640418
3.81,-2.253125185541165
3.8200000000000003,-2.2573107517772417
3.83,-2.2602436473374183
3.84,-2.261924433559936
3.85,-2.2623555611039103
3.86,-2.261541350933444
3.87,-2.2594879783825075
3.88,-2.2562034602439605
3.89,-2.251697644786055
3.9,-2.2459822044596973
3.91,-2.2390706310206427
3.92,-2.2309782326749756
3.93,-2.221722132808284
3.94,-2.211321269777669
3.95,-2.199796397190178
3.96,-2.187170084034802
3.97,-2.1734667139911124
3.98,-2.158712483201166
3.99,-2.1429353957656376
4.0,-2.126165256210115
4.01,-2.108433658164397
4.0200000000000005,-2.0897739685068637
4.03,-2.07022130624829
4.04,-2.0498125154650917
4.05,-2.0285861316412412
4.0600000000000005,-2.0065823408399863
4.07,-1.983842931207043
4.08,-1.960411236385098
4.09,-1.9363320705318223
4.1,-1.9116516547355147
4.11,-1.8864175347445629
4.12,-1.8606784900533662
4.13,-1.8344844345146982
4.14,-1.8078863087832415
4.15,-1.7809359650250196
4.16,-1.7536860444556224
4.17,-1.726189848391924
4.18,-1.6985012036132843
4.19,-1.6706743229282746
4.2,-1.642763661933319
4.21,-1.6148237730136705
4.22,-1.5869091576911987
4.23,-1.5590741184565773
4.24,-1.531372611234499
4.25,-1.503858099622408
4.26,-1.4765834120135324
4.2700000000000005,-1.4496006026679942
4.28,-1.4229608177310247
4.29,-1.396714167109727
4.3,-1.3709096030302286
4.3100000000000005,-1.3455948059814515
4.32,-1.320816078639779
4.33,-1.296618248241478
4.34,-1.2730445777442918
4.3500000000000005,-1.250136685990797
4.36,-1.2279344769603993
4.37,-1.2064760780756065
4.38,-1.185797787414853
4.39,-1.1659340295734022
4.4,-1.1469173198239884
4.41,-1.1287782361423817
4.42,-1.111545398590313
4.43,-1.095245455490453
4.44,-1.0799030757829702
4.45,-1.0655409469181896
4.46,-1.0521797776280757
4.47,-1.0398383049000386
4.48,-1.028533304494479
4.49,-1.018279604351767
4.5,-1.009090100267628
4.51,-1.0009757732456972
4.5200000000000005,-0.9939457079798161
4.53,-0.9880071119662331
4.54,-0.9831653348006434
4.55,-0.9794238872734563
4.5600000000000005,-0.9767844599390333
4.57,-0.9752469408994165
4.58,-0.97480943260957
4.59,-0.9754682675784038
4.6000000000000005,-0.9772180229070905
4.61,-0.9800515336725838
4.62,-0.9839599052291046
4.63,-0.9889325245629279
4.64,-0.9949570708954488
4.65,-1.002019525785279
4.66,-1.0101041830322217
4.67,-1.0191936587321926
4.68,-1.0292689018735857
4.69,-1.040309205900584
4.7,-1.0522922216968338
4.71,-1.0651939724640156
4.72,-1.0789888709826676
4.73,-1.093649739747357
4.74,-1.1091478344642922
4.75,-1.1254528713865322
4.76,-1.1425330589398734
4.7700000000000005,-1.1603551340612763
4.78,-1.1788844036314758
4.79,-1.198084791334489
4.8,-1.2179188902193658
4.8100000000000005,-1.2383480211747606
4.82,-1.2593322974554524
4.83,-1.280830695322523
4.84,-1.3028011307771803
4.8500000000000005,-1.325200542283411
4.86,-1.3479849792882335
4.87,-1.3711096962620173
4.88,-1.3945292518965722
4.89,-1.4181976130181186
4.9,-1.442068262696854
4.91,-1.4660943119629886
4.92,-1.4902286144822687
4.93,-1.5144238834916275
4.94,-1.5386328102549423
4.95,-1.5628081832713794
4.96,-1.58690300745273
4.97,-1.610870622481021
4.98,-1.6346648195808684
4.99,-1.6582399559429983
5.0,-1.681551066066994
