"time","x_m","x_dot_mps","theta_rad","theta_dot_radps","force_cmd_N"
0.0,0.0,0.0,0.12,0.0,0.0
0.01,0.0005053866070021044,0.09014298226833985,0.11917764099403245,-0.1459636677286522,8.292315420298303
0.02,0.0018503243743379421,0.1691975026656223,0.11702081536146663,-0.26956716148184756,7.234070201083851
0.03,0.003929668735693743,0.23819144960537375,0.11373910690152027,-0.3733154904678743,6.275919376309662
0.04,0.006648002230841462,0.2980543484166648,0.10951857633976274,-0.4594417298702164,5.408555914805058
0.05,0.009918718519538006,0.3496293402381783,0.10452428339895284,-0.5299419809695718,4.623704324048071
0.06,0.013663215088337437,0.393683193673328,0.09890249089922176,-0.5866047088500221,3.913956038167906
0.07,0.017810176806082018,0.4309146796467425,0.0927826023498074,-0.6310353241156736,3.272637847882965
0.08,0.02229493566681647,0.4619616144593428,0.08627887597499967,-0.6646768372883252,2.6937077018646707
0.09,0.027058894893926457,0.48740683570503807,0.0794919503024856,-0.6888273237503102,2.171672469851061
0.1,0.0320490079816858,0.5077833312202802,0.07251020966460514,-0.7046548265777507,1.7015228692330613
0.11,0.03721730521374777,0.5235786984314856,0.06541101230756656,-0.7132102130038186,1.2786815030970962
0.12,0.04252046175714909,0.5352390732579366,0.05826179922180818,-0.7154383973674053,0.8989607154898627
0.13,0.04791940263864768,0.5431726352953878,0.051121098182929765,-0.712188253783763,0.5585276719001433
0.14,0.05337894082697773,0.5477527695170376,0.04403943468448258,-0.7042214668548465,0.2538746869777837
0.15,0.05886744532750297,0.5493209437947955,0.03706015930526605,-0.6922205081656024,-0.018206664334242895
0.16,0.06435653669680216,0.5481893454969069,0.030220199447861352,-0.6767958787691915,-0.26064870090614267
0.17,0.06982080774857206,0.5446433084829385,0.02355074219118288,-0.6584927215772425,-0.4761287792100859
0.18,0.07523756748569684,0.5389435532162742,0.017077854115745084,-0.6377968806365026,-0.6670889063655805
0.19,0.08058660648572613,0.5313282567275884,0.010823043302838783,-0.6151404648486852,-0.8357541235413048
0.2,0.08584998211091631,0.5220149651590101,0.004803768212139368,-0.5909069601070248,-0.9841498359359688
0.21,0.09101182202624894,0.5112023590675628,-0.0009661022438587541,-0.5654359246397759,-1.114118182500082
0.22,0.09605814460153052,0.4990718801384521,-0.006475873422986667,-0.539027296370818,-1.2273334870188846
0.23,0.10097669485510669,0.4857892271177177,-0.011717650734567564,-0.5119453373711219,-1.325316803520816
0.24,0.10575679467230227,0.4715057283654036,-0.01668600297650216,-0.48442223823797126,-1.4094495562262948
0.25,0.11038920610468134,0.45635959826927913,-0.021377659946826465,-0.4566614039438902,-1.480986271959008
0.26,0.1148660066283256,0.4404770847155866,-0.025791241259244518,-0.42884044194134757,-1.5410664069945312
0.27,0.1191804753112291,0.42397351480125756,-0.02992701349714699,-0.40111387281376903,-1.5907252777307557
0.28,0.12332698891159927,0.40695424593848945,-0.03378667304122458,-0.3736155833455453,-1.6309041132504456
0.29,0.1273009269999498,0.3895155294185372,-0.03737315210209028,-0.34646104143282525,-1.6624592564365805
0.3,0.13109858526778664,0.3717452933549376,-0.04069044568064609,-0.31974929171400907,-1.686170547957989
0.31,0.134717096253785,0.3537238517162264,-0.04374345736419817,-0.2935647501408559,-1.7027489337190778
0.32,0.1381543567840274,0.3355245458905313,-0.046537862044372436,-0.2679788149382266,-1.7128433410863932
0.33,0.1414089614855977,0.3172143249090678,-0.0490799838126338,-0.24305131052702514,-1.7170468723720043
0.34,0.14448014179218577,0.2988542701039575,-0.051376687449775735,-0.2188317800326518,-1.7159023657856087
0.35,0.14736770991606069,0.2805000695995533,-0.053435282076468436,-0.19536064099483666,-1.7099073745431843
0.36,0.15007200731262127,0.262202447646454,-0.05526343567242864,-0.17267021785847425,-1.6995186142452474
0.37,0.15259385721165944,0.2440075534131868,-0.0568690993018275,-0.1507856637813737,-1.6851559272219347
0.38,0.15493452083346576,0.22595731346023296,-0.058260440002219936,-0.1297257832629884,-1.6672058104824972
0.39,0.15709565694805638,0.20808975174115418,-0.05944578140376825,-0.10950376609405842,-1.6460245513817937
0.4,0.15907928447222536,0.19043928061108636,-0.06043355124519316,-0.09012784216309379,-1.6219410122798963
0.41,0.16088774783201518,0.17303696597746202,-0.06123223504316952,-0.07160186574091705,-1.5952591024525171
0.42,0.16252368484774612,0.1559107694039962,-0.061850335253323716,-0.05392583700535163,-1.5662599724150674
0.43,0.16398999692518149,0.13908576967821645,-0.06229633533416164,-0.03709636776840336,-1.535203962735503
0.44,0.16528982135996664,0.12258436607581467,-0.06257866819076692,-0.021107097629699114,-1.5023323363946135
0.45,0.16642650558339894,0.10642646530187304,-0.06270568853357117,-0.005949066102640686,-1.4678688208551307
0.46,0.16740358319610352,0.09062965385909448,-0.06268564873951939,0.00838895435746002,-1.432020983256183
0.47,0.16822475165253165,0.07520935738569524,-0.0625266778491235,0.021920160053197642,-1.3949814595797498
0.48,0.16889385147358457,0.060178988319471854,-0.06223676337378213,0.03465944860679807,-1.3569290562538319
0.49,0.1694148468773004,0.04555008307843473,-0.06182373562387597,0.0466231789698334,-1.3180297404686518
0.5,0.16979180772862015,0.03133242980088948,-0.06129525430002928,0.05782895587080339,-1.2784375334878588
0.51,0.17002889271894728,0.017534187557480943,-0.06065879711801758,0.06829543604962626,-1.2382953194318944
0.52,0.17013033369469682,0.004161997833016081,-0.05992165026252914,0.07804215394634828,-1.197735580388697
0.53,0.1701004210614441,-0.008778911024601438,-0.059090900486739435,0.08708936479242269,-1.1568810672580594
0.54,0.16994349019676597,-0.021284625778662084,-0.058173428693787645,0.09545790330027025,-1.1158454144496617
0.55,0.16966390881053295,-0.033352456167696685,-0.057175904853069476,0.10316905636390089,-1.074733705419379
0.56,0.16926606519637877,-0.04498084819178152,-0.056104784119066956,0.11024444837333398,-1.0336429950317556
0.57,0.1687543573224242,-0.0561693024105302,-0.05496630403347778,0.11670593791137525,-0.992662793866669
0.58,0.168133182713166,-0.0669182968911575,-0.05376648270291012,0.1225755247457377,-0.9518755188329592
0.59,0.1674069290778197,-0.07722921448697971,-0.05251111785457403,0.12787526615505385,-0.911356913800026
0.6,0.1665799656433999,-0.08710427416261773,-0.05120578668140249,0.13262720173631112,-0.871176443398705
0.61,0.16565663515348616,-0.0965464661128043,-0.04985584639602949,0.13685328593573134,-0.8313976626652371
0.62,0.16464124649600717,-0.10555949044779499,-0.04846643542017194,0.1405753276269794,-0.792078564796747
0.63,0.16353806792551961,-0.11414769924059083,-0.047042475142325284,0.14381493613149676,-0.7532719089448199
0.64,0.1623513208474017,-0.12231604175007427,-0.045588672182389094,0.14659347313720408,-0.7150255296869561
0.65,0.16108517413314696,-0.13007001265024362,-0.04410952110697777,0.1489320100251189,-0.6773826295768506
0.66,0.15974373893756763,-0.13741560310944792,-0.04260930754381519,0.15085129015974907,-0.6403820559764049
0.67,0.15833106399020946,-0.14435925457525473,-0.041092111647827785,0.15237169573946815,-0.6040585632095401
