time,Output
0.0,0.0
0.01,5.121326914862298e-06
0.02,9.48690488804124e-06
0.03,7.146641184239466e-06
0.04,-1.3782227573396717e-06
0.05,-8.491261988646938e-06
0.06,-8.672050595399565e-06
0.07,-1.7482559960402913e-06
0.08,6.873696604920389e-06
0.09,9.344889147041842e-06
0.1,4.690122472750777e-06
