time,stage_id,x2,v2
0.0,stage1,0.0,0.0
0.001,stage1,0.003349666399972222,0.8340669335930833
0.002,stage1,0.003349666399972222,0.8340669335930833
0.003,stage1,0.003349666399972222,0.8340669335930833
0.004,stage1,0.003349666399972222,0.8340669335930833
0.005,stage1,0.003349666399972222,0.8340669335930833
0.006,stage1,0.003349666399972222,0.8340669335930833
0.007,stage1,0.003349666399972222,0.8340669335930833
0.008,stage1,0.003349666399972222,0.8340669335930833
0.009,stage1,0.003349666399972222,0.8340669335930833
0.01,stage1,0.003349666399972222,0.8340669335930833
0.011,stage1,0.016576738991605895,1.8052821518826208
0.012,stage1,0.016576738991605895,1.8052821518826208
0.013,stage1,0.016576738991605895,1.8052821518826208
0.014,stage1,0.016576738991605895,1.8052821518826208
0.015,stage1,0.016576738991605895,1.8052821518826208
0.016,stage1,0.016576738991605895,1.8052821518826208
0.017,stage1,0.016576738991605895,1.8052821518826208
0.018,stage1,0.016576738991605895,1.8052821518826208
0.019,stage1,0.016576738991605895,1.8052821518826208
0.02,stage1,0.016576738991605895,1.8052821518826208
0.021,stage1,0.03928508917917024,2.727197291898465
0.022,stage1,0.03928508917917024,2.727197291898465
0.023,stage1,0.03928508917917024,2.727197291898465
0.024,stage1,0.03928508917917024,2.727197291898465
0.025,stage1,0.03928508917917024,2.727197291898465
0.026,stage1,0.03928508917917024,2.727197291898465
0.027,stage1,0.03928508917917024,2.727197291898465
0.028,stage1,0.03928508917917024,2.727197291898465
0.029,stage1,0.03928508917917024,2.727197291898465
0.03,stage1,0.03928508917917024,2.727197291898465
0.031,stage1,0.07089033101894443,3.5817507595640086
0.032,stage1,0.07089033101894443,3.5817507595640086
0.033,stage1,0.07089033101894443,3.5817507595640086
0.034,stage1,0.07089033101894443,3.5817507595640086
0.035,stage1,0.07089033101894443,3.5817507595640086
0.036,stage1,0.07089033101894443,3.5817507595640086
0.037,stage1,0.07089033101894443,3.5817507595640086
0.038,stage1,0.07089033101894443,3.5817507595640086
0.039,stage1,0.07089033101894443,3.5817507595640086
0.04,stage1,0.07089033101894443,3.5817507595640086
0.041,stage1,0.11063483449473219,4.35241158261071
0.042,stage1,0.11063483449473219,4.35241158261071
0.043,stage1,0.11063483449473219,4.35241158261071
0.044,stage1,0.11063483449473219,4.35241158261071
0.045,stage1,0.11063483449473219,4.35241158261071
0.046,stage1,0.11063483449473219,4.35241158261071
0.047,stage1,0.11063483449473219,4.35241158261071
0.048,stage1,0.11063483449473219,4.35241158261071
0.049,stage1,0.11063483449473219,4.35241158261071
0.05,stage1,0.11063483449473219,4.35241158261071
0.051,stage1,0.15760464445151096,5.024495948244015
0.052,stage1,0.15760464445151096,5.024495948244015
0.053,stage1,0.15760464445151096,5.024495948244015
0.054,stage1,0.15760464445151096,5.024495948244015
0.055,stage1,0.15760464445151096,5.024495948244015
0.056,stage1,0.15760464445151096,5.024495948244015
0.057,stage1,0.15760464445151096,5.024495948244015
0.058,stage1,0.15760464445151096,5.024495948244015
0.059,stage1,0.15760464445151096,5.024495948244015
0.06,stage1,0.15760464445151096,5.024495948244015
0.061,stage1,0.21074936874857228,5.585443560679061
0.062,stage1,0.21074936874857228,5.585443560679061
0.063,stage1,0.21074936874857228,5.585443560679061
0.064,stage1,0.21074936874857228,5.585443560679061
0.065,stage1,0.21074936874857228,5.585443560679061
0.066,stage1,0.21074936874857228,5.585443560679061
0.067,stage1,0.21074936874857228,5.585443560679061
0.068,stage1,0.21074936874857228,5.585443560679061
0.069,stage1,0.21074936874857228,5.585443560679061
0.07,stage1,0.21074936874857228,5.585443560679061
0.071,stage1,0.26890460734709964,6.025048670633283
0.072,stage1,0.26890460734709964,6.025048670633283
