time,stage_id,valve,level,y,_output
0.0,stage1,0,0.0,0,0
0.01,stage1,0,0.01,1,0
0.02,stage1,0,0.02,2,0
0.03,stage1,0,0.030000000000000002,3,0
0.04,stage1,0,0.04,4,0
0.05,stage1,0,0.049999999999999996,5,0
0.06,stage1,0,0.05999999999999999,6,0
0.07,stage1,0,0.06999999999999998,7,0
0.08,stage1,0,0.07999999999999996,8,0
0.09,stage1,0,0.08999999999999994,9,0
0.1,stage1,0,0.1099999999999999,11,0
0.11,stage1,0,0.11999999999999988,12,0
0.12,stage1,0,0.1299999999999999,13,0
0.13,stage1,0,0.1399999999999999,14,0
0.14,stage1,0,0.1499999999999999,15,0
0.15,stage1,0,0.1499999999999999,15,0
0.16,stage1,0,0.15999999999999992,16,0
0.17,stage1,0,0.16999999999999993,17,0
0.18,stage1,0,0.17999999999999994,18,0
0.19,stage1,0,0.18999999999999995,19,0
0.2,stage1,0,0.19999999999999996,20,0
0.21,stage1,0,0.20999999999999996,21,0
0.22,stage1,0,0.21999999999999997,22,0
0.23,stage1,0,0.22999999999999998,23,0
0.24,stage1,0,0.24,24,0
0.25,stage1,0,0.25,25,0
0.26,stage1,0,0.26,26,0
0.27,stage1,0,0.27,27,0
0.28,stage1,0,0.28,28,0
0.29,stage1,0,0.29000000000000004,29,0
0.3,stage1,0,0.30000000000000004,30,0
0.31,stage1,0,0.31000000000000005,31,0
0.32,stage1,0,0.32000000000000006,32,0
0.33,stage1,0,0.33000000000000007,33,0
0.34,stage1,0,0.3400000000000001,34,0
0.35,stage1,0,0.3500000000000001,35,0
0.36,stage1,0,0.3600000000000001,36,0
0.37,stage1,0,0.3700000000000001,37,0
0.38,stage1,0,0.3800000000000001,38,0
0.39,stage1,0,0.3900000000000001,39,0
0.4,stage1,0,0.40000000000000013,40,0
0.41,stage1,0,0.41000000000000014,41,0
0.42,stage1,0,0.42000000000000015,42,0
0.43,stage1,0,0.43000000000000016,43,0
0.44,stage1,0,0.44000000000000017,44,0
0.45,stage1,0,0.4500000000000002,45,0
0.46,stage1,0,0.4600000000000002,46,0
0.47,stage1,0,0.4700000000000002,47,0
0.48,stage1,0,0.4800000000000002,48,0
0.49,stage1,0,0.4900000000000002,49,0
0.5,stage1,0,0.5000000000000002,50,0
0.51,stage1,0,0.5100000000000002,51,0
0.52,stage1,0,0.5200000000000002,52,0
0.53,stage1,0,0.5300000000000002,53,0
0.54,stage1,0,0.5400000000000003,54,0
0.55,stage1,0,0.5500000000000003,55,0
