case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-002305,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.5562037811614573,0.009347973272056935,0.017964708891138437,0.00040977748540627356,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002305
case_bench_fmu-002304,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.6624963101930916,3.535672962157132,4.654561966273799,0.10733458481734569,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002304
case_bench_fmu-002307,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.5226086634211242,3.535672962157132,4.654561966273799,0.10733458481734569,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002307
case_bench_fmu-002309,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.5024571889080107,0.009636393256078428,0.026438578278458753,0.006844563133325673,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002309
case_bench_fmu-002310,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,False,False,True,0.37855058908462524,43.23809827677283,43.23809827677283,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002310
case_bench_fmu-002312,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,False,False,True,0.5855054841376841,4.544989062507463,4.965155948801182,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002312
case_bench_fmu-002313,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,True,True,True,0.6836162121035159,3.5356503467478952,4.64916389480076,0.10752470807205355,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002313
case_bench_fmu-002308,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,False,False,False,2.2287667682394385,,,,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002308
case_bench_fmu-002314,benchmark_single_fmu_case,simple,1,False,baseline_b3_graph_aware,,,,,,,,,TimeoutError: execution exceeded 300.000 seconds,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002314
case_bench_fmu-002311,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,False,False,False,2.1080768988467753,,,,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002311
case_bench_fmu-002315,benchmark_single_fmu_case,simple,1,True,baseline_b3_graph_aware,False,False,True,0.45381202967837453,4.544989062507463,4.965155948801182,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b3_graph_aware/case_bench_fmu-002315
