case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,21.87270948383957,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001292
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,False,ablation_stage1_top1_llm,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001288
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,32.72804277203977,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001280
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,32.84222238091752,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001284
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,False,30.546100044157356,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001523
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,24.200425362214446,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001535
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,ablation_stage1_top1_llm,True,True,False,31.604566316120327,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001524
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,30.46874101413414,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001539
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,21.440191420260817,0.09306180476619179,0.14074090406296627,0.029453709465792205,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001541
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,23.737190049141645,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001543
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,31.497792100999504,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001555
case_bench_fmu-001559,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,31.670825114939362,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001559
case_bench_fmu-001567,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,21.401309672743082,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001567
case_bench_fmu-001563,benchmark_single_fmu_case,simple,1,False,ablation_stage1_top1_llm,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001563
case_bench_fmu-001569,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,24.71332483133301,0.005570806095996394,0.010503658127964048,0.00023958735475656986,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001569
case_bench_fmu-001570,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,29.49320461601019,0.0014232495973079053,0.0028802893035512755,0.00033433862237605027,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001570
case_bench_fmu-001571,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,False,False,False,26.259824637323618,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001571
case_bench_fmu-001572,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,True,True,True,28.98429919220507,0.00557080601284945,0.010503657961156586,0.00023958735095170897,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001572
case_bench_fmu-001574,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,False,False,True,20.31196507997811,43.442640703146,43.44264070314599,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001574
case_bench_fmu-001573,benchmark_single_fmu_case,simple,1,True,ablation_stage1_top1_llm,False,False,True,32.32069973135367,4.307496493730776,4.688809679811407,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_top1_llm/case_bench_fmu-001573
