time,x
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,1.0
0.1,0.9
0.11,0.9
0.12,0.9
0.13,0.9
0.14,0.9
0.15,0.9
0.16,0.9
0.17,0.9
0.18,0.9
0.19,0.9
0.2,0.81
0.21,0.81
0.22,0.81
0.23,0.81
0.24,0.81
0.25,0.81
0.26,0.81
0.27,0.81
0.28,0.81
0.29,0.81
0.3,0.7290000000000001
0.31,0.7290000000000001
0.32,0.7290000000000001
0.33,0.7290000000000001
0.34,0.7290000000000001
0.35000000000000003,0.7290000000000001
0.36,0.7290000000000001
0.37,0.7290000000000001
0.38,0.7290000000000001
0.39,0.7290000000000001
0.4,0.6561000000000001
0.41000000000000003,0.6561000000000001
0.42,0.6561000000000001
0.43,0.6561000000000001
0.44,0.6561000000000001
0.45,0.6561000000000001
0.46,0.6561000000000001
0.47000000000000003,0.6561000000000001
0.48,0.6561000000000001
0.49,0.6561000000000001
0.5,0.5904900000000001
0.51,0.5904900000000001
0.52,0.5904900000000001
0.53,0.5904900000000001
0.54,0.5904900000000001
0.55,0.5904900000000001
0.56,0.5904900000000001
0.5700000000000001,0.5904900000000001
0.58,0.5904900000000001
0.59,0.5904900000000001
0.6,0.531441
0.61,0.531441
0.62,0.531441
0.63,0.531441
0.64,0.531441
0.65,0.531441
0.66,0.531441
0.67,0.531441
0.68,0.531441
0.6900000000000001,0.4782969
0.7000000000000001,0.4782969
0.71,0.4782969
0.72,0.4782969
0.73,0.4782969
0.74,0.4782969
0.75,0.4782969
0.76,0.4782969
0.77,0.4782969
0.78,0.4782969
0.79,0.43046721
0.8,0.43046721
0.81,0.43046721
0.8200000000000001,0.43046721
0.8300000000000001,0.43046721
0.84,0.43046721
0.85,0.43046721
0.86,0.43046721
0.87,0.43046721
0.88,0.43046721
0.89,0.387420489
0.9,0.387420489
0.91,0.387420489
0.92,0.387420489
0.93,0.387420489
0.9400000000000001,0.387420489
0.9500000000000001,0.387420489
0.96,0.387420489
0.97,0.387420489
0.98,0.387420489
0.99,0.3486784401
1.0,0.3486784401
1.01,0.3486784401
1.02,0.3486784401
1.03,0.3486784401
1.04,0.3486784401
1.05,0.3486784401
