time,x_coor,y_coor
0.0,0.994,0.0
0.01,0.9861221647328744,-0.014198958805136408
0.02,0.976569101688296,-0.021124049722041908
0.03,0.9678844487231827,-0.02575318329257712
0.04,0.9598320477036378,-0.029249177905058533
0.05,0.9522334377700966,-0.032029566552468865
0.06,0.9449759248153078,-0.03429487261083641
0.07,0.9379849879294685,-0.03615837468717762
0.08,0.9312086989507166,-0.03769104893295802
0.09,0.9246092530981741,-0.0389406794693867
0.1,0.9181581332351622,-0.039941178056320394
0.11,0.9118331953182144,-0.04071759983017515
0.12,0.9056168253370166,-0.041289051651431326
0.13,0.8994947250449021,-0.041670480068974426
0.14,0.893455083583385,-0.04187382360704742
0.15,0.8874879952777581,-0.04190878483638053
0.16,0.8815850398095084,-0.04178336485984776
0.17,0.8757389726456829,-0.041504243764981075
0.18,0.8699434922554348,-0.04107705801768908
0.19,0.8641930620080782,-0.04050660700022769
0.2,0.8584827717855751,-0.0397970096628231
0.21,0.8528082289492568,-0.038951825310723484
0.22,0.8471654713463903,-0.03797414812527164
0.23,0.8415508970999388,-0.036866682128549426
0.24,0.8359612073426059,-0.03563180137039155
0.25,0.8303933590502999,-0.03427159879967818
0.26,0.8248445258388731,-0.032787926366374655
0.27,0.8193120651002025,-0.031182428254239836
0.28,0.8137934902294625,-0.02945656867984104
0.29,0.8082864469742526,-0.02761165535578858
0.3,0.8027886931456242,-0.025648859467095164
0.31,0.7972980810899967,-0.02356923282382223
0.32,0.7918125424427638,-0.021373722713094803
0.33,0.7863300747786989,-0.019063184866850387
0.34,0.7808487298478544,-0.016638394879623725
0.35000000000000003,0.775366603143615,-0.01410005834701268
0.36,0.7698818245955437,-0.01144881994569326
0.37,0.7643925502164436,-0.008685271636635699
0.38,0.7588969545626875,-0.005809960142074312
0.39,0.7533932238909932,-0.0028233938218643795
0.4,0.7478795499143187,0.0002739509448936034
0.41000000000000003,0.7423541240760166,0.003481623783476955
0.42,0.7368151322746629,0.006799194675803076
0.43,0.731260749983308,0.010226248575474073
0.44,0.7256891377164407,0.013762380228524275
0.45,0.7200984368060274,0.01740718914996974
0.46,0.7144867654549961,0.021160274712239212
0.47000000000000003,0.7088522150426134,0.025021231306553388
0.48,0.7031928466615421,0.028989643542461776
0.49,0.6975066878711258,0.03306508145422283
0.5,0.6917917296558012,0.037247095685784166
0.51,0.6860459235814166,0.041535212628573646
0.52,0.6802671791459534,0.04592892948862721
0.53,0.6744533613245547,0.0504277092615061
0.54,0.6686022883121159,0.05503097559538089
0.55,0.662711729469787,0.05973810752417646
0.56,0.6567794034849128,0.06454843405442874
0.5700000000000001,0.6508029767569725,0.06946122859105686
0.58,0.6447800620251313,0.07447570318890427
0.59,0.6387082172560642,0.07959100261862802
0.6,0.6325849448137834,0.08480619823736596
0.61,0.6264076909362746,0.09012028165664203
0.62,0.6201738455468665,0.09553215820221633
0.63,0.613880742431374,0.10104064016310887
0.64,0.6075256598151855,0.1066444398298609
0.65,0.6011058213775797,0.11234216232529792
0.66,0.5946183977436166,0.11813229823471194
0.67,0.5880605084969421,0.1240132160463684
0.68,0.5814292247596667,0.1299831544180061
0.6900000000000001,0.5747215723881597,0.13604021428999646
0.7000000000000001,0.5679345358359705,0.1421823508716915
0.71,0.5610650627371159,0.14840736553385217
0.72,0.5541100692645182,0.15471289764718632
0.73,0.5470664463194769,0.1610964164146312
0.74,0.5399310666081486,0.1675552127537508
0.75,0.5327007926606259,0.17408639129450243
0.76,0.5253724858464852,0.1806868625676021
0.77,0.5179430164378993,0.18735333546906988
0.78,0.5104092747672014,0.19408231009746785
0.79,0.5027681835199812,0.2008700710716443
0.8,0.4950167111970919,0.20771268144835894
0.81,0.48715188676959453,0.21460597737059678
0.8200000000000001,0.47917081553838087,0.22154556358883154
0.8300000000000001,0.4710706961964605,0.22852681000802202
0.84,0.46284883907491997,0.2355448494229834
0.85,0.45450268553417056,0.24259457661308578
0.86,0.44602982844048866,0.24967064897372018
0.87,0.43742803364257066,0.25676748886599554
0.88,0.4286952623363935,0.26387928786715825
0.89,0.41982969417698013,0.2710000131016228
0.9,0.4108297509644779,0.2781234158255546
0.91,0.4016941206999259,0.28524304242642756
0.92,0.39242178177219267,0.2923522479814683
0.93,0.38301202700543796,0.2994442124961694
0.9400000000000001,0.3734644872643131,0.30651195991454017
0.9500000000000001,0.3637791542849516,0.313548379957055
0.96,0.3539564023741412,0.3205462528000703
0.97,0.34399700859843513,0.32749827656215785
0.98,0.3339021710707794,0.3343970975089083
0.99,0.3236735249358609,0.34123534282919743
1.0,0.3133131556581509,0.34800565577388237
1.01,0.3028236092296087,0.35470073288399
1.02,0.29220789893811533,0.3613133629714438
1.03,0.2814695083734035,0.3678364674536867
1.04,0.27061239039465473,0.37426314158578133
1.05,0.2596409618426145,0.3805866960831759
1.06,0.24856009384809044,0.386800698586668
1.07,0.2373750976667411,0.3928990143907736
1.08,0.2260917060544685,0.3988758458406755
1.09,0.21471605028753524,0.40472576979969854
1.1,0.20325463302170751,0.41044377260444215
1.11,0.19171429727433484,0.416025281953996
1.12,0.1801021918977083,0.42146619522586537
1.1300000000000001,0.168425733989105,0.426762903771794
1.1400000000000001,0.1566925687482685,0.43191231282082804
1.1500000000000001,0.14491052734738732,0.43691185670082494
1.16,0.1330875834153182,0.44175950918266577
1.17,0.12123180876023375,0.44645378884809783
1.18,0.10935132895944086,0.4509937594806767
1.19,0.09745427943328851,0.45537902557561655
1.2,0.08554876259245618,0.4596097231554704
1.21,0.07364280660600779,0.4636865061615889
1.22,0.06174432628351635,0.46761052876384473
1.23,0.04986108650069636,0.4713834239913511
1.24,0.038000668527080714,0.47500727913362445
1.25,0.026170439539058232,0.4784846083942997
1.26,0.014377525524830273,0.4818183232981046
1.27,0.0026287877120583954,0.48501170135696386
