time,J1_w,J2_w,J3_w,J4_w
0.0,10.0,0.0,0.0,0.0
0.01,9.915550595722452,0.09999710862052424,-3.2751579226442118e-15,-3.2803355807137246e-15
0.02,9.860636303010113,0.19997819707751674,-1.304512053934559e-15,-1.3124969591295905e-15
0.03,9.830922137977085,0.29992772446652616,-2.7755575615628914e-15,-2.784710460836866e-15
0.04,9.819563913503421,0.399829868974102,-4.440892098500626e-16,-4.533447022331573e-16
0.05,9.817979640881237,0.49966891876489505,1.1102230246251565e-16,1.0235183708809695e-16
0.06,9.816402452959354,0.5994287930760756,7.771561172376096e-16,7.68874764086636e-16
0.07,9.805271569275567,0.6990939459812004,-5.000322378378996e-11,4.9997738508590767e-11
0.08,9.775883755959153,0.7986484049413871,-5.0007553653586e-11,4.999340863879473e-11
0.09,9.721367864140081,0.8980764177144973,-5.000888592121555e-11,4.999207637116518e-11
0.1,9.637302984481698,0.9973621366065419,-5.000966307733279e-11,4.999129921504794e-11
0.11,9.522187701423677,1.0964897938396092,-5.0007331608981076e-11,4.9993630683399654e-11
0.12,9.37762168309084,1.1954435687970193,-5.0009552055030326e-11,4.9991410237350403e-11
0.13,9.208134306897048,1.2942079980564385,-5.000533320753675e-11,4.999562908484398e-11
0.14,9.020683132288353,1.3927674614471863,-5.000888592121555e-11,4.999207637116518e-11
0.15,8.82400203717543,1.4911063028680225,-5.0007775698190926e-11,4.9993186594189804e-11
0.16,8.627760769891221,1.5892089179175946,-5.000355685069735e-11,4.999740544168338e-11
0.17,8.441615254394556,1.6870598135828017,-5.0005111162931826e-11,4.9995851129448904e-11
0.18,8.27424789847169,1.784643607735874,-5.00048891183269e-11,4.999607317405383e-11
0.19,8.132522101238221,1.8819448891374568,-5.00040009399072e-11,4.999696135247353e-11
0.2,8.02084671499492,1.978947928497023,-5.00057772967466e-11,4.999518499563413e-11
0.21,7.9406958433944945,2.075637054177677,-5.000266867227765e-11,4.999829362010308e-11
0.22,7.890360907915108,2.1719981251568488,-5.000266867227765e-11,4.999829362010308e-11
0.23,7.865388563827011,2.2680154499573835,-5.000266867227765e-11,4.999829362010308e-11
0.24,7.85929410517901,2.36365478436345,-5.00048891183269e-11,4.999607317405383e-11
0.25,7.862421513865156,2.458921075489158,-5.000622138595645e-11,4.999474090642428e-11
0.26,7.865184938941566,2.5537976325855842,-5.00057772967466e-11,4.999518499563413e-11
0.27,7.857990098854577,2.6482694006928753,-5.000622138595645e-11,4.9994740980477365e-11
0.28,7.833456823274618,2.7423411489276504,-5.000622138595645e-11,4.9994739352772345e-11
0.29,7.784068023050575,2.8359808721411017,-5.000710956437615e-11,4.9993848098033464e-11
0.3,7.7054238863264475,2.9291721878200887,-5.000888592121555e-11,4.999206619331025e-11
0.31,7.596023323238002,3.021898785831623,-5.00102181888451e-11,4.9990731277973504e-11
0.32,7.457699676083654,3.114149243735974,-5.00093300104254e-11,4.999160711446629e-11
0.33,7.2948670728595495,3.2059071904201053,-5.00084418320057e-11,4.99924771228056e-11
0.34,7.1141387152257085,3.2971355774616824,-5.000710956437615e-11,4.999379409851688e-11
0.35000000000000003,6.924992073668568,3.3878433577849902,-5.000710956437615e-11,4.9993776809632915e-11
0.36,6.737084103464085,3.4780130136194476,-5.00066654751663e-11,4.999420732177127e-11
0.37,6.559966337266799,3.5676370581594825,-5.000533320753675e-11,4.999552292373784e-11
0.38,6.401131117341155,3.656721076503066,-5.000444502911705e-11,4.999640761081041e-11
0.39,6.268096052484465,3.745229824937571,-5.00040009399072e-11,4.9996844440632646e-11
0.4,6.16530960097347,3.8331471997398086,-5.00022245830678e-11,4.99986109687314e-11
0.41000000000000003,6.093475710953147,3.8204723186363196,0.09999999994999831,4.9998005735574225e-11
0.42,6.05182551788434,3.8071781998948335,0.19999999994999706,4.9997367357335065e-11
0.43,6.036064485201146,3.7932510000565913,0.29999999994999493,4.999728409060822e-11
0.44,6.039214732614567,3.778676593366782,0.39999999994999236,4.999550773376882e-11
0.45,6.052708830936562,3.7634413537403884,0.49999999994999156,4.999545222261759e-11
0.46,6.0668190282614685,3.747531672424224,0.5999999999499908,4.9995008133407737e-11
0.47000000000000003,6.071941480086405,3.730935127898825,0.6999999999499904,4.9995008133407737e-11
0.48,6.059368292777432,3.713636011312787,0.7863293757348568,0.01367062426512855
0.49,6.02213071386542,3.6956196139632085,0.8574811280490215,0.042518871950965154
0.5,5.955753257023015,3.6768719108744032,0.9141514628325291,0.0858485371674591
0.51,5.858885331093548,3.6573828167364533,0.9573860716862126,0.1426139283137754
0.52,5.733411816338773,3.637145986988462,0.9885548957910921,0.21144510420889784
0.53,5.583705167342616,3.616146858622086,1.0093190645869963,0.290680935412996
0.54,5.41662679555323,3.5943717461815954,1.0215908070921111,0.37840919290788344
0.55,5.240862971943844,3.5718078106645694,1.0274873033390972,0.4725126966608991
0.56,5.066049210084672,3.5484429629304195,1.0292795896489606,0.5707204103510364
0.5700000000000001,4.901768573606773,3.5242659108075745,1.0293377508314903,0.6706622491685086
0.58,4.756714507305157,3.499264624873116,1.0300737220101488,0.7699262779898548
0.59,4.637748893879111,3.473426856218497,1.0338830804571035,0.8661169195429017
0.6,4.549297845505803,3.4467398140869068,1.0430872321986508,0.9569127678013515
0.61,4.492883125287828,3.4191910157959495,1.0598773886240371,1.0401226113759645
0.62,4.4672623930622475,3.390760332673727,1.0999999999999779,1.100000000000023
0.63,4.467167665900062,3.3614556392255452,1.1499999999999773,1.1500000000000223
0.64,4.486620922559725,3.331228895829147,1.199999999999977,1.2000000000000222
0.65,4.516116134068536,3.3001005814791657,1.2646923842582223,1.2353076157417797
0.66,4.5461310431772395,3.268052384529179,1.344301293966449,1.2556987060335543
0.67,4.567511027958403,3.2351037934143174,1.4393188352081798,1.2606811647918252
0.68,4.571430958474344,3.201220063076425,1.5393188352081792,1.2606811647918243
0.6900000000000001,4.551036415346937,3.1663890020448675,1.6393188352081798,1.2606811647918248
0.7000000000000001,4.501922121851489,3.13059893669052,1.739318835208181,1.2606811647918235
0.71,4.422597235462907,3.0938386257956214,1.8393188352081817,1.260681164791825
0.72,4.31474233173458,3.05610092457107,1.9393188352081845,1.2606811647918263
0.73,4.182813717659587,3.0173750586768473,2.039318835208185,1.2606811647918255
0.74,4.033686895345843,2.977649609085887,2.139318835208186,1.2606811647918257
0.75,3.8760514929525134,2.936890354646112,2.2393188352081856,1.2606811647918252
0.76,3.7198409616539263,2.8951151887473805,2.3393188352081835,1.2606811647918252
0.77,3.5746489173564053,2.8523155489844996,2.439318835208185,1.260681164791826
0.78,3.4483770864727528,2.8085097084204493,2.5393188352081855,1.2606811647918252
0.79,3.348365741873412,2.7636618961647437,2.6393188352081838,1.2606811647918248
0.8,3.279250445287095,2.728536844168018,2.7285368441680182,1.2606811647918257
0.81,3.242140666063531,2.7550555761984183,2.755055576198419,1.260681164791826
0.8200000000000001,3.235645086604667,2.7810399052321895,2.78103990523219,1.260681164791826
0.8300000000000001,3.2553222636795525,2.806485223259838,2.8064852232598385,1.2606811647918261
0.84,3.294149314874809,2.8313858988806992,2.8313858988806997,1.2606811647918266
0.85,3.3437682660552013,2.8557268897182357,2.855726889718236,1.2606811647918266
0.86,3.3939457514815126,2.8794664786054094,2.87946647860541,1.2606811647918261
0.87,3.435501146069556,2.902701227249808,2.9027012272498083,1.2606811647918266
0.88,3.4601700747990334,2.9216864816201302,2.9216864816201307,1.2680929261178897
0.89,3.460742382027096,2.932433387071173,2.9324333870711734,1.2908606420536728
0.9,3.432801327219619,2.935211915039197,2.9352119150391975,1.3284348504880477
0.91,3.3748331808950693,2.9304714126726608,2.930471412672661,1.3799087584889314
0.92,3.2884800150393345,2.9188308937595733,2.9188308937595737,1.4440401262884965
0.93,3.1782258457098873,2.9010602041805282,2.9010602041805287,1.5192812467368502
0.9400000000000001,3.050626682908534,2.878050861986655,2.8780508619866554,1.6038162967184135
0.9500000000000001,2.914881205103417,2.850834315794107,2.8508343157941076,1.6956051591148105
0.96,2.8073401896345147,2.8073401896345405,2.807340189634541,1.7924326577418144
0.97,2.7450738202992713,2.745073820299297,2.7450738202992975,1.891962017054583
0.98,2.6885907256897967,2.6885907256898225,2.688590725689823,1.9917912564573808
0.99,2.6412319189484372,2.641231918948463,2.6412319189484634,2.0895111582320522
1.0,2.60525115422249,2.6052511542225156,2.605251154222516,2.182763410122792
1.01,2.590833205794901,2.577359691132789,2.5773596911327896,2.2692975193996405
1.02,2.606694097576294,2.5486437792004693,2.5486437792004697,2.3558316286764924
1.03,2.6487113007035163,2.5193259595276944,2.519325959527695,2.4423657379533448
1.04,2.710535126394681,2.5025600737087617,2.502560073708762,2.5025600737087634
