time,cruise_speed,sea_state,K_T,RPM,Thrust,cavitation_margin,resistance_margin,shaft_torsional_stress,thermal_margin,SFOC
5.0017,1.5005,2.0,0.181978,3.240972,0.695083,0.574857,0.344636,0.357086,0.359603,199.717439
5.1017,1.5305,2.0,0.182059,3.374528,0.753888,0.574507,0.345102,0.356607,0.359312,199.705795
5.2017,1.5605,2.0,0.182068,3.388172,0.760031,0.574472,0.345149,0.355632,0.359282,199.704606
5.3018,1.5905,2.0,0.182175,3.564711,0.841794,0.574010,0.345765,0.355392,0.358897,199.689214
5.4018,1.6205,2.0,0.182245,3.678418,0.896695,0.573712,0.346161,0.354903,0.358649,199.679301
5.5018,1.6506,2.0,0.182315,3.792794,0.953690,0.573413,0.346560,0.354442,0.358400,199.669329
5.6019,1.6806,2.0,0.182402,3.935320,1.027203,0.573040,0.347057,0.354127,0.358089,199.656903
5.7019,1.7106,2.0,0.182533,4.149683,1.142977,0.572480,0.347805,0.354148,0.357622,199.638214
5.8019,1.7406,2.0,0.182538,4.159005,1.148153,0.572455,0.347837,0.353298,0.357602,199.637402
5.9020,1.7706,2.0,0.182673,4.379552,1.274091,0.571879,0.348606,0.353391,0.357121,199.618173
6.0020,1.8006,2.0,0.182671,4.377299,1.272771,0.571884,0.348599,0.352534,0.357126,199.618370
6.1020,1.8306,2.0,0.182793,4.576448,1.392143,0.571364,0.349293,0.352576,0.356692,199.601007
6.2021,1.8606,2.0,0.182889,4.734507,1.490752,0.570950,0.349844,0.352459,0.356347,199.587227
6.3021,1.8906,2.0,0.182984,4.890267,1.591280,0.570543,0.350387,0.352352,0.356008,199.573647
6.4021,1.9206,2.0,0.183071,5.032495,1.685987,0.570171,0.350883,0.352206,0.355698,199.561247
6.5022,1.9507,2.0,0.183158,5.173952,1.782941,0.569801,0.351377,0.352075,0.355390,199.548914
6.6022,1.9807,2.0,0.183207,5.255557,1.840127,0.569587,0.351661,0.351702,0.355212,199.541800
6.7022,2.0107,2.0,0.183289,5.389924,1.936288,0.569236,0.352130,0.351576,0.354919,199.530085
6.8023,2.0407,2.0,0.183416,5.597312,2.089602,0.568693,0.352853,0.351787,0.354467,199.512004
6.9023,2.0707,2.0,0.183471,5.687526,2.158150,0.568458,0.353168,0.351504,0.354270,199.504139
7.0023,2.1007,2.0,0.183526,5.777276,2.227464,0.568223,0.353481,0.351235,0.354075,199.496314
7.1024,2.1307,2.0,0.183619,5.929639,2.347691,0.567824,0.354012,0.351256,0.353742,199.483031
7.2024,2.1607,2.0,0.183715,6.086831,2.475106,0.567413,0.354560,0.351314,0.353400,199.469326
7.3024,2.1907,2.0,0.183848,6.305405,2.657985,0.566841,0.355323,0.351654,0.352923,199.450270
7.4025,2.2207,2.0,0.183928,6.436639,2.770983,0.566498,0.355780,0.351630,0.352637,199.438828
7.5025,2.2508,2.0,0.184037,6.614224,2.927718,0.566034,0.356400,0.351822,0.352250,199.423346
7.6025,2.2808,2.0,0.184095,6.709716,3.013819,0.565784,0.356733,0.351670,0.352042,199.415020
7.7026,2.3108,2.0,0.184206,6.891565,3.181313,0.565308,0.357367,0.351909,0.351646,199.399166
7.8026,2.3408,2.0,0.184314,7.068645,3.348865,0.564845,0.357984,0.352141,0.351260,199.383728
7.9026,2.3708,2.0,0.184380,7.176777,3.453343,0.564562,0.358361,0.352085,0.351024,199.374300
8.0027,2.4008,2.0,0.184498,7.371099,3.645228,0.564054,0.359039,0.352419,0.350601,199.357358
8.1027,2.4308,2.0,0.184560,7.472304,3.747267,0.563789,0.359392,0.352359,0.350380,199.348535
8.2027,2.4608,2.0,0.184666,7.645498,3.925235,0.563336,0.359996,0.352625,0.350003,199.333435
8.3028,2.4908,2.0,0.184763,7.803909,4.091719,0.562922,0.360548,0.352839,0.349657,199.319624
8.4028,2.5208,2.0,0.184836,7.923631,4.219894,0.562609,0.360966,0.352896,0.349396,199.309187
8.5028,2.5509,2.0,0.184986,8.169267,4.489225,0.561966,0.361822,0.353514,0.348861,199.287771
8.6029,2.5809,2.0,0.185056,8.283998,4.617954,0.561666,0.362223,0.353572,0.348611,199.277768
8.7029,2.6109,2.0,0.185170,8.471685,4.832568,0.561175,0.362877,0.353959,0.348202,199.261405
8.8029,2.6409,2.0,0.185285,8.659719,5.052601,0.560684,0.363533,0.354358,0.347792,199.245011
8.9030,2.6709,2.0,0.185385,8.823645,5.248533,0.560255,0.364105,0.354662,0.347435,199.230720
9.0030,2.7009,2.0,0.185493,9.001228,5.465113,0.559790,0.364724,0.355036,0.347048,199.215237
9.1030,2.7309,2.0,0.185572,9.130666,5.625814,0.559452,0.365175,0.355210,0.346765,199.203952
9.2031,2.7609,2.0,0.185665,9.283034,5.818057,0.559053,0.365707,0.355494,0.346433,199.190668
9.3031,2.7909,2.0,0.185779,9.469788,6.058222,0.558565,0.366358,0.355937,0.346026,199.174386
9.4031,2.8209,2.0,0.185834,9.559937,6.175942,0.558329,0.366672,0.355968,0.345830,199.166527
9.5032,2.8510,2.0,0.185946,9.743419,6.419151,0.557849,0.367312,0.356415,0.345430,199.150530
9.6032,2.8810,2.0,0.186055,9.922041,6.660570,0.557382,0.367935,0.356849,0.345041,199.134957
9.7032,2.9110,2.0,0.186171,10.111634,6.921847,0.556886,0.368596,0.357340,0.344627,199.118428
9.8033,2.9410,2.0,0.186320,10.355712,7.265854,0.556248,0.369447,0.358076,0.344095,199.097148
9.9033,2.9710,2.0,0.186387,10.465573,7.423504,0.555960,0.369831,0.358236,0.343856,199.087570
10.0033,3.0010,2.0,0.186511,10.667946,7.718488,0.555431,0.370536,0.358806,0.343415,199.069926
10.1034,3.0310,2.0,0.186670,10.928697,8.107329,0.554749,0.371446,0.359639,0.342846,199.047193
10.2034,3.0610,2.0,0.186728,11.023666,8.251406,0.554501,0.371777,0.359757,0.342639,199.038913
10.3034,3.0910,2.0,0.186870,11.256951,8.610896,0.553891,0.372590,0.360485,0.342131,199.018574
10.4035,3.1210,2.0,0.186928,11.352831,8.760949,0.553640,0.372925,0.360621,0.341922,199.010215
10.5035,3.1511,2.0,0.187061,11.569507,9.104994,0.553073,0.373680,0.361290,0.341450,198.991325
10.6035,3.1811,2.0,0.187149,11.713366,9.337210,0.552697,0.374182,0.361649,0.341136,198.978782
10.7036,3.2111,2.0,0.187278,11.925813,9.685688,0.552141,0.374923,0.362314,0.340673,198.960260
10.8036,3.2411,2.0,0.187426,12.167478,10.090147,0.551509,0.375766,0.363112,0.340146,198.939191
10.9036,3.2711,2.0,0.187459,12.222584,10.183577,0.551365,0.375958,0.363104,0.340026,198.934387
11.0037,3.3011,2.0,0.187638,12.514939,10.686732,0.550600,0.376977,0.364135,0.339389,198.908898
11.1037,3.3311,2.0,0.187745,12.690142,10.994306,0.550142,0.377588,0.364663,0.339007,198.893623
11.2037,3.3611,2.0,0.187833,12.834347,11.250865,0.549765,0.378091,0.365060,0.338693,198.881051
11.3038,3.3911,2.0,0.187920,12.978301,11.510048,0.549388,0.378593,0.365463,0.338379,198.868500
11.4038,3.4211,2.0,0.188081,13.241501,11.991872,0.548700,0.379511,0.366391,0.337806,198.845553
11.5038,3.4512,2.0,0.188178,13.399444,12.285946,0.548287,0.380062,0.366865,0.337461,198.831783
11.6039,3.4812,2.0,0.188316,13.626300,12.714823,0.547693,0.380853,0.367645,0.336967,198.812005
11.7039,3.5112,2.0,0.188425,13.805220,13.058486,0.547226,0.381477,0.368222,0.336577,198.796406
11.8039,3.5412,2.0,0.188589,14.074383,13.584490,0.546522,0.382416,0.369196,0.335990,198.772940
11.9040,3.5712,2.0,0.188650,14.173189,13.780299,0.546263,0.382760,0.369433,0.335775,198.764325
12.0040,3.6012,2.0,0.188743,14.325533,14.085071,0.545865,0.383292,0.369908,0.335443,198.751043
12.1040,3.6312,2.0,0.188897,14.577902,14.597609,0.545205,0.384172,0.370824,0.334893,198.729041
12.2041,3.6612,2.0,0.189016,14.772838,15.000061,0.544695,0.384852,0.371494,0.334468,198.712045
12.3041,3.6912,2.0,0.189169,15.023361,15.525675,0.544039,0.385725,0.372411,0.333922,198.690204
12.4041,3.7212,2.0,0.189271,15.191374,15.883484,0.543600,0.386311,0.372973,0.333556,198.675556
12.5042,3.7513,2.0,0.189375,15.362325,16.251927,0.543153,0.386907,0.373551,0.333183,198.660652
12.6042,3.7813,2.0,0.189529,15.613148,16.800522,0.542497,0.387782,0.374482,0.332636,198.638784
12.7042,3.8113,2.0,0.189567,15.676675,16.940982,0.542331,0.388004,0.374600,0.332498,198.633245
12.8043,3.8413,2.0,0.189704,15.900878,17.441597,0.541744,0.388785,0.375423,0.332009,198.613699
12.9043,3.8713,2.0,0.189816,16.083903,17.855935,0.541266,0.389424,0.376070,0.331610,198.597742
13.0043,3.9013,2.0,0.189953,16.308715,18.371852,0.540678,0.390208,0.376903,0.331120,198.578142
13.1044,3.9313,2.0,0.190044,16.457943,18.718573,0.540287,0.390728,0.377410,0.330795,198.565131
13.2044,3.9613,2.0,0.190227,16.757698,19.425321,0.539503,0.391773,0.378577,0.330142,198.538998
13.3044,3.9913,2.0,0.190323,16.914576,19.800688,0.539093,0.392321,0.379124,0.329800,198.525320
13.4045,4.0213,2.0,0.190407,17.052471,20.133750,0.538732,0.392801,0.379592,0.329499,198.513298
13.5045,4.0514,2.0,0.190543,17.276126,20.680164,0.538147,0.393581,0.380437,0.329012,198.493799
13.6045,4.0814,2.0,0.190707,17.544037,21.344834,0.537447,0.394516,0.381478,0.328428,198.470441
13.7046,4.1114,2.0,0.190846,17.772279,21.919824,0.536850,0.395312,0.382350,0.327930,198.450542
13.8046,4.1414,2.0,0.191005,18.032768,22.585892,0.536168,0.396220,0.383365,0.327362,198.427832
13.9046,4.1714,2.0,0.191157,18.281726,23.232298,0.535517,0.397088,0.384333,0.326820,198.406127
14.0047,4.2014,2.0,0.191205,18.360389,23.438542,0.535311,0.397363,0.384561,0.326648,198.399269
14.1047,4.2314,2.0,0.191287,18.494356,23.791998,0.534961,0.397830,0.385033,0.326356,198.387589
14.2047,4.2614,2.0,0.191377,18.641916,24.184549,0.534575,0.398344,0.385567,0.326035,198.374724
14.3048,4.2914,2.0,0.191575,18.967104,25.061617,0.533725,0.399478,0.386879,0.325326,198.346373
14.4048,4.3214,2.0,0.191668,19.118780,25.476349,0.533328,0.400007,0.387436,0.324995,198.333149
14.5048,4.3515,2.0,0.191806,19.344871,26.101232,0.532736,0.400796,0.388321,0.324503,198.313438
14.6049,4.3815,2.0,0.191926,19.541741,26.651877,0.532222,0.401482,0.389080,0.324074,198.296274
14.7049,4.4115,2.0,0.192067,19.772503,27.305061,0.531618,0.402287,0.389990,0.323571,198.276155
14.8049,4.4415,2.0,0.192230,20.040521,28.074213,0.530917,0.403222,0.391065,0.322986,198.252788
14.9050,4.4715,2.0,0.192330,20.203232,28.546677,0.530491,0.403789,0.391682,0.322632,198.238602
15.0050,4.5015,2.0,0.192447,20.396077,29.112052,0.529987,0.404462,0.388911,0.322211,198.221789
15.1050,4.5315,2.0,0.192548,20.561321,29.601184,0.529555,0.405038,0.389631,0.321851,198.207383
15.2051,4.5615,2.0,0.192657,20.738924,30.131719,0.529090,0.405657,0.390405,0.321464,198.191898
15.3051,4.5915,2.0,0.192821,21.008352,30.946099,0.528386,0.406597,0.391580,0.320877,198.168409
15.4051,4.6215,2.0,0.192963,21.240435,31.656848,0.527779,0.407406,0.392591,0.320371,198.148175
15.5052,4.6516,2.0,0.193147,21.542421,32.594509,0.526989,0.408459,0.393908,0.319713,198.121847
15.6052,4.6816,2.0,0.193226,21.671875,33.000918,0.526650,0.408911,0.394472,0.319431,198.110560
15.7052,4.7116,2.0,0.193381,21.926267,33.807359,0.525985,0.409798,0.395581,0.318876,198.088381
15.8053,4.7416,2.0,0.193466,22.064361,34.249463,0.525624,0.410280,0.396183,0.318575,198.076342
15.9053,4.7716,2.0,0.193574,22.242694,34.824919,0.525157,0.410902,0.396960,0.318187,198.060794
16.0053,4.8016,2.0,0.193711,22.466718,35.555044,0.524571,0.411683,0.397937,0.317698,198.041263
16.1054,4.8316,2.0,0.193849,22.692155,36.297924,0.523982,0.412469,0.398920,0.317207,198.021608
16.2054,4.8616,2.0,0.194066,23.048688,37.489523,0.523049,0.413712,0.400474,0.316430,197.990524
16.3054,4.8916,2.0,0.194107,23.115444,37.714915,0.522874,0.413945,0.400765,0.316284,197.984704
16.4055,4.9216,2.0,0.194289,23.413081,38.728621,0.522096,0.414983,0.402062,0.315636,197.958755
16.5055,4.9517,2.0,0.194367,23.541045,39.168855,0.521761,0.415429,0.402620,0.315357,197.947599
16.6055,4.9817,2.0,0.194554,23.848190,40.236378,0.520958,0.416501,0.403959,0.314687,197.920820
16.7056,5.0117,2.0,0.194669,24.036659,40.899023,0.520465,0.417158,0.404781,0.314276,197.904389
16.8056,5.0417,2.0,0.194785,24.225756,41.569690,0.519970,0.417817,0.405605,0.313864,197.887903
16.9056,5.0717,2.0,0.194920,24.448098,42.365729,0.519389,0.418593,0.406574,0.313380,197.868518
17.0057,5.1017,2.0,0.195034,24.634311,43.038637,0.518902,0.419242,0.407386,0.312974,197.852283
17.1057,5.1317,2.0,0.195200,24.906630,44.032925,0.518190,0.420192,0.408573,0.312380,197.828541
17.2057,5.1617,2.0,0.195306,25.079211,44.669348,0.517738,0.420794,0.409325,0.312004,197.813495
17.3058,5.1917,2.0,0.195415,25.258667,45.336312,0.517269,0.421419,0.410108,0.311613,197.797849
17.4058,5.2217,2.0,0.195547,25.474386,46.145066,0.516705,0.422172,0.411048,0.311143,197.779042
17.5058,5.2518,2.0,0.195724,25.765593,47.248998,0.515943,0.423187,0.412317,0.310508,197.753654
17.6059,5.2818,2.0,0.195901,26.054938,48.359750,0.515186,0.424196,0.413579,0.309877,197.728427
17.7059,5.3118,2.0,0.195992,26.203338,48.934815,0.514798,0.424714,0.414226,0.309554,197.715489
17.8059,5.3418,2.0,0.196117,26.409094,49.738177,0.514260,0.425431,0.415122,0.309105,197.697551
17.9060,5.3718,2.0,0.196264,26.649331,50.685070,0.513632,0.426269,0.416170,0.308582,197.676606
18.0060,5.4018,2.0,0.196429,26.920678,51.766128,0.512922,0.427215,0.417353,0.307990,197.652949
18.1060,5.4318,2.0,0.196531,27.087004,52.434847,0.512487,0.427795,0.418078,0.307628,197.638448
18.2061,5.4618,2.0,0.196646,27.276460,53.202192,0.511991,0.428456,0.418903,0.307215,197.621930
18.3061,5.4918,2.0,0.196828,27.573605,54.417791,0.511214,0.429492,0.420199,0.306567,197.596024
18.4061,5.5218,2.0,0.196942,27.761319,55.193344,0.510723,0.430147,0.421017,0.306158,197.579658
18.5062,5.5519,2.0,0.197112,28.038563,56.349619,0.509998,0.431114,0.422226,0.305554,197.555487
18.6062,5.5819,2.0,0.197206,28.193132,56.999874,0.509594,0.431653,0.422899,0.305217,197.542011
18.7062,5.6119,2.0,0.197299,28.345237,57.643695,0.509196,0.432183,0.423562,0.304885,197.528750
18.8063,5.6419,2.0,0.197430,28.560835,58.562952,0.508632,0.432935,0.424502,0.304416,197.509953
18.9063,5.6719,2.0,0.197659,28.934860,60.176341,0.507654,0.434240,0.426133,0.303600,197.477344
19.0063,5.7019,2.0,0.197797,29.161853,61.167047,0.507060,0.435031,0.427122,0.303106,197.457554
19.1064,5.7319,2.0,0.197876,29.290332,61.731663,0.506724,0.435479,0.427682,0.302825,197.446353
19.2064,5.7619,2.0,0.198006,29.504064,62.677154,0.506165,0.436225,0.428614,0.302360,197.427719
19.3064,5.7919,2.0,0.198199,29.820486,64.091194,0.505337,0.437328,0.429993,0.301670,197.400132
19.4065,5.8219,2.0,0.198258,29.916523,64.523744,0.505086,0.437663,0.430412,0.301461,197.391759
19.5065,5.8520,2.0,0.198401,30.151867,65.590400,0.504471,0.438484,0.431438,0.300948,197.371241
