time,stage_id,ambient_temp_C_profile,enable,i_load_A_profile,temp_ref_C,temp_cell_C,pump_cmd,soc,v_term_V
403.63,stage1,25.0,True,120.0,35.0,27.373268115604297,1.3316482925675433e-177,0.85,359.6586
403.64,stage1,25.0,True,120.0,35.0,27.3732243014237,1.31833180964188e-177,0.85,359.6586
403.65,stage1,25.0,True,120.0,35.0,27.373180488051982,1.3051484915454732e-177,0.85,359.6586
403.66,stage1,25.0,True,120.0,35.0,27.373136675489125,1.2920970066299562e-177,0.85,359.6586
403.67,stage1,25.0,True,120.0,35.0,27.373092863735117,1.2791760365636684e-177,0.85,359.6586
403.68,stage1,25.0,True,120.0,35.0,27.37304905278994,1.2663842761980434e-177,0.85,359.6586
403.69,stage1,25.0,True,120.0,35.0,27.373005242653583,1.2537204334360745e-177,0.85,359.6586
403.7,stage1,25.0,True,120.0,35.0,27.372961433326026,1.2411832291017253e-177,0.85,359.6586
403.71,stage1,25.0,True,120.0,35.0,27.372917624807258,1.2287713968107194e-177,0.85,359.6586
403.72,stage1,25.0,True,120.0,35.0,27.37287381709726,1.2164836828425534e-177,0.85,359.6586
403.73,stage1,25.0,True,120.0,35.0,27.372830010196022,1.2043188460141388e-177,0.85,359.6586
403.74,stage1,25.0,True,120.0,35.0,27.372786204103527,1.1922756575540084e-177,0.85,359.6586
403.75,stage1,25.0,True,120.0,35.0,27.37274239881976,1.180352900978479e-177,0.85,359.6586
403.76,stage1,25.0,True,120.0,35.0,27.372698594344705,1.168549371968705e-177,0.85,359.6586
403.77,stage1,25.0,True,120.0,35.0,27.372654790678347,1.1568638782490286e-177,0.85,359.6586
403.78,stage1,25.0,True,120.0,35.0,27.37261098782067,1.1452952394665488e-177,0.85,359.6586
403.79,stage1,25.0,True,120.0,35.0,27.372567185771665,1.1338422870718286e-177,0.85,359.6586
403.8,stage1,25.0,True,120.0,35.0,27.372523384531313,1.1225038642011205e-177,0.85,359.6586
403.81,stage1,25.0,True,120.0,35.0,27.372479584099597,1.1112788255591195e-177,0.85,359.6586
403.82,stage1,25.0,True,120.0,35.0,27.372435784476508,1.1001660373035384e-177,0.85,359.6586
403.83,stage1,25.0,True,120.0,35.0,27.372391985662027,1.089164376930513e-177,0.85,359.6586
403.84,stage1,25.0,True,120.0,35.0,27.372348187656137,1.0782727331612178e-177,0.85,359.6586
403.85,stage1,25.0,True,120.0,35.0,27.372304390458826,1.0674900058295542e-177,0.85,359.6586
403.86,stage1,25.0,True,120.0,35.0,27.372260594070077,1.0568151057712683e-177,0.85,359.6586
403.87,stage1,25.0,True,120.0,35.0,27.37221679848988,1.0462469547135653e-177,0.85,359.6586
403.88,stage1,25.0,True,120.0,35.0,27.372173003718217,1.0357844851664391e-177,0.85,359.6586
403.89,stage1,25.0,True,120.0,35.0,27.372129209755073,1.025426640314784e-177,0.85,359.6586
403.9,stage1,25.0,True,120.0,35.0,27.37208541660043,1.0151723739116455e-177,0.85,359.6586
403.91,stage1,25.0,True,120.0,35.0,27.37204162425428,1.0050206501724805e-177,0.85,359.6586
403.92,stage1,25.0,True,120.0,35.0,27.371997832716602,9.949704436707649e-178,0.85,359.6586
403.93,stage1,25.0,True,120.0,35.0,27.371954041987383,9.850207392340662e-178,0.85,359.6586
403.94,stage1,25.0,True,120.0,35.0,27.37191025206661,9.751705318417346e-178,0.85,359.6586
403.95,stage1,25.0,True,120.0,35.0,27.371866462954262,9.654188265233261e-178,0.85,359.6586
403.96,stage1,25.0,True,120.0,35.0,27.371822674650332,9.557646382581017e-178,0.85,359.6586
403.97,stage1,25.0,True,120.0,35.0,27.3717788871548,9.462069918754751e-178,0.85,359.6586
403.98,stage1,25.0,True,120.0,35.0,27.371735100467653,9.36744921956729e-178,0.85,359.6586
403.99,stage1,25.0,True,120.0,35.0,27.371691314588876,9.273774727371701e-178,0.85,359.6586
404.0,stage1,25.0,True,120.0,35.0,27.37164752951845,9.181036980098068e-178,0.85,359.6586
404.01,stage1,25.0,True,120.0,35.0,27.37160374525637,9.089226610297172e-178,0.85,359.6586
404.02,stage1,25.0,True,120.0,35.0,27.37155996180261,8.998334344194283e-178,0.85,359.6586
404.03,stage1,25.0,True,120.0,35.0,27.37151617915716,8.908351000752422e-178,0.85,359.6586
404.04,stage1,25.0,True,120.0,35.0,27.37147239732001,8.819267490744473e-178,0.85,359.6586
404.05,stage1,25.0,True,120.0,35.0,27.371428616291134,8.731074815837108e-178,0.85,359.6586
404.06,stage1,25.0,True,120.0,35.0,27.371384836070526,8.643764067678817e-178,0.85,359.6586
404.07,stage1,25.0,True,120.0,35.0,27.371341056658167,8.557326427002108e-178,0.85,359.6586
404.08,stage1,25.0,True,120.0,35.0,27.371297278054044,8.471753162732165e-178,0.85,359.6586
404.09,stage1,25.0,True,120.0,35.0,27.371253500258142,8.38703563110492e-178,0.85,359.6586
404.1,stage1,25.0,True,120.0,35.0,27.371209723270443,8.30316527479347e-178,0.85,359.6586
404.11,stage1,25.0,True,120.0,35.0,27.371165947090937,8.220133622045611e-178,0.85,359.6586
404.12,stage1,25.0,True,120.0,35.0,27.371122171719605,8.13793228582523e-178,0.85,359.6586
404.13,stage1,25.0,True,120.0,35.0,27.371078397156435,8.056552962967051e-178,0.85,359.6586
404.14,stage1,25.0,True,120.0,35.0,27.37103462340141,7.975987433337454e-178,0.85,359.6586
404.15,stage1,25.0,True,120.0,35.0,27.37099085045452,7.896227559004152e-178,0.85,359.6586
404.16,stage1,25.0,True,120.0,35.0,27.37094707831574,7.817265283413733e-178,0.85,359.6586
404.17,stage1,25.0,True,120.0,35.0,27.370903306985063,7.739092630579666e-178,0.85,359.6586
404.18,stage1,25.0,True,120.0,35.0,27.370859536462472,7.66170170427394e-178,0.85,359.6586
404.19,stage1,25.0,True,120.0,35.0,27.370815766747953,7.58508468723127e-178,0.85,359.6586
404.2,stage1,25.0,True,120.0,35.0,27.37077199784149,7.509233840359026e-178,0.85,359.6586
404.21,stage1,25.0,True,120.0,35.0,27.37072822974307,7.434141501955504e-178,0.85,359.6586
404.22,stage1,25.0,True,120.0,35.0,27.370684462452672,7.359800086935595e-178,0.85,359.6586
404.23,stage1,25.0,True,120.0,35.0,27.370640695970287,7.286202086066305e-178,0.85,359.6586
404.24,stage1,25.0,True,120.0,35.0,27.3705969302959,7.213340065205709e-178,0.85,359.6586
404.25,stage1,25.0,True,120.0,35.0,27.370553165429495,7.141206664553718e-178,0.85,359.6586
404.26,stage1,25.0,True,120.0,35.0,27.370509401371056,7.069794597908246e-178,0.85,359.6586
404.27,stage1,25.0,True,120.0,35.0,27.370465638120567,6.999096651929228e-178,0.85,359.6586
404.28,stage1,25.0,True,120.0,35.0,27.370421875678016,6.929105685409999e-178,0.85,359.6586
404.29,stage1,25.0,True,120.0,35.0,27.370378114043387,6.859814628555568e-178,0.85,359.6586
404.3,stage1,25.0,True,120.0,35.0,27.370334353216666,6.791216482270074e-178,0.85,359.6586
404.31,stage1,25.0,True,120.0,35.0,27.370290593197836,6.723304317447436e-178,0.85,359.6586
404.32,stage1,25.0,True,120.0,35.0,27.370246833986887,6.656071274273022e-178,0.85,359.6586
404.33,stage1,25.0,True,120.0,35.0,27.3702030755838,6.589510561530353e-178,0.85,359.6586
404.34,stage1,25.0,True,120.0,35.0,27.370159317988556,6.523615455915109e-178,0.85,359.6586
404.35,stage1,25.0,True,120.0,35.0,27.370115561201146,6.458379301355647e-178,0.85,359.6586
404.36,stage1,25.0,True,120.0,35.0,27.370071805221556,6.39379550834215e-178,0.85,359.6586
404.37,stage1,25.0,True,120.0,35.0,27.37002805004977,6.329857553258786e-178,0.85,359.6586
404.38,stage1,25.0,True,120.0,35.0,27.369984295685768,6.266558977726256e-178,0.85,359.6586
404.39,stage1,25.0,True,120.0,35.0,27.36994054212954,6.20389338794905e-178,0.85,359.6586
404.4,stage1,25.0,True,120.0,35.0,27.36989678938107,6.141854454069615e-178,0.85,359.6586
404.41,stage1,25.0,True,120.0,35.0,27.369853037440343,6.080435909528625e-178,0.85,359.6586
