time,stage_id,ambient_temp_C_profile,enable,i_load_A_profile,temp_ref_C,temp_cell_C,pump_cmd,soc,v_term_V
398.52,stage1,25.0,True,120.0,35.0,28.37781875375563,2.2636282080231851e-175,0.85,359.6586
398.53,stage1,25.0,True,120.0,35.0,28.377779235583183,2.2409919259429738e-175,0.85,359.6586
398.54,stage1,25.0,True,120.0,35.0,28.37773971763271,2.218582006683437e-175,0.85,359.6586
398.55,stage1,25.0,True,120.0,35.0,28.377700199904222,2.1963961866166227e-175,0.85,359.6586
398.56,stage1,25.0,True,120.0,35.0,28.377660682397725,2.1744322247504764e-175,0.85,359.6586
398.57,stage1,25.0,True,120.0,35.0,28.377621165113226,2.1526879025029915e-175,0.85,359.6586
398.58,stage1,25.0,True,120.0,35.0,28.37758164805073,2.1311610234779812e-175,0.85,359.6586
398.59,stage1,25.0,True,120.0,35.0,28.377542131210244,2.1098494132432206e-175,0.85,359.6586
398.6,stage1,25.0,True,120.0,35.0,28.37750261459178,2.0887509191106877e-175,0.85,359.6586
398.61,stage1,25.0,True,120.0,35.0,28.377463098195342,2.0678634099196e-175,0.85,359.6586
398.62,stage1,25.0,True,120.0,35.0,28.37742358202094,2.0471847758204227e-175,0.85,359.6586
398.63,stage1,25.0,True,120.0,35.0,28.377384066068576,2.026712928062237e-175,0.85,359.6586
398.64,stage1,25.0,True,120.0,35.0,28.37734455033826,2.006445798781633e-175,0.85,359.6586
398.65,stage1,25.0,True,120.0,35.0,28.37730503483,1.986381340793835e-175,0.85,359.6586
398.66,stage1,25.0,True,120.0,35.0,28.3772655195438,1.9665175273858017e-175,0.85,359.6586
398.67,stage1,25.0,True,120.0,35.0,28.377226004479674,1.9468523521119616e-175,0.85,359.6586
398.68,stage1,25.0,True,120.0,35.0,28.377186489637623,1.9273838285908597e-175,0.85,359.6586
398.69,stage1,25.0,True,120.0,35.0,28.377146975017656,1.9081099903049685e-175,0.85,359.6586
398.7,stage1,25.0,True,120.0,35.0,28.37710746061978,1.8890288904019363e-175,0.85,359.6586
398.71,stage1,25.0,True,120.0,35.0,28.377067946444,1.870138601497934e-175,0.85,359.6586
398.72,stage1,25.0,True,120.0,35.0,28.377028432490327,1.8514372154828655e-175,0.85,359.6586
398.73,stage1,25.0,True,120.0,35.0,28.376988918758766,1.8329228433280536e-175,0.85,359.6586
398.74,stage1,25.0,True,120.0,35.0,28.376949405249324,1.8145936148947898e-175,0.85,359.6586
398.75,stage1,25.0,True,120.0,35.0,28.376909891962008,1.7964476787458583e-175,0.85,359.6586
398.76,stage1,25.0,True,120.0,35.0,28.376870378896825,1.778483201958416e-175,0.85,359.6586
398.77,stage1,25.0,True,120.0,35.0,28.376830866053783,1.760698369938848e-175,0.85,359.6586
398.78,stage1,25.0,True,120.0,35.0,28.376791353432893,1.7430913862394756e-175,0.85,359.6586
