case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001576,benchmark_single_fmu_case,complex,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.8986411839723587,16.532308255452506,22.599526625797342,3.66594666240774,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001576
case_bench_fmu-001579,benchmark_single_fmu_case,complex,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.45739233400672674,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001579
case_bench_fmu-001578,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.9666740768589079,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001578
case_bench_fmu-001580,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.587788880802691,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001580
case_bench_fmu-001581,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.7147870911285281,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001581
case_bench_fmu-001582,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.619320513214916,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001582
case_bench_fmu-001583,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,True,True,True,0.7930989139713347,3.430786459454397,4.45245321977421,0.10346837236211587,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001583
case_bench_fmu-001584,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.7397269941866398,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001584
case_bench_fmu-001586,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.6646750457584858,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001586
case_bench_fmu-001587,benchmark_single_fmu_case,complex,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.733644506894052,16.532308255452506,22.599526625797342,3.66594666240774,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001587
case_bench_fmu-001588,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.6489881132729352,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001588
case_bench_fmu-001589,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.7899269480258226,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001589
case_bench_fmu-001591,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.49989174911752343,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001591
case_bench_fmu-001590,benchmark_single_fmu_case,complex,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.9837324381805956,16.532308255452506,22.599526625797342,3.66594666240774,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001590
case_bench_fmu-001592,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.6289944327436388,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001592
case_bench_fmu-001593,benchmark_single_fmu_case,complex,1,True,ablation_stage2_semantic_retrieval_only,False,False,True,0.5313184829428792,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001593
case_bench_fmu-001594,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,True,True,True,0.48826003400608897,3.430786459454397,4.45245321977421,0.10346837236211587,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001594
case_bench_fmu-001597,benchmark_single_fmu_case,simple,1,True,ablation_stage2_semantic_retrieval_only,False,False,False,0.3216728940606117,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage2_semantic_retrieval_only/case_bench_fmu-001597
