time,real_continuous_out,real_discrete_out,int_out,bool_out
0.0,0.0,0.0,0,False
0.01,0.0,0.0,0,False
0.02,0.0,0.0,0,False
0.03,0.0,0.0,0,False
0.04,0.0,0.0,0,False
0.05,0.0,0.0,0,False
0.06,0.0,0.0,0,False
0.07,0.0,0.0,0,False
0.08,0.0,0.0,0,False
0.09,0.0,0.0,0,False
0.1,0.0,0.0,0,False
0.11,0.0,0.0,0,False
0.12,0.0,0.0,0,False
0.13,0.0,0.0,0,False
0.14,0.0,0.0,0,False
0.15,0.0,0.0,0,False
0.16,0.0,0.0,0,False
0.17,0.0,0.0,0,False
0.18,0.0,0.0,0,False
0.19,0.0,0.0,0,False
0.2,0.0,0.0,0,False
0.21,0.0,0.0,0,False
0.22,0.0,0.0,0,False
0.23,0.0,0.0,0,False
0.24,0.0,0.0,0,False
0.25,0.0,0.0,0,False
0.26,0.0,0.0,0,False
0.27,0.0,0.0,0,False
0.28,0.0,0.0,0,False
0.29,0.0,0.0,0,False
0.3,0.0,0.0,0,False
0.31,0.0,0.0,0,False
0.32,0.0,0.0,0,False
0.33,0.0,0.0,0,False
0.34,0.0,0.0,0,False
0.35000000000000003,0.0,0.0,0,False
0.36,0.0,0.0,0,False
0.37,0.0,0.0,0,False
0.38,0.0,0.0,0,False
0.39,0.0,0.0,0,False
0.4,0.0,0.0,0,False
0.41000000000000003,0.0,0.0,0,False
0.42,0.0,0.0,0,False
0.43,0.0,0.0,0,False
0.44,0.0,0.0,0,False
0.45,0.0,0.0,0,False
0.46,0.0,0.0,0,False
0.47000000000000003,0.0,0.0,0,False
0.48,0.0,0.0,0,False
0.49,0.0,0.0,0,False
0.5,0.0,0.0,0,False
0.51,2.0,0.0,0,False
0.52,1.98,0.0,0,False
0.53,1.96,0.0,0,False
0.54,1.94,0.0,0,False
0.55,1.92,0.0,0,False
0.56,1.9,0.0,0,False
0.5700000000000001,1.88,0.0,0,False
0.58,1.8599999999999999,0.0,0,False
0.59,1.84,0.0,0,False
0.6,1.82,0.0,0,False
0.61,1.8,0.0,0,False
0.62,1.78,0.0,0,False
0.63,1.76,0.0,0,False
0.64,1.74,0.0,0,False
0.65,1.72,0.0,0,False
0.66,1.7,0.0,0,False
0.67,1.68,0.0,0,False
0.68,1.66,0.0,0,False
0.6900000000000001,1.64,0.0,0,False
0.7000000000000001,1.6199999999999999,0.0,0,False
0.71,1.5999999999999999,0.0,0,False
0.72,1.58,0.0,0,False
0.73,1.56,0.0,0,False
0.74,1.54,0.0,0,False
0.75,1.52,0.0,0,False
0.76,1.5,0.0,0,False
0.77,1.48,0.0,0,False
0.78,1.46,0.0,0,False
0.79,1.44,0.0,0,False
0.8,1.42,0.0,0,False
0.81,1.4,0.0,0,False
0.8200000000000001,1.38,0.0,0,False
0.8300000000000001,1.3599999999999999,0.0,0,False
0.84,1.3399999999999999,0.0,0,False
0.85,1.32,0.0,0,False
0.86,1.3,0.0,0,False
0.87,1.28,0.0,0,False
0.88,1.26,0.0,0,False
0.89,1.24,0.0,0,False
0.9,1.22,0.0,0,False
0.91,1.2,0.0,0,False
0.92,1.18,0.0,0,False
0.93,1.16,0.0,0,False
0.9400000000000001,1.14,0.0,0,False
0.9500000000000001,1.1199999999999999,0.0,0,False
0.96,1.0999999999999999,0.0,0,False
0.97,1.08,0.0,0,False
0.98,1.06,0.0,0,False
0.99,1.04,0.0,0,False
1.0,1.02,0.0,0,False
1.01,1.0,1.0,1,False
1.02,1.0,1.0,1,False
1.03,1.0,1.0,1,False
1.04,1.0,1.0,1,False
1.05,1.0,1.0,1,False
1.06,1.0,1.0,1,False
1.07,1.0,1.0,1,False
1.08,1.0,1.0,1,False
1.09,1.0,1.0,1,False
1.1,1.0,1.0,1,False
1.11,1.0,1.0,1,False
1.12,1.0,1.0,1,False
1.1300000000000001,1.0,1.0,1,False
1.1400000000000001,1.0,1.0,1,False
1.1500000000000001,1.0,1.0,1,False
1.16,1.0,1.0,1,False
1.17,1.0,1.0,1,False
1.18,1.0,1.0,1,False
1.19,1.0,1.0,1,False
1.2,1.0,1.0,1,False
1.21,1.0,1.0,1,False
1.22,1.0,1.0,1,False
1.23,1.0,1.0,1,False
1.24,1.0,1.0,1,False
1.25,1.0,1.0,1,False
1.26,1.0,1.0,1,False
1.27,1.0,1.0,1,False
1.28,1.0,1.0,1,False
1.29,1.0,1.0,1,False
1.3,1.0,1.0,1,False
1.31,1.0,1.0,1,False
1.32,1.0,1.0,1,False
1.33,1.0,1.0,1,False
1.34,1.0,1.0,1,False
1.35,1.0,1.0,1,False
1.36,1.0,1.0,1,False
1.37,1.0,1.0,1,False
1.3800000000000001,1.0,1.0,1,False
1.3900000000000001,1.0,1.0,1,False
1.4000000000000001,1.0,1.0,1,False
1.41,1.0,1.0,1,False
1.42,1.0,1.0,1,False
1.43,1.0,1.0,1,False
1.44,1.0,1.0,1,False
1.45,1.0,1.0,1,False
1.46,1.0,1.0,1,False
1.47,1.0,1.0,1,False
1.48,1.0,1.0,1,False
1.49,1.0,1.0,1,False
1.5,1.0,1.0,1,False
1.51,0.0,1.0,1,False
1.52,0.0,1.0,1,False
1.53,0.0,1.0,1,False
1.54,0.0,1.0,1,False
1.55,0.0,1.0,1,False
1.56,0.0,1.0,1,False
1.57,0.0,1.0,1,False
1.58,0.0,1.0,1,False
1.59,0.0,1.0,1,False
1.6,0.0,1.0,1,False
1.61,0.0,1.0,1,False
1.62,0.0,1.0,1,False
1.6300000000000001,0.0,1.0,1,False
1.6400000000000001,0.0,1.0,1,False
1.6500000000000001,0.0,1.0,1,False
1.6600000000000001,0.0,1.0,1,False
1.67,0.0,1.0,1,False
1.68,0.0,1.0,1,False
1.69,0.0,1.0,1,False
1.7,0.0,1.0,1,False
1.71,0.0,1.0,1,False
1.72,0.0,1.0,1,False
1.73,0.0,1.0,1,False
1.74,0.0,1.0,1,False
1.75,0.0,1.0,1,False
1.76,0.0,1.0,1,False
1.77,0.0,1.0,1,False
1.78,0.0,1.0,1,False
1.79,0.0,1.0,1,False
1.8,0.0,1.0,1,False
1.81,0.0,1.0,1,False
1.82,0.0,1.0,1,False
1.83,0.0,1.0,1,False
1.84,0.0,1.0,1,False
1.85,0.0,1.0,1,False
1.86,0.0,1.0,1,False
1.87,0.0,1.0,1,False
1.8800000000000001,0.0,1.0,1,False
1.8900000000000001,0.0,1.0,1,False
1.9000000000000001,0.0,1.0,1,False
1.9100000000000001,0.0,1.0,1,False
1.92,0.0,1.0,1,False
1.93,0.0,1.0,1,False
1.94,0.0,1.0,1,False
1.95,0.0,1.0,1,False
