"time","level","inPort","outPort","leak","der(level)"
0.0,2.0,0.0,0.0,0.0,0.0
0.5,1.4,0.0,1.0,0.2,-1.2
1.0,0.98,0.0,0.7,0.13999999999999999,-0.84
1.5,0.6859999999999999,0.0,0.49,0.098,-0.588
2.0,0.48019999999999996,0.0,0.34299999999999997,0.0686,-0.41159999999999997
2.5,0.33614,0.0,0.24009999999999998,0.04802,-0.28812
3.0,0.235298,0.0,0.16807,0.033614,-0.201684
3.5,0.1647086,0.0,0.117649,0.023529800000000003,-0.1411788
4.0,0.11529602,0.0,0.0823543,0.01647086,-0.09882516000000001
4.5,0.080707214,0.0,0.05764801,0.011529602,-0.069177612
5.0,0.0564950498,0.0,0.040353607,0.0080707214,-0.0484243284
5.5,0.03954653486,0.0,0.0282475249,0.005649504980000001,-0.03389702988
6.0,0.027682574402000004,0.0,0.01977326743,0.0039546534860000005,-0.023727920916
6.5,0.019377802081400004,0.0,0.013841287201000002,0.0027682574402000007,-0.016609544641200003
7.0,0.013564461456980002,0.0,0.009688901040700002,0.0019377802081400005,-0.011626681248840002
7.5,0.009495123019886002,0.0,0.006782230728490001,0.0013564461456980004,-0.008138676874188
8.0,0.006646586113920201,0.0,0.004747561509943001,0.0009495123019886003,-0.005697073811931601
8.5,0.004652610279744141,0.0,0.0033232930569601004,0.0006646586113920202,-0.00398795166835212
9.0,0.0032568271958208985,0.0,0.0023263051398720704,0.0004652610279744141,-0.0027915661678464846
9.5,0.002279779037074629,0.0,0.0016284135979104492,0.00032568271958208987,-0.001954096317492539
10.0,0.0015958453259522403,0.0,0.0011398895185373145,0.0002279779037074629,-0.0013678674222447774
