time,stage_id,valve,level
0.0,stage1,0,0.0
0.01,stage1,0,0.01
0.02,stage1,0,0.02
0.03,stage1,0,0.030000000000000002
0.04,stage1,0,0.04
0.05,stage1,0,0.049999999999999996
0.06,stage1,0,0.05999999999999999
0.07,stage1,0,0.06999999999999998
0.08,stage1,0,0.07999999999999996
0.09,stage1,0,0.08999999999999994
0.1,stage1,0,0.1099999999999999
0.11,stage1,0,0.11999999999999988
0.12,stage1,0,0.1299999999999999
0.13,stage1,0,0.1399999999999999
0.14,stage1,0,0.1499999999999999
0.15,stage1,0,0.1499999999999999
0.16,stage1,0,0.15999999999999992
0.17,stage1,0,0.16999999999999993
0.18,stage1,0,0.17999999999999994
0.19,stage1,0,0.18999999999999995
0.2,stage1,0,0.19999999999999996
0.21,stage1,0,0.20999999999999996
0.22,stage1,0,0.21999999999999997
0.23,stage1,0,0.22999999999999998
0.24,stage1,0,0.24
0.25,stage1,0,0.25
0.26,stage1,0,0.26
0.27,stage1,0,0.27
0.28,stage1,0,0.28
0.29,stage1,0,0.29000000000000004
0.3,stage1,0,0.30000000000000004
0.31,stage1,0,0.31000000000000005
0.32,stage1,0,0.32000000000000006
0.33,stage1,0,0.33000000000000007
0.34,stage1,0,0.3400000000000001
0.35,stage1,0,0.3500000000000001
0.36,stage1,0,0.3600000000000001
0.37,stage1,0,0.3700000000000001
0.38,stage1,0,0.3800000000000001
0.39,stage1,0,0.3900000000000001
0.4,stage1,0,0.40000000000000013
0.41,stage1,0,0.41000000000000014
0.42,stage1,0,0.42000000000000015
0.43,stage1,0,0.43000000000000016
0.44,stage1,0,0.44000000000000017
0.45,stage1,0,0.4500000000000002
0.46,stage1,0,0.4600000000000002
0.47,stage1,0,0.4700000000000002
0.48,stage1,0,0.4800000000000002
0.49,stage1,0,0.4900000000000002
0.5,stage1,0,0.5000000000000002
0.51,stage1,0,0.5100000000000002
0.52,stage1,0,0.5200000000000002
0.53,stage1,0,0.5300000000000002
0.54,stage1,0,0.5400000000000003
0.55,stage1,0,0.5500000000000003
0.56,stage1,0,0.5600000000000003
0.57,stage1,0,0.5700000000000003
0.58,stage1,0,0.5800000000000003
0.59,stage1,0,0.5900000000000003
0.6,stage1,0,0.6000000000000003
0.61,stage1,0,0.6100000000000003
0.62,stage1,0,0.6200000000000003
0.63,stage1,0,0.6300000000000003
0.64,stage1,0,0.6400000000000003
0.65,stage1,0,0.6500000000000004
0.66,stage1,0,0.6600000000000004
0.67,stage1,0,0.6700000000000004
0.68,stage1,0,0.6800000000000004
0.69,stage1,0,0.6900000000000004
0.7,stage1,0,0.7000000000000004
0.71,stage1,0,0.7100000000000004
0.72,stage1,0,0.7200000000000004
0.73,stage1,0,0.7300000000000004
0.74,stage1,0,0.7400000000000004
0.75,stage1,0,0.7500000000000004
0.76,stage1,0,0.7600000000000005
0.77,stage1,0,0.7700000000000005
0.78,stage1,0,0.7800000000000005
0.79,stage1,0,0.7900000000000005
0.8,stage1,0,0.8000000000000005
0.81,stage1,0,0.8100000000000005
0.82,stage1,0,0.8200000000000005
0.83,stage1,0,0.8300000000000005
0.84,stage1,0,0.8400000000000005
0.85,stage1,0,0.8500000000000005
0.86,stage1,0,0.8600000000000005
0.87,stage1,0,0.8700000000000006
0.88,stage1,0,0.8800000000000006
0.89,stage1,0,0.8900000000000006
0.9,stage1,0,0.9000000000000006
0.91,stage1,0,0.9100000000000006
0.92,stage1,0,0.9200000000000006
0.93,stage1,0,0.9300000000000006
0.94,stage1,0,0.9400000000000006
0.95,stage1,0,0.9500000000000006
0.96,stage1,0,0.9600000000000006
0.97,stage1,0,0.9700000000000006
0.98,stage1,0,0.9800000000000006
0.99,stage1,0,0.9900000000000007
1.0,stage1,0,1.0000000000000007
1.01,stage1,0,1.010000000000001
1.02,stage1,0,1.0200000000000011
1.03,stage1,0,1.0300000000000014
1.04,stage1,0,1.0400000000000016
1.05,stage1,0,1.0500000000000018
1.06,stage1,0,1.060000000000002
1.07,stage1,0,1.0700000000000023
1.08,stage1,0,1.0800000000000025
1.09,stage1,0,1.0900000000000027
1.1,stage1,0,1.100000000000003
1.11,stage1,0,1.1100000000000032
1.12,stage1,0,1.1200000000000034
1.13,stage1,0,1.1300000000000037
1.14,stage1,0,1.140000000000004
1.15,stage1,0,1.1500000000000041
1.16,stage1,0,1.1600000000000044
1.17,stage1,0,1.1700000000000046
1.18,stage1,0,1.1800000000000048
1.19,stage1,0,1.190000000000005
1.2,stage1,0,1.2000000000000053
1.21,stage1,0,1.2100000000000055
1.22,stage1,0,1.2200000000000057
1.23,stage1,0,1.230000000000006
1.24,stage1,0,1.2400000000000062
1.25,stage1,0,1.2500000000000064
1.26,stage1,0,1.2600000000000067
1.27,stage1,0,1.270000000000007
1.28,stage1,0,1.2800000000000071
1.29,stage1,0,1.2900000000000074
1.3,stage1,0,1.3000000000000076
1.31,stage1,0,1.3100000000000078
1.32,stage1,0,1.320000000000008
1.33,stage1,0,1.3300000000000083
1.34,stage1,0,1.3400000000000085
1.35,stage1,0,1.3500000000000087
1.36,stage1,0,1.360000000000009
1.37,stage1,0,1.3700000000000092
1.38,stage1,0,1.3800000000000094
1.39,stage1,0,1.3900000000000097
1.4,stage1,0,1.40000000000001
1.41,stage1,0,1.4100000000000101
1.42,stage1,0,1.4200000000000104
1.43,stage1,0,1.4300000000000106
1.44,stage1,0,1.4400000000000108
1.45,stage1,0,1.450000000000011
1.46,stage1,0,1.4600000000000113
1.47,stage1,0,1.4700000000000115
1.48,stage1,0,1.4800000000000118
1.49,stage1,0,1.490000000000012
1.5,stage1,0,1.5000000000000122
1.51,stage1,0,1.5100000000000124
1.52,stage1,0,1.5200000000000127
1.53,stage1,0,1.530000000000013
1.54,stage1,0,1.5400000000000131
1.55,stage1,0,1.5500000000000134
1.56,stage1,0,1.5600000000000136
1.57,stage1,0,1.5700000000000138
1.58,stage1,0,1.580000000000014
1.59,stage1,0,1.5900000000000143
1.6,stage1,0,1.6000000000000145
1.61,stage1,0,1.6100000000000148
1.62,stage1,0,1.620000000000015
1.63,stage1,0,1.6300000000000152
1.64,stage1,0,1.6400000000000154
1.65,stage1,0,1.6500000000000157
1.66,stage1,0,1.660000000000016
1.67,stage1,0,1.6700000000000161
1.68,stage1,0,1.6800000000000164
1.69,stage1,0,1.6900000000000166
1.7,stage1,0,1.7000000000000168
1.71,stage1,0,1.710000000000017
1.72,stage1,0,1.7200000000000173
1.73,stage1,0,1.7300000000000175
1.74,stage1,0,1.7400000000000178
1.75,stage1,0,1.750000000000018
1.76,stage1,0,1.7600000000000182
1.77,stage1,0,1.7700000000000184
1.78,stage1,0,1.7800000000000187
