time,x0,x1
0.0,2.0,0.0
0.01,2.0,-0.02
0.02,1.9998,-0.039400000000000004
0.03,1.999406,-0.05821631518424
0.04,1.9988238368481577,-0.07646526874295347
0.05,1.998059184160728,-0.09416314541661633
0.06,1.9971175527065619,-0.11132614948178365
0.07,1.996004291211744,-0.12797036694519048
0.08,1.994724587542292,-0.14411173171039532
0.09,1.993283470225188,-0.15976599548123582
0.1,1.9916858102703756,-0.17494870116840477
0.11,1.9899363232586915,-0.1896751595692317
0.12,1.9880395716629993,-0.2039604290959825
0.13,1.9859999673720394,-0.21781929833440555
0.14,1.9838217743886954,-0.23126627122162635
0.15,1.9815091116764791,-0.24431555464061103
0.16,1.979065956130073,-0.2569810482370972
0.17,1.976496145647702,-0.2692763362739642
0.18,1.9738033822849623,-0.28121468134734096
0.19,1.970991235471489,-0.29280901979820567
0.2,1.968063145273507,-0.30407195866270587
0.21,1.9650224256868798,-0.3150157740138396
0.22,1.9618722679467413,-0.32565241055640387
0.23,1.9586157438411773,-0.3359934823461759
0.24,1.9552558090177155,-0.3460502745131015
0.25,1.9517953062725844,-0.35583374587677163
0.26,1.9482369688138166,-0.36535453235065307
0.27,1.94458342349031,-0.3746229510393735
0.28,1.9408371939799163,-0.38364900494082965
0.29,1.937000703930508,-0.3924423881719834
0.3,1.9330762800487882,-0.40101249164392483
0.31,1.929066155132349,-0.40936840911811845
0.32,1.9249724710411678,-0.41751894358170905
0.33,1.9207972816053507,-0.4254726138853536
0.34,1.9165425554664972,-0.433237661592277
0.35000000000000003,1.9122101788505745,-0.4408220579921274
0.36,1.9078019582706534,-0.4482335112377519
0.37,1.9033196231582759,-0.4554794735672297
0.38,1.8987648284226035,-0.462567148577409
0.39,1.8941391569368293,-0.4695034985188077
0.4,1.8894441219516414,-0.4762952515850704
0.41000000000000003,1.8846811694357906,-0.48294890917324396
0.42,1.8798516803440581,-0.48947075309395105
0.43,1.8749569728131186,-0.4958668527131281
0.44,1.8699983042859873,-0.5021430720093547
0.45,1.8649768735658938,-0.5083050765329636
0.46,1.8598938228005641,-0.5143583402550829
0.47000000000000003,1.8547502393980133,-0.5203081522965521
0.48,1.8495471578750478,-0.5261596235282744
0.49,1.844285561639765,-0.5319176930360313
0.5,1.8389663847094049,-0.5375871344441158
0.51,1.8335905133649637,-0.5431725620933265
0.52,1.8281587877440304,-0.5486784370699419
0.53,1.822672003373331,-0.5541090730832469
0.54,1.8171309126424986,-0.5594686421900466
0.55,1.811536226220598,-0.5647611803653593
0.56,1.8058886144169444,-0.569990592919158
0.5700000000000001,1.8001887084877528,-0.5751606597596282
0.58,1.7944371018901566,-0.5802750405039306
0.59,1.7886343514851173,-0.5853372794379217
0.6,1.782780978690738,-0.5903508103266776
0.61,1.7768774705874713,-0.5953189610780202
0.62,1.770924280976691,-0.6002449582615322
0.63,1.7649218313940755,-0.6051319314858061
0.64,1.7588705120792174,-0.6099829176368785
0.65,1.7527706829028487,-0.6148008649809803
0.66,1.7466226742530389,-0.6195886371348739
0.67,1.7404267878816901,-0.624349016907163
0.68,1.7341832977126186,-0.629084710014048
0.6900000000000001,1.7278924506124782,-0.6337983486730632
0.7000000000000001,1.7215544671257477,-0.6384924950783788
0.71,1.715169542174964,-0.6431696447612716
0.72,1.7087378457273512,-0.6478322298393788
0.73,1.7022595234289575,-0.6524826221583453
0.74,1.695734697207374,-0.6571231363294537
0.75,1.6891634658440793,-0.6617560326667994
0.76,1.6825459055174112,-0.6663835200275315
0.77,1.675882070317136,-0.6710077585586374
0.78,1.6691719927315496,-0.6756308623536874
0.79,1.6624156841080127,-0.6802549020229043
0.8,1.6556131350877836,-0.6848819071798471
0.81,1.648764316015985,-0.6895138688479362
0.8200000000000001,1.6418691773275056,-0.6941527417899686
0.8300000000000001,1.634927649909606,-0.6988004467636957
0.84,1.627939645441969,-0.7034588727064595
0.85,1.6209050567149044,-0.7081298788517977
0.86,1.6138237579263863,-0.7128152967808495
0.87,1.6066956049585779,-0.7175169324113083
0.88,1.5995204356344648,-0.7222365679265829
0.89,1.592298069955199,-0.7269759636477457
0.9,1.5850283103187215,-0.7317368598507608
0.91,1.577710941720214,-0.7365209785313971
0.92,1.5703457319349,-0.7413300251201539
0.93,1.5629324316836983,-0.7461656901494327
0.9400000000000001,1.555470774782204,-0.7510296508751131
0.9500000000000001,1.5479604782734528,-0.7559235728546027
0.96,1.540401242544907,-0.7608491114833488
0.97,1.5327927514300734,-0.7658079134917183
0.98,1.5251346722951562,-0.7708016184040681
0.99,1.5174266561111156,-0.77583185996175
1.0,1.509668337511498,-0.7809002675117096
