time,stage_id,y
0.29,stage1,-25
0.291,stage1,-25
0.292,stage1,-26
0.293,stage1,-26
0.294,stage1,-26
0.295,stage1,-26
0.296,stage1,-26
0.297,stage1,-26
0.298,stage1,-26
0.299,stage1,-26
0.3,stage1,-26
0.301,stage1,-26
0.302,stage1,-26
0.303,stage1,-26
0.304,stage1,-26
0.305,stage1,-26
0.306,stage1,-26
0.307,stage1,-26
0.308,stage1,-26
0.309,stage1,-26
0.31,stage1,-26
0.311,stage1,-26
0.312,stage1,-27
0.313,stage1,-27
0.314,stage1,-27
0.315,stage1,-27
0.316,stage1,-27
0.317,stage1,-27
0.318,stage1,-27
0.319,stage1,-27
0.32,stage1,-27
0.321,stage1,-27
0.322,stage1,-28
0.323,stage1,-28
0.324,stage1,-28
0.325,stage1,-28
0.326,stage1,-28
0.327,stage1,-28
0.328,stage1,-28
0.329,stage1,-28
0.33,stage1,-28
0.331,stage1,-28
0.332,stage1,-28
0.333,stage1,-28
0.334,stage1,-28
0.335,stage1,-28
0.336,stage1,-28
0.337,stage1,-28
0.338,stage1,-28
0.339,stage1,-28
0.34,stage1,-28
0.341,stage1,-28
0.342,stage1,-29
0.343,stage1,-29
0.344,stage1,-29
0.345,stage1,-29
0.346,stage1,-29
0.347,stage1,-29
0.348,stage1,-29
0.349,stage1,-29
0.35,stage1,-29
0.351,stage1,-29
0.352,stage1,-30
0.353,stage1,-30
0.354,stage1,-30
0.355,stage1,-30
0.356,stage1,-30
0.357,stage1,-30
0.358,stage1,-30
0.359,stage1,-30
0.36,stage1,-30
0.361,stage1,-30
0.362,stage1,-30
0.363,stage1,-30
0.364,stage1,-30
0.365,stage1,-30
0.366,stage1,-30
0.367,stage1,-30
0.368,stage1,-30
0.369,stage1,-30
0.37,stage1,-30
0.371,stage1,-30
0.372,stage1,-31
0.373,stage1,-31
0.374,stage1,-31
0.375,stage1,-31
0.376,stage1,-31
0.377,stage1,-31
0.378,stage1,-31
0.379,stage1,-31
0.38,stage1,-31
0.381,stage1,-31
0.382,stage1,-31
0.383,stage1,-31
0.384,stage1,-31
0.385,stage1,-31
0.386,stage1,-31
0.387,stage1,-31
0.388,stage1,-31
0.389,stage1,-31
0.39,stage1,-31
0.391,stage1,-31
0.392,stage1,-32
0.393,stage1,-32
0.394,stage1,-32
0.395,stage1,-32
0.396,stage1,-32
0.397,stage1,-32
0.398,stage1,-32
0.399,stage1,-32
0.4,stage1,-32
0.401,stage1,-32
0.402,stage1,-33
0.403,stage1,-33
0.404,stage1,-33
0.405,stage1,-33
0.406,stage1,-33
0.407,stage1,-33
0.408,stage1,-33
0.409,stage1,-33
0.41,stage1,-33
0.411,stage1,-33
0.412,stage1,-33
0.413,stage1,-33
0.414,stage1,-33
0.415,stage1,-33
0.416,stage1,-33
0.417,stage1,-33
0.418,stage1,-33
0.419,stage1,-33
0.42,stage1,-33
0.421,stage1,-33
0.422,stage1,-34
0.423,stage1,-34
0.424,stage1,-34
0.425,stage1,-34
0.426,stage1,-34
0.427,stage1,-34
0.428,stage1,-34
0.429,stage1,-34
0.43,stage1,-34
0.431,stage1,-34
0.432,stage1,-34
0.433,stage1,-34
0.434,stage1,-34
0.435,stage1,-34
0.436,stage1,-34
0.437,stage1,-34
0.438,stage1,-34
0.439,stage1,-34
0.44,stage1,-34
0.441,stage1,-34
0.442,stage1,-35
0.443,stage1,-35
0.444,stage1,-35
0.445,stage1,-35
0.446,stage1,-35
0.447,stage1,-35
0.448,stage1,-35
0.449,stage1,-35
0.45,stage1,-35
0.451,stage1,-35
0.452,stage1,-36
0.453,stage1,-36
0.454,stage1,-36
0.455,stage1,-36
0.456,stage1,-36
0.457,stage1,-36
0.458,stage1,-36
0.459,stage1,-36
0.46,stage1,-36
0.461,stage1,-36
0.462,stage1,-36
0.463,stage1,-36
0.464,stage1,-36
0.465,stage1,-36
0.466,stage1,-36
0.467,stage1,-36
0.468,stage1,-36
0.469,stage1,-36
0.47,stage1,-36
0.471,stage1,-36
0.472,stage1,-37
0.473,stage1,-37
0.474,stage1,-37
0.475,stage1,-37
0.476,stage1,-37
0.477,stage1,-37
0.478,stage1,-37
0.479,stage1,-37
0.48,stage1,-37
0.481,stage1,-37
0.482,stage1,-37
0.483,stage1,-37
0.484,stage1,-37
0.485,stage1,-37
0.486,stage1,-37
0.487,stage1,-37
0.488,stage1,-37
0.489,stage1,-37
0.49,stage1,-37
0.491,stage1,-37
0.492,stage1,-38
0.493,stage1,-38
0.494,stage1,-38
0.495,stage1,-38
0.496,stage1,-38
0.497,stage1,-38
0.498,stage1,-38
0.499,stage1,-38
0.5,stage1,-38
0.501,stage1,-38
0.502,stage1,-38
0.503,stage1,-38
0.504,stage1,-38
0.505,stage1,-38
0.506,stage1,-38
0.507,stage1,-38
0.508,stage1,-38
0.509,stage1,-38
0.51,stage1,-38
0.511,stage1,-38
0.512,stage1,-39
0.513,stage1,-39
0.514,stage1,-39
0.515,stage1,-39
0.516,stage1,-39
0.517,stage1,-39
0.518,stage1,-39
0.519,stage1,-39
0.52,stage1,-39
0.521,stage1,-39
0.522,stage1,-39
0.523,stage1,-39
0.524,stage1,-39
0.525,stage1,-39
0.526,stage1,-39
0.527,stage1,-39
0.528,stage1,-39
0.529,stage1,-39
0.53,stage1,-39
0.531,stage1,-39
0.532,stage1,-40
0.533,stage1,-40
0.534,stage1,-40
0.535,stage1,-40
0.536,stage1,-40
0.537,stage1,-40
0.538,stage1,-40
0.539,stage1,-40
0.54,stage1,-40
0.541,stage1,-40
0.542,stage1,-40
0.543,stage1,-40
0.544,stage1,-40
0.545,stage1,-40
0.546,stage1,-40
0.547,stage1,-40
0.548,stage1,-40
0.549,stage1,-40
0.55,stage1,-40
0.551,stage1,-40
0.552,stage1,-41
0.553,stage1,-41
0.554,stage1,-41
0.555,stage1,-41
0.556,stage1,-41
0.557,stage1,-41
0.558,stage1,-41
0.559,stage1,-41
0.56,stage1,-41
0.561,stage1,-41
0.562,stage1,-41
0.563,stage1,-41
0.564,stage1,-41
0.565,stage1,-41
0.566,stage1,-41
0.567,stage1,-41
0.568,stage1,-41
0.569,stage1,-41
0.57,stage1,-41
0.571,stage1,-41
0.572,stage1,-42
0.573,stage1,-42
0.574,stage1,-42
0.575,stage1,-42
0.576,stage1,-42
0.577,stage1,-42
0.578,stage1,-42
0.579,stage1,-42
0.58,stage1,-42
0.581,stage1,-42
0.582,stage1,-42
0.583,stage1,-42
0.584,stage1,-42
0.585,stage1,-42
0.586,stage1,-42
0.587,stage1,-42
0.588,stage1,-42
0.589,stage1,-42
0.59,stage1,-42
0.591,stage1,-42
0.592,stage1,-42
0.593,stage1,-42
0.594,stage1,-42
0.595,stage1,-42
0.596,stage1,-42
0.597,stage1,-42
0.598,stage1,-42
0.599,stage1,-42
0.6,stage1,-42
0.601,stage1,-42
0.602,stage1,-43
0.603,stage1,-43
0.604,stage1,-43
0.605,stage1,-43
0.606,stage1,-43
0.607,stage1,-43
0.608,stage1,-43
0.609,stage1,-43
0.61,stage1,-43
0.611,stage1,-43
0.612,stage1,-43
0.613,stage1,-43
0.614,stage1,-43
0.615,stage1,-43
0.616,stage1,-43
0.617,stage1,-43
0.618,stage1,-43
0.619,stage1,-43
0.62,stage1,-43
0.621,stage1,-43
0.622,stage1,-44
0.623,stage1,-44
0.624,stage1,-44
0.625,stage1,-44
0.626,stage1,-44
0.627,stage1,-44
0.628,stage1,-44
0.629,stage1,-44
0.63,stage1,-44
0.631,stage1,-44
0.632,stage1,-44
0.633,stage1,-44
0.634,stage1,-44
0.635,stage1,-44
0.636,stage1,-44
0.637,stage1,-44
0.638,stage1,-44
0.639,stage1,-44
0.64,stage1,-44
0.641,stage1,-44
0.642,stage1,-45
0.643,stage1,-45
0.644,stage1,-45
0.645,stage1,-45
0.646,stage1,-45
0.647,stage1,-45
0.648,stage1,-45
0.649,stage1,-45
0.65,stage1,-45
0.651,stage1,-45
0.652,stage1,-45
0.653,stage1,-45
0.654,stage1,-45
0.655,stage1,-45
0.656,stage1,-45
0.657,stage1,-45
0.658,stage1,-45
0.659,stage1,-45
0.66,stage1,-45
0.661,stage1,-45
0.662,stage1,-45
0.663,stage1,-45
0.664,stage1,-45
0.665,stage1,-45
0.666,stage1,-45
0.667,stage1,-45
0.668,stage1,-45
0.669,stage1,-45
0.67,stage1,-45
0.671,stage1,-45
0.672,stage1,-46
0.673,stage1,-46
0.674,stage1,-46
0.675,stage1,-46
0.676,stage1,-46
0.677,stage1,-46
0.678,stage1,-46
0.679,stage1,-46
0.68,stage1,-46
0.681,stage1,-46
0.682,stage1,-46
0.683,stage1,-46
0.684,stage1,-46
0.685,stage1,-46
0.686,stage1,-46
0.687,stage1,-46
0.688,stage1,-46
0.689,stage1,-46
0.69,stage1,-46
0.691,stage1,-46
0.692,stage1,-46
0.693,stage1,-46
0.694,stage1,-46
0.695,stage1,-46
0.696,stage1,-46
0.697,stage1,-46
0.698,stage1,-46
0.699,stage1,-46
0.7,stage1,-46
0.701,stage1,-46
0.702,stage1,-47
0.703,stage1,-47
0.704,stage1,-47
0.705,stage1,-47
0.706,stage1,-47
0.707,stage1,-47
0.708,stage1,-47
0.709,stage1,-47
0.71,stage1,-47
0.711,stage1,-47
0.712,stage1,-47
0.713,stage1,-47
0.714,stage1,-47
0.715,stage1,-47
0.716,stage1,-47
0.717,stage1,-47
0.718,stage1,-47
0.719,stage1,-47
0.72,stage1,-47
0.721,stage1,-47
0.722,stage1,-47
0.723,stage1,-47
0.724,stage1,-47
0.725,stage1,-47
0.726,stage1,-47
0.727,stage1,-47
0.728,stage1,-47
0.729,stage1,-47
0.73,stage1,-47
0.731,stage1,-47
0.732,stage1,-48
0.733,stage1,-48
0.734,stage1,-48
0.735,stage1,-48
0.736,stage1,-48
0.737,stage1,-48
0.738,stage1,-48
0.739,stage1,-48
0.74,stage1,-48
0.741,stage1,-48
0.742,stage1,-48
0.743,stage1,-48
0.744,stage1,-48
0.745,stage1,-48
0.746,stage1,-48
0.747,stage1,-48
0.748,stage1,-48
0.749,stage1,-48
0.75,stage1,-48
0.751,stage1,-48
0.752,stage1,-48
0.753,stage1,-48
0.754,stage1,-48
0.755,stage1,-48
0.756,stage1,-48
0.757,stage1,-48
0.758,stage1,-48
0.759,stage1,-48
0.76,stage1,-48
0.761,stage1,-48
0.762,stage1,-49
0.763,stage1,-49
0.764,stage1,-49
0.765,stage1,-49
0.766,stage1,-49
0.767,stage1,-49
0.768,stage1,-49
0.769,stage1,-49
0.77,stage1,-49
0.771,stage1,-49
0.772,stage1,-49
0.773,stage1,-49
0.774,stage1,-49
0.775,stage1,-49
0.776,stage1,-49
0.777,stage1,-49
0.778,stage1,-49
0.779,stage1,-49
