"time","x2","v2"
0.0,0.0,0.0
0.01,5.428775174215241e-05,0.009811024922906862
0.02,0.00020452217529741916,0.019230007399630385
0.03,0.000446831537779146,0.02826577958795764
0.04,0.0007774316659024571,0.03692703531800811
0.05,0.001192624570531238,0.04522233151451329
0.06,0.001688797085439722,0.05316008961755095
0.07,0.002262419520271207,0.06074859700136898
0.08,0.0029100443276728455,0.06799600839094481
0.09,0.003628304784581964,0.07491034727593734
0.1,0.004413913687636009,0.0814995073216996
0.11,0.00526366206267494,0.08777125377703014
0.12,0.006174417888301743,0.09373322487835281
0.13,0.007143124833463692,0.09939293325002309
0.14,0.008166801009013994,0.10475776730047075
0.15,0.009242537733210656,0.109834992613897
0.16,0.010367498311106586,0.11463175333725499
0.17,0.011538916827782342,0.11915507356225075
0.18,0.012754096955370286,0.12341185870211184
0.19,0.014010410773816545,0.12740889686287904
0.2,0.01530529760532462,0.13115286020898587
0.21,0.01663626286242233,0.13465030632289868
0.22,0.018000876909591484,0.1379076795585992
0.23,0.019396773938397456,0.14093131238869838
0.24,0.020821650856054006,0.14372742674498018
0.25,0.02227326618735644,0.14630213535217995
0.26,0.02374943898991447,0.14866144305481072
0.27,0.025248047782614292,0.15081124813685853
0.28,0.026767029487237543,0.15275734363417387
0.29,0.028304378383163256,0.15450541863939507
0.3,0.02985814507507722,0.15606105959924563
0.31,0.03142643547361171,0.15742975160405376
0.32,0.03300740978883685,0.158616879669351
0.33,0.03459928153652388,0.15962773000941066
0.34,0.03620031655709875,0.1604674913025957
0.35,0.03780883204720362,0.16114125594839
0.36,0.03942319560378233,0.16165402131599435
0.37,0.04104182428060498,0.1620106909843739
0.38,0.04266318365714537,0.1622160759736488
0.39,0.0442857869197243,0.16227489596772743
0.4,0.04590819395483055,0.16219178052808497
0.41,0.04752901045453061,0.16197127029859673
0.42,0.04914688703387705,0.16161781820134044
0.43,0.05076051836022485,0.1611357906232872
0.44,0.0523686422943643,0.16052946859380512
0.45,0.05397003904337791,0.15980304895290498
0.46,0.055563530325128674,0.15896064551016262
0.47,0.057147978544285896,0.15800629019425544
0.48,0.0587222859797946,0.1569439341930575
0.49,0.060285393983693605,0.15577744908423963
0.5,0.061836282191187204,0.15451062795632728
0.51,0.06337396774187476,0.15314718652017137
0.52,0.06489750451204196,0.15169076421079256
0.53,0.06640598235791771,0.1501449252795627
0.54,0.06789852636979908,0.14851315987669164
0.55,0.0693742961369481,0.14679888512399034
0.56,0.0708324850231623,0.14500544617788583
0.57,0.07227231945292183,0.14313611728266698
0.58,0.07369305820801521,0.14119410281394223
0.59,0.07509399173454566,0.13918253831229616
0.6,0.07647444146022013,0.13710449150713244
0.61,0.07783375912182273,0.13496296333069557
0.62,0.07917132610277432,0.1327608889222663
0.63,0.08048655278067994,0.13050113862252866
0.64,0.08177887788476604,0.128186518958109
0.65,0.08304776786310876,0.12581977361629157
0.66,0.08429271625955573,0.12340358440991558
0.67,0.08551324310024258,0.12094057223246418
0.68,0.08670889428960658,0.1184332980033557
0.69,0.08787924101579934,0.11588426360345169
0.7,0.0890238791654009,0.11329591280079813
0.71,0.0901424287473376,0.11067063216661824
0.72,0.09123453332590627,0.10801075198157814
0.73,0.09229985946280769,0.10531854713234841
0.74,0.0933380961680926,0.10259623799848659
0.75,0.0943489543599232,0.09984599132966833
0.76,0.09533216633305414,0.09706992111329585
0.77,0.09628748523593673,0.09427008943251551
0.78,0.09721468455635088,0.0914485073146769
0.79,0.09811355761546904,0.08860713557026877
0.8,0.09898391707025732,0.08574788562236767
0.81,0.09982559442411931,0.08287262032663802
0.82,0.10063843954568784,0.07998315478192289
0.83,0.10142232019567114,0.077081257131467
0.84,0.10217712156166017,0.07416864935481461
0.85,0.1029027458008035,0.07124700805042633
0.86,0.10359911159025757,0.0683179652090606
0.87,0.10426615368532063,0.06538310897796647
0.88,0.10490382248515763,0.06244398441593579
0.89,0.10551208360602601,0.05950209423926432
0.9,0.10609091746191135,0.05655889955867193
0.91,0.10664031885248242,0.05361582060723355
0.92,0.10716029655827675,0.05067423745937369
0.93,0.10765087294302694,0.047735490740977944
0.94,0.10811208356303956,0.044800882330676126
0.95,0.10854397678353872,0.04187167605235274
0.96,0.10894661340188655,0.038949098358941094
0.97,0.10932006627759415,0.0360343390075583
0.98,0.10966441996903632,0.03312855172603929
0.99,0.10997977037678484,0.030232854870928662
1.0,0.11026622439347471,0.02734833207698993
1.01,0.11052389956011936,0.02447603289829238
1.02,0.11075292372879049,0.02161697344093634
1.03,0.11095343473157958,0.01877213698747848
1.04,0.11112558005575825,0.01594247461311912
1.05,0.11126951652505548,0.013128905793714103
1.06,0.11138540998697027,0.010332319005674393
1.07,0.11147343500603894,0.007553572317816924
1.08,0.11153377456297715,0.004793493975230714
1.09,0.11156661975961667,0.0020528829752226303
1.1,0.11157216952955862,-0.0006674903645923793
1.11,0.1115506303544646,-0.003366883845991485
1.12,0.1115022159859081,-0.006044582837569152
1.13,0.11142714717270995,-0.008699899729821542
1.14,0.11132565139368057,-0.011332173397824179
1.15,0.11119796259569438,-0.013940768671436616
1.16,0.11104432093702074,-0.01652507581296766
1.17,0.11086497253583798,-0.01908451000223457
1.18,0.11066016922385598,-0.02161851082894939
1.19,0.11043016830497523,-0.024126541792365574
1.2,0.11017523231890969,-0.02660808980811777
1.21,0.10989562880970197,-0.029062664722187735
1.22,0.10959163009906013,-0.03148979883192919
1.23,0.10926351306444543,-0.033889046414084294
1.24,0.10891155892184214,-0.03625998325972461
1.25,0.1085360530131399,-0.03860220621604919
1.26,0.1081372845980608,-0.04091533273497263
1.27,0.10771554665056346,-0.043199000428435774
1.28,0.10727113565965755,-0.04545286663037197
1.29,0.10680435143456214,-0.04767660796526189
1.3,0.10631549691414266,-0.04986991992320961
1.31,0.10580487798056161,-0.05203251644147337
1.32,0.10527280327707858,-0.054164129492384146
1.33,0.1047195840299365,-0.056264508677585146
1.34,0.10414553387427088,-0.05833342082852618
1.35,0.10355096868398017,-0.06037064961314616
1.36,0.10293620640549532,-0.062375995148677754
1.37,0.10230156689538816,-0.06434927362050838
1.38,0.10164737176175809,-0.06629031690703148
1.39,0.10097394420933753,-0.06819897221042272
1.4,0.10028160888825753,-0.07007510169327595
1.41,0.09957069174641489,-0.07191858212103361
1.42,0.09884151988538352,-0.07372930451014681
1.43,0.09809442141981296,-0.07550717378190086
1.44,0.09732972534025776,-0.07725210842184155
1.45,0.09654776137938216,-0.07896404014473864
1.46,0.09574885988148495,-0.08064291356502236
1.47,0.09493335167529005,-0.0822886858726303
1.48,0.09410156794994937,-0.08390132651420079
1.49,0.09325384013420447,-0.08548081687955085
1.5,0.09239049977865466,-0.08702714999337556
1.51,0.09151187844107983,-0.08854033021210746
1.52,0.09061830757476634,-0.09002037292587388
1.53,0.08971011841978589,-0.09146730426549099
1.54,0.08878764189717679,-0.09288116081443348
1.55,0.08785120850597855,-0.09426198932571953
1.56,0.08690114822307082,-0.09560984644365046
1.57,0.08593779040576865,-0.09692479843034542
1.58,0.08496146369712614,-0.09820692089701176
1.59,0.08397249593390169,-0.09945629853989177
1.6,0.08297121405713828,-0.10067302488082724
1.61,0.0819579440253132,-0.10185720201238356
1.62,0.08093301073001136,-0.10300894034747556
1.63,0.07989673791407816,-0.10412835837343758
1.64,0.07884944809220736,-0.10521558241048062
1.65,0.07779146247392053,-0.10627074637448039
1.66,0.07672310088889507,-0.10729399154403951
1.67,0.07564468171459833,-0.10828546633176866
1.68,0.074556521806186,-0.10924532605973086
1.69,0.0734589364286234,-0.11017373273899449
1.7,0.07235223919098902,-0.1110708548532401
1.71,0.07123674198291965,-0.11193686714636765
1.72,0.07011275491315802,-0.11277195041404986
1.73,0.06898058625016328,-0.11357629129917932
1.74,0.06784054236474583,-0.11435008209115596
1.75,0.06669292767468844,-0.11509352052896342
1.76,0.06553804459131599,-0.11580680960798195
1.77,0.06437619346797686,-0.11649015739048678
1.78,0.06320767255039914,-0.11714377681978125
1.79,0.06203277792888584,-0.11776788553791395
1.8,0.06085180349231351,-0.11836270570693026
1.81,0.059665040883899054,-0.11892846383360856
1.82,0.058472779458700226,-0.11946539059763232
1.83,0.05727530624281586,-0.11997372068314933
1.84,0.056072905894251936,-0.12045369261366995
1.85,0.05486586066542067,-0.12090554859025672
1.86,0.05365445036723971,-0.12132953433295855
1.87,0.05243895233479948,-0.12172589892544193
1.88,0.0512196413945667,-0.12209489466277373
1.89,0.049996789833093136,-0.12243677690230917
1.9,0.04877066736719843,-0.1227518039176401
1.91,0.04754154111559693,-0.12304023675555807
1.92,0.04630967557193852,-0.12330233909598844
1.93,0.04507533257923387,-0.12353837711485104
1.94,0.043838771305635356,-0.12374861934980401
1.95,0.042600248221544734,-0.12393333656882782
1.96,0.04136001707801958,-0.1240928016416066
1.97,0.04011832888645084,-0.12422728941366495
1.98,0.0388754318994839,-0.12433707658321813
1.99,0.03763157159315652,-0.12442244158069485
2.0,0.036386990650227,-0.12448366445089108
2.01,0.03514192894466656,-0.12452102673771528
2.02,0.03389662352729013,-0.12453481137148464
2.03,0.03265130861250038,-0.12452530255873304
2.04,0.03140621556612009,-0.12449278567449133
2.05,0.03016157289428815,-0.12443754715700196
2.06,0.028917606233395385,-0.12435987440482907
2.07,0.027674538341036153,-0.12426005567632672
2.08,0.0264325890879525,-0.12413837999142793
2.09,0.02519197545094785,-0.12399513703571735
2.1,0.023952911506747585,-0.12383061706675144
2.11,0.02271560842678419,-0.12364511082259005
2.12,0.021480274472885093,-0.1234389094325035
2.13,0.020247114993841703,-0.12321230432982046
2.14,0.01901633242283825,-0.1229655871668814
2.15,0.017788126275719764,-0.12269904973206365
2.16,0.016562693150078505,-0.12241298386884387
2.17,0.015340226725138755,-0.12210768139686436
2.18,0.014120917762420056,-0.12178343403497048
2.19,0.012904954107159429,-0.12144053332618596
2.2,0.011692520690473275,-0.12107927056459418
2.21,0.010483799532240167,-0.12069993672409322
2.22,0.00927896974468593,-0.12030282238899362
2.23,0.008078207536652738,-0.11988821768642687
2.24,0.0068816862185343275,-0.11945641222053516
2.25,0.005689576207859648,-0.11900769500841067
2.26,0.00450204503550765,-0.11854235441775571
2.27,0.003319257352536127,-0.11806067810623314
2.28,0.002141374937607907,-0.11756295296247858
2.29,0.0009685567049979154,-0.11704946504874525
2.3,-0.00019904128683506444,-0.11652049954515309
2.31,-0.0013612658261278044,-0.11597634069551403
2.32,-0.002517966538158843,-0.11541727175470587
2.33,-0.0036689958750768235,-0.11484357493756742
2.34,-0.004814209105226024,-0.11425553136928768
2.35,-0.005953464301983867,-0.11365342103726275
2.36,-0.007086622332124963,-0.1130375227443942
2.37,-0.008213546843725923,-0.11240811406380269
2.38,-0.009334104253624988,-0.1117654712949317
2.39,-0.010448163734450221,-0.1111098694210159
2.4,-0.011555597201229763,-0.11044158206788945
2.41,-0.012656279297597436,-0.10976088146410952
2.42,-0.013750087381606694,-0.10906803840237103
2.43,-0.014836901511165726,-0.10836332220218886
2.44,-0.015916604429106227,-0.10764700067382364
2.45,-0.01698908154789815,-0.10691934008342824
2.46,-0.018054220934022574,-0.10618060511939205
2.47,-0.01911191329201443,-0.10543105885986051
2.48,-0.02016205194818685,-0.10467096274140752
2.49,-0.02120453283404843,-0.10390057652883904
2.5,-0.022239254469424645,-0.10312015828610611
2.51,-0.023266117945294474,-0.10232996434830621
2.52,-0.02428502690635282,-0.10153024929475168
2.53,-0.02529588753330946,-0.1007212659230848
2.54,-0.02629860852493476,-0.09990326522441907
2.55,-0.027293101079862412,-0.09907649635948661
2.56,-0.028279278878159023,-0.09824120663577171
2.57,-0.029257058062670382,-0.09739764148561142
2.58,-0.03022635722015405,-0.09654604444524362
2.59,-0.03118709736220739,-0.09568665713478393
2.6,-0.03213920190600056,-0.0948197192391124
2.61,-0.033082596654823146,-0.09394546848965223
2.62,-0.03401720977845351,-0.09306414064702183
2.63,-0.03494297179335931,-0.09217596948454276
2.64,-0.0358598155427378,-0.09128118677258601
2.65,-0.036767676176404,-0.09038002226373892
2.66,-0.037666491130535086,-0.08947270367877647
2.67,-0.03855620010727882,-0.0885594566934194
2.68,-0.03943674505423372,-0.08764050492586319
2.69,-0.0403080701438088,-0.08671606992506138
2.7,-0.04117012175247015,-0.08578637115974745
2.71,-0.04202284843988177,-0.08485162600817919
2.72,-0.042866200927947684,-0.08391204974859053
2.73,-0.04370013207976243,-0.08296785555033502
2.74,-0.04452459687847673,-0.08201925446570645
2.75,-0.04533955240608499,-0.08106645542242144
2.76,-0.04614495782214125,-0.08010966521674967
2.77,-0.04694077434240986,-0.07914908850727742
2.78,-0.04772696521745727,-0.07818492780929018
2.79,-0.04850349571119095,-0.07721738348976064
2.8,-0.049270333079351476,-0.07624665376292837
2.81,-0.050027446547963574,-0.07527293468645771
2.82,-0.05077480729175191,-0.07429642015816054
2.83,-0.05151238841252713,-0.07331730191327154
2.84,-0.05224016491754761,-0.07233576952226227
2.85,-0.052958113697862234,-0.07135201038918214
2.86,-0.053666213506639575,-0.07036620975051372
2.87,-0.05436444493748812,-0.06937855067453041
2.88,-0.05505279040277309,-0.06838921406114401
2.89,-0.05573123411193414,-0.06739837864223097
2.9,-0.05639976204980903,-0.06640622098242557
2.91,-0.05705836195496766,-0.06541291548036857
2.92,-0.05770702329806114,-0.0644186343704002
2.93,-0.05834573726019005,-0.06342354772468671
2.94,-0.058974496711296474,-0.06242782345576923
2.95,-0.05959329618858359,-0.06143162731952488
2.96,-0.0602021318749673,-0.06043512291852913
2.97,-0.06080100157756345,-0.059438471705809647
2.98,-0.06138990470621486,-0.05844183298898119
2.99,-0.06196884225206163,-0.05744536393475181
3.0,-0.06253781676615856,-0.0564492195737906
3.01,-0.0630968323381432,-0.05545355280594743
3.02,-0.06364589457495792,-0.054458514405815214
3.03,-0.0641850105796296,-0.05346425302862551
3.04,-0.06471418893010979,-0.052470915216468426
3.05,-0.06523343965817918,-0.051478645404827814
3.06,-0.0657427742284188,-0.050487585929423075
3.07,-0.06624220551725142,-0.04949787703334898
3.08,-0.06673174779205596,-0.04850965687450499
3.09,-0.06721141669035766,-0.047523061533305856
3.1,-0.067681229199097,-0.04653822502066531
3.11,-0.06814120363397973,-0.04555527928624484
3.12,-0.06859135961891102,-0.044574354226959774
3.13,-0.06903171806551596,-0.04359557769573483
3.14,-0.06946230115274885,-0.042619075510501696
3.15,-0.06988313230659392,-0.041644971463431116
3.16,-0.07029423617985961,-0.040673387330392205
3.17,-0.07069563863206844,-0.039704442880631866
3.18,-0.07108736670944527,-0.03873825588666732
3.19,-0.07146944862500518,-0.0377749421343847
3.2,-0.07184191373874367,-0.03681461543333702
3.21,-0.07220479253793097,-0.03585738762723512
3.22,-0.07255811661751206,-0.03490336860462453
3.23,-0.07290191866061474,-0.033952666309742426
3.24,-0.07323623241916688,-0.03300538675354806
3.25,-0.0735610926946253,-0.032061634024920634
3.26,-0.07387653531881712,-0.031121510302018623
3.27,-0.0741825971348959,-0.030185115863794472
3.28,-0.07447931597841355,-0.02925254910165904
3.29,-0.07476673065850976,-0.02832390653129006
3.3,-0.07504488093922024,-0.027399282804578918
3.31,-0.07531380752090523,-0.026478770721710482
3.32,-0.07557355202179947,-0.02556246124337039
3.33,-0.07582415695968486,-0.024650443503074784
3.34,-0.07606566573368724,-0.023742804819617103
3.35,-0.07629812260619796,-0.022839630709627103
3.36,-0.07652157268492205,-0.021941004900236948
3.37,-0.0767360619050532,-0.02104700934184969
3.38,-0.0769416370115773,-0.020157724221005306
3.39,-0.07713834554170491,-0.019273227973339656
3.4,-0.07732623580743389,-0.018393597296631786
3.41,-0.07750535687824309,-0.017518907163935143
3.42,-0.0776757585639176,-0.01664923083678827
3.43,-0.07783749139750669,-0.015784639878500793
3.44,-0.07799060661841485,-0.014925204167510362
3.45,-0.07813515615562686,-0.014070991910806612
3.46,-0.07827119261106748,-0.013222069657417948
3.47,-0.07839876924309629,-0.012378502311957345
3.48,-0.07851793995013825,-0.011540353148223237
3.49,-0.07862875925445068,-0.010707683822851762
3.5,-0.07873128228602676,-0.009880554389016636
3.51,-0.07882556476663681,-0.009059023310173093
3.52,-0.07891166299400648,-0.008243147473842291
3.53,-0.07898963382613372,-0.007432982205432775
3.54,-0.07905953466574364,-0.006628581282095611
3.55,-0.07912142344488236,-0.005829996946609853
3.56,-0.07917535860964982,-0.005037279921295127
3.57,-0.07922139910507169,-0.004250479421948184
3.58,-0.07925960436011106,-0.003469643171800287
3.59,-0.07929003427281951,-0.002694817415492455
3.6,-0.07931274919562821,-0.0019260469330655624
3.61,-0.07932780992077881,-0.0011633750539624427
3.62,-0.07933527766589471,-0.00040684367103915284
3.63,-0.0793352140596921,0.0003435067454173584
3.64,-0.07932768112783149,0.0010876371336678635
