time,h,v
0.0,1.0,0.0
0.000225,1.0,0.0
0.00045,1.0,0.0
0.000675,1.0,0.0
0.0009,1.0,0.0
0.001125,1.0,-0.009810000000000001
0.00135,1.0,-0.009810000000000001
0.001575,1.0,-0.009810000000000001
0.0018,1.0,-0.009810000000000001
0.002025,0.99999019,-0.019620000000000002
0.00225,0.99999019,-0.019620000000000002
0.0024749999999999998,0.99999019,-0.019620000000000002
0.0027,0.99999019,-0.019620000000000002
0.002925,0.99997057,-0.029430000000000005
0.00315,0.99997057,-0.029430000000000005
0.003375,0.99997057,-0.029430000000000005
0.0036,0.99997057,-0.029430000000000005
0.003825,0.99997057,-0.029430000000000005
0.00405,0.99994114,-0.039240000000000004
0.004275,0.99994114,-0.039240000000000004
0.0045,0.99994114,-0.039240000000000004
0.004725,0.99994114,-0.039240000000000004
0.0049499999999999995,0.9999019,-0.04905
0.005175,0.9999019,-0.04905
0.0054,0.9999019,-0.04905
0.005625,0.9999019,-0.04905
0.00585,0.9999019,-0.04905
0.006075,0.99985285,-0.05886
0.0063,0.99985285,-0.05886
0.0065249999999999996,0.99985285,-0.05886
0.00675,0.99985285,-0.05886
0.006974999999999999,0.99979399,-0.06867000000000001
0.0072,0.99979399,-0.06867000000000001
0.007425,0.99979399,-0.06867000000000001
0.00765,0.99979399,-0.06867000000000001
0.007875,0.99979399,-0.06867000000000001
0.0081,0.99972532,-0.07848000000000001
0.008324999999999999,0.99972532,-0.07848000000000001
0.00855,0.99972532,-0.07848000000000001
0.008775,0.99972532,-0.07848000000000001
0.009,0.99964684,-0.08829000000000001
0.009225,0.99964684,-0.08829000000000001
0.00945,0.99964684,-0.08829000000000001
0.009675,0.99964684,-0.08829000000000001
0.009899999999999999,0.99964684,-0.08829000000000001
0.010125,0.99955855,-0.0981
0.01035,0.99955855,-0.0981
0.010575,0.99955855,-0.0981
0.0108,0.99955855,-0.0981
0.011025,0.9994604500000001,-0.10791
0.01125,0.9994604500000001,-0.10791
0.011474999999999999,0.9994604500000001,-0.10791
0.0117,0.9994604500000001,-0.10791
0.011925,0.9993525400000001,-0.11772
0.01215,0.9993525400000001,-0.11772
0.012374999999999999,0.9993525400000001,-0.11772
0.0126,0.9993525400000001,-0.11772
0.012825,0.9993525400000001,-0.11772
0.013049999999999999,0.9992348200000001,-0.12753
0.013275,0.9992348200000001,-0.12753
0.0135,0.9992348200000001,-0.12753
0.013725,0.9992348200000001,-0.12753
0.013949999999999999,0.9991072900000001,-0.13734000000000002
0.014175,0.9991072900000001,-0.13734000000000002
0.0144,0.9991072900000001,-0.13734000000000002
0.014624999999999999,0.9991072900000001,-0.13734000000000002
0.01485,0.9991072900000001,-0.13734000000000002
0.015075,0.9989699500000001,-0.14715000000000003
0.0153,0.9989699500000001,-0.14715000000000003
0.015524999999999999,0.9989699500000001,-0.14715000000000003
0.01575,0.9989699500000001,-0.14715000000000003
0.015975,0.9988228000000001,-0.15696000000000004
0.0162,0.9988228000000001,-0.15696000000000004
0.016425,0.9988228000000001,-0.15696000000000004
0.016649999999999998,0.9988228000000001,-0.15696000000000004
0.016875,0.9988228000000001,-0.15696000000000004
0.0171,0.9986658400000001,-0.16677000000000006
0.017325,0.9986658400000001,-0.16677000000000006
0.01755,0.9986658400000001,-0.16677000000000006
0.017775,0.9986658400000001,-0.16677000000000006
0.018,0.9984990700000002,-0.17658000000000007
0.018224999999999998,0.9984990700000002,-0.17658000000000007
0.01845,0.9984990700000002,-0.17658000000000007
0.018675,0.9984990700000002,-0.17658000000000007
0.0189,0.9984990700000002,-0.17658000000000007
0.019125,0.9983224900000002,-0.18639000000000008
0.01935,0.9983224900000002,-0.18639000000000008
0.019575,0.9983224900000002,-0.18639000000000008
0.019799999999999998,0.9983224900000002,-0.18639000000000008
0.020025,0.9981361000000002,-0.1962000000000001
0.02025,0.9981361000000002,-0.1962000000000001
0.020475,0.9981361000000002,-0.1962000000000001
0.0207,0.9981361000000002,-0.1962000000000001
0.020925,0.9979399000000002,-0.2060100000000001
0.02115,0.9979399000000002,-0.2060100000000001
0.021374999999999998,0.9979399000000002,-0.2060100000000001
0.0216,0.9979399000000002,-0.2060100000000001
