time,outputs[1],outputs[2]
0.0,25.0,20.0
0.01,25.0,20.099827934039865
0.02,25.0,20.199514434366904
0.03,25.0,20.299108505411596
0.04,25.0,20.398579039260483
0.05,25.0,20.497831368980542
0.06,25.0,20.59696137015709
0.07,25.0,20.695969042790125
0.08,25.0,20.794854386879706
0.09,25.0,20.893617402425775
0.1,25.0,20.992258089428333
0.11,25.0,21.090776447887436
0.12,25.0,21.18917247780297
0.13,25.0,21.287432802039405
0.14,25.0,21.38550486576571
0.15,25.0,21.483446590686867
0.16,25.0,21.581257976802988
0.17,25.0,21.67893902411396
0.18,25.0,21.77648973261978
0.19,25.0,21.873910102320565
0.2,25.0,21.9712001332162
0.21,25.0,22.068359825306686
0.22,25.0,22.16538917859208
0.23,25.0,22.26228819307238
0.24,25.0,22.359056868747587
0.25,25.0,22.455695205617644
0.26,25.0,22.55220320368261
0.27,25.0,22.648580862942424
0.28,25.0,22.744828183397203
0.29,25.0,22.840945165046776
0.3,25.0,22.936931807891312
0.31,25.0,23.0327881119307
0.32,25.0,23.128513977833222
0.33,25.0,23.224109458036992
0.34,25.0,23.31957458642188
0.35000000000000003,25.0,23.414909362987885
0.36,25.0,23.51011378773495
0.37,25.0,23.60518786066308
0.38,25.0,23.700131581772382
0.39,25.0,23.79494495106269
0.4,25.0,23.889627968534114
0.41000000000000003,25.0,23.984180634186657
0.41167442489027006,25.0,24.000000027315025
0.41167442489027006,25.0,24.000000027315025
0.42,25.0,24.07860294802032
0.43,25.0,24.172894910034984
0.44,25.0,24.267056520230824
0.45,25.0,24.361087778607725
0.46,25.0,24.454988685165688
0.47000000000000003,25.0,24.548759239904825
0.48,25.0,24.642399442824967
0.49,25.0,24.735909293926227
0.5,25.0,24.829288793208605
0.51,25.0,24.922537940672044
0.52,25.0,25.01567636047679
0.53,25.0,25.108693692843133
0.54,25.0,25.201583244418657
0.55,25.0,25.294345015203362
0.56,25.0,25.386979005197247
0.5700000000000001,25.0,25.479485214400313
0.58,25.0,25.571863642812616
0.59,25.0,25.6641142904341
0.6,25.0,25.756237157264707
0.61,25.0,25.84823224330455
0.62,25.0,25.940099548553576
0.6265278295136282,25.0,26.000000027315025
0.6265278295136282,25.0,26.000000027315025
0.6265279205636153,25.0,25.999999972685032
0.6265279205636153,25.0,25.999999972685032
0.63,25.0,25.997917636156387
0.64,25.0,25.991929842441493
0.65,25.0,25.985946805658045
0.66,25.0,25.979967755500297
0.67,25.0,25.97399269196825
0.68,25.0,25.968028655430032
0.6900000000000001,25.0,25.962075684790364
0.7000000000000001,25.0,25.95612798020278
0.71,25.0,25.95018554166728
0.72,25.0,25.944248369183867
0.73,25.0,25.93831646275254
0.74,25.0,25.932389822373295
0.75,25.0,25.926468448046137
0.76,25.0,25.920552339771064
0.77,25.0,25.914641497548075
0.78,25.0,25.908735921377172
0.79,25.0,25.902835611258354
0.8,25.0,25.89694056719162
0.81,25.0,25.891050789176973
0.8200000000000001,25.0,25.885166277214466
0.8300000000000001,25.0,25.87928703130399
0.84,25.0,25.873413051445596
0.85,25.0,25.867544337639345
0.86,25.0,25.861680889885122
0.87,25.0,25.855822708182984
0.88,25.0,25.849971727156856
0.89,25.0,25.844127957497335
0.9,25.0,25.838289805463717
0.91,25.0,25.832457271055944
0.92,25.0,25.826630354274016
0.93,25.0,25.82080905511799
0.9400000000000001,25.0,25.81499337358781
0.9500000000000001,25.0,25.809183309683533
0.96,25.0,25.8033788634051
0.97,25.0,25.79758003475257
0.98,25.0,25.791786823725886
0.99,25.0,25.785999230325046
1.0,25.0,25.78021725455011
1.01,25.0,25.774440896401074
1.02,25.0,25.768670155877828
1.03,25.0,25.76290503298054
1.04,25.0,25.757145527709042
1.05,25.0,25.751391640063446
1.06,25.0,25.74564337004375
1.07,25.0,25.739900717649903
1.08,25.0,25.734163912529084
1.09,25.0,25.72843295595038
1.1,25.0,25.722707658730712
1.11,25.0,25.71698802087002
1.12,25.0,25.71127404236836
1.1300000000000001,25.0,25.705565723225675
1.1400000000000001,25.0,25.699863063442024
1.1500000000000001,25.0,25.694166063017406
1.16,25.0,25.688474721951764
1.17,25.0,25.682789040245154
1.18,25.0,25.67710901789752
1.19,25.0,25.67143465490892
1.2,25.0,25.665765951279354
1.21,25.0,25.660102907008763
1.22,25.0,25.654445522097205
1.23,25.0,25.64879379654468
1.24,25.0,25.64314773035113
1.25,25.0,25.637507323516616
1.26,25.0,25.631872576041076
1.27,25.0,25.62624348792457
1.28,25.0,25.620619724945016
1.29,25.0,25.615001285255516
1.3,25.0,25.609388444187744
1.31,25.0,25.603781201741697
1.32,25.0,25.59817955791749
1.33,25.0,25.59258351271501
1.34,25.0,25.586993066134312
1.35,25.0,25.581408218175397
1.36,25.0,25.575828968838266
1.37,25.0,25.57025531812286
1.3800000000000001,25.0,25.56468726602924
1.3900000000000001,25.0,25.5591248125574
1.4000000000000001,25.0,25.553567957707287
1.41,25.0,25.548016701478957
1.42,25.0,25.54247104387241
1.43,25.0,25.536930984887647
1.44,25.0,25.53139652452461
1.45,25.0,25.525867662783355
1.46,25.0,25.520344399663884
1.47,25.0,25.514826735166196
1.48,25.0,25.50931415398253
1.49,25.0,25.503806653265315
1.5,25.0,25.498304657524443
1.51,25.0,25.492808166759914
1.52,25.0,25.48731718097173
1.53,25.0,25.481831700159887
1.54,25.0,25.47635172432433
1.55,25.0,25.470877253465176
1.56,25.0,25.465408287582306
1.57,25.0,25.45994482667578
1.58,25.0,25.454486870745598
1.59,25.0,25.449034419791758
1.6,25.0,25.44358747381426
1.61,25.0,25.43814603281311
1.62,25.0,25.43271009678824
1.6300000000000001,25.0,25.427279665739775
1.6400000000000001,25.0,25.421854739667594
1.6500000000000001,25.0,25.416435318571757
1.6600000000000001,25.0,25.41102140245232
1.67,25.0,25.40561299130917
1.68,25.0,25.4002095170473
1.69,25.0,25.394810976527538
1.7,25.0,25.389417837745782
1.71,25.0,25.384030100702034
1.72,25.0,25.378647765396295
1.73,25.0,25.373270831828563
1.74,25.0,25.367899299998896
1.75,25.0,25.362533169907238
1.76,25.0,25.357172441553587
1.77,25.0,25.351817114937944
1.78,25.0,25.346467190060366
1.79,25.0,25.34112266692074
1.8,25.0,25.335783545519178
1.81,25.0,25.330449825855624
1.82,25.0,25.325121507930135
1.83,25.0,25.319798591742597
1.84,25.0,25.314481077293124
1.85,25.0,25.30916896458166
1.86,25.0,25.3038622536082
1.87,25.0,25.298560944372753
1.8800000000000001,25.0,25.29326445889103
1.8900000000000001,25.0,25.28797279396906
1.9000000000000001,25.0,25.28268642574966
1.9100000000000001,25.0,25.277405354232826
1.92,25.0,25.272129579418504
1.93,25.0,25.26685910130675
1.94,25.0,25.261593919897507
1.95,25.0,25.256334035190832
1.96,25.0,25.25107944718667
1.97,25.0,25.24583015588513
1.98,25.0,25.240586161286046
1.99,25.0,25.235347463389587
2.0,25.0,25.23011406219564
2.0000000002,25.0,25.23011406209099
2.0000000002,25.000000000833335,25.23011406209099
2.0100000000000002,25.04166666666667,25.224890699352272
2.02,25.083333333333336,25.219683985753477
2.0300000000000002,25.125000000000004,25.21448710186354
2.04,25.166666666666668,25.20929367046938
2.05,25.208333333333336,25.204103691571106
2.06,25.25,25.19891716516861
2.07,25.291666666666668,25.193734091261945
2.08,25.333333333333336,25.188554469851113
2.09,25.375,25.183378300936056
2.1,25.41666666666667,25.17820558451689
2.11,25.458333333333336,25.173036320593496
2.12,25.5,25.167870509165937
2.13,25.541666666666668,25.16270815023421
2.14,25.583333333333336,25.157549243798258
2.15,25.625,25.15240273872081
2.16,25.66666666666667,25.147263130539272
2.17,25.708333333333336,25.14212807315215
2.18,25.75,25.136997566559444
2.19,25.791666666666668,25.131871610761095
2.2,25.833333333333336,25.12675020575722
2.21,25.875,25.1216333515477
2.22,25.91666666666667,25.116521048132597
2.23,25.958333333333336,25.111413295511852
2.24,26.000000000000004,25.106310093685522
2.25,26.041666666666668,25.101211442653664
2.2600000000000002,26.083333333333336,25.096117342416107
2.26273409301235,26.09472538755146,25.09472536023651
2.26273409301235,26.09472538755146,25.09472536023651
2.262734103665708,26.094725431940454,25.09472545925547
2.262734103665708,26.094725431940454,25.09472545925547
2.27,26.125,25.162161925094722
2.2800000000000002,26.16666666666667,25.2546552730592
2.29,26.208333333333336,25.34692644482766
2.3000000000000003,26.250000000000004,25.439113333909802
2.31,26.29166666666667,25.531215940305742
2.32,26.333333333333336,25.623234264015366
2.33,26.375,25.71516830503873
2.34,26.416666666666668,25.80701806337578
2.35,26.458333333333336,25.898783539026567
2.36,26.5,25.990464731991096
2.37,26.54166666666667,26.082061642269366
2.38,26.583333333333336,26.173546536737206
2.39,26.625,26.264815434590787
2.4,26.666666666666668,26.355973187357847
2.41,26.708333333333336,26.447019795038386
2.42,26.75,26.537955257632348
2.43,26.79166666666667,26.628779575139788
2.44,26.833333333333336,26.719492747560707
2.45,26.875,26.810094774895106
2.46,26.916666666666668,26.900585657142983
2.47,26.958333333333336,26.990965394304283
2.48,27.0,27.08123398637906
2.49,27.04166666666667,27.171339731665455
2.5,27.083333333333336,27.261307063720892
2.5100000000000002,27.125000000000004,27.351156205297684
2.52,27.166666666666668,27.44088715639589
2.5300000000000002,27.208333333333336,27.530499917015504
2.54,27.25,27.619994487156475
2.5500000000000003,27.29166666666667,27.70937086681886
2.56,27.333333333333336,27.798629056002596
2.57,27.375,27.88776905470769
2.58,27.41666666666667,27.97679086293425
2.59,27.458333333333336,28.06569448068211
2.6,27.5,28.15447990795144
2.61,27.541666666666668,28.243147144742125
2.62,27.583333333333336,28.331696191054164
2.63,27.625,28.420127046887615
2.64,27.66666666666667,28.50843971224242
2.65,27.708333333333336,28.59663418711864
2.66,27.75,28.68471047151627
2.67,27.791666666666668,28.772668565435254
2.6741114339494776,27.80879764145616,28.808797668771206
2.6741114339494776,27.80879764145616,28.808797668771206
2.6741114447725587,27.80879768655233,28.80879765923737
2.6741114447725587,27.80879768655233,28.80879765923737
2.68,27.833333333333336,28.80361538813952
2.69,27.875,28.794833892458257
2.7,27.91666666666667,28.786067263614655
2.71,27.958333333333336,28.777306465537265
2.72,28.000000000000004,28.76855149822609
2.73,28.041666666666668,28.759802361681068
2.74,28.083333333333336,28.751059055902203
2.75,28.125,28.742321580889552
2.7600000000000002,28.16666666666667,28.733589936643114
2.77,28.208333333333336,28.72486412316283
2.7800000000000002,28.250000000000004,28.71615019542992
2.79,28.29166666666667,28.707456187816035
2.8000000000000003,28.333333333333336,28.69876987271823
2.81,28.375,28.690091250136618
2.82,28.416666666666668,28.68142032007114
2.83,28.458333333333336,28.67275708252174
2.84,28.5,28.664101537488534
2.85,28.54166666666667,28.655453684971462
2.86,28.583333333333336,28.64681352497047
2.87,28.625,28.638181057485667
2.88,28.666666666666668,28.629556282516944
2.89,28.708333333333336,28.620939200064413
2.9,28.75,28.61232981012796
2.91,28.79166666666667,28.603728112707643
2.92,28.833333333333336,28.595134107803517
2.93,28.875000000000004,28.58654779541547
2.94,28.916666666666668,28.577969175543615
2.95,28.958333333333336,28.569398248187838
2.96,29.0,28.560835013348196
2.97,29.04166666666667,28.55227947102469
2.98,29.083333333333336,28.543733283797735
2.99,29.125000000000004,28.53519865774996
3.0,29.166666666666668,28.526672235418744
3.0100000000000002,29.208333333333336,28.51815401680409
3.02,29.25,28.50964400190594
3.0300000000000002,29.29166666666667,28.50114219072441
3.04,29.333333333333336,28.492648583259438
3.0500000000000003,29.375000000000004,28.48416317951103
3.06,29.41666666666667,28.47568597947918
