time,xpos,ypos,distance
0.0,0.005278819101408372,0.00021810554534926427,5283
0.106,0.0052997270210108915,0.00021546967176603433,5304
0.207,0.005319856188743088,0.00021705142458667732,5324
0.308,0.0053166483073240345,0.00021700466903649225,5321
0.411,0.005323443543990836,0.0002163963397207749,5327
0.514,0.005360261019148549,0.00021727873042110931,5364
0.622,0.005392891717139414,0.00021751290501506167,5397
0.723,0.005408103374080153,0.00022188978166707822,5412
0.826,0.0054324295699826886,0.00022475124195343228,5437
0.93,0.005443995738725893,0.00022677594707796257,5448
1.034,0.005446776378596474,0.00023257260698132426,5451
1.136,0.005464238209002548,0.00023380311075352125,5469
1.239,0.005505645569171214,0.00023264300894813473,5510
1.341,0.005537656681627978,0.00023373423413211944,5542
1.442,0.005555061198135869,0.0002274644485616977,5559
1.544,0.0055553874367066935,0.0002298005470023222,5560
1.645,0.005586647832993785,0.00022971201710546486,5591
1.746,0.005607861446561557,0.00023241767372224158,5612
1.847,0.005638604004916226,0.0002329356927968186,5643
1.95,0.005681106800315305,0.0002371067073253509,5686
2.051,0.005720323924931825,0.00023706887001667847,5725
2.152,0.0057780761188838126,0.00022915385272235663,5782
2.254,0.0058216654485656605,0.0002245250740008512,5825
2.356,0.005874238513347452,0.00022108585144504323,5878
2.458,0.0059058576895172354,0.00022400096279714835,5910
2.559,0.005949891682321962,0.00022113269085551854,5953
2.663,0.005962974203556959,0.0002208421785190639,5967
2.765,0.005940728995304179,0.000219067986095547,5944
2.868,0.005905213888147909,0.00021185825690761879,5909
2.97,0.005917711011103499,0.00021161205502013972,5921
3.072,0.005927561101129131,0.00020928703710554862,5931
3.174,0.00592317103000739,0.00020651728756084447,5926
3.275,0.005911599181249172,0.00020283491819570145,5915
3.377,0.005915795169448956,0.00019992235499111563,5919
3.479,0.005938251225165003,0.00020144971410562536,5941
3.58,0.005938379102070401,0.00020085919246797839,5941
3.682,0.005946886680963548,0.00019448721239361194,5950
3.784,0.005991033863022355,0.00019560975100405182,5994
3.887,0.006015789338253197,0.00020120754123505174,6019
3.994,0.006056828945702919,0.00020338998748413307,6060
4.097,0.006068636429166663,0.00020289025629497039,6072
4.2,0.0060662393185227925,0.00019851924703610246,6069
4.302,0.006057844365222942,0.00020205320170947112,6061
4.404,0.006060192274231824,0.00020169887033098083,6063
4.506,0.00605073050915772,0.0002054930667116391,6054
4.608,0.006046497966426645,0.00020790238353354825,6050
4.709,0.006067774858764308,0.00021851843102164588,6071
4.811,0.006092092997927456,0.00021957838275175128,6096
4.912,0.0061047294630340865,0.00021662473232526855,6108
5.013,0.006111423515879122,0.00021820711319525007,6115
5.116,0.0061282851643790215,0.000220417356720516,6132
5.218,0.00613043918591849,0.00021961211284469563,6134
5.321,0.006140785466089871,0.00021902817120551544,6144
5.423,0.006172685251862653,0.0002155485617498588,6176
5.525,0.006191910288714464,0.00021744655407100706,6195
5.627,0.006217964712133428,0.0002257506677699912,6222
5.729,0.006230531795401784,0.0002262669283427455,6234
5.83,0.006266109642143358,0.00022667720777412115,6270
5.931,0.00627417531340535,0.00022421583291579733,6278
6.034,0.006285698776293702,0.00022365207883717303,6289
6.135,0.006299717295434104,0.00022710324579289665,6303
6.237,0.006316352983565809,0.0002226654848043847,6320
6.338,0.00630493088296713,0.00021975649524125525,6308
6.44,0.006331112208777023,0.00022479942386115126,6335
6.542,0.006355314357197606,0.0002248573546937892,6359
6.643,0.006393410914454001,0.00022278144604649216,6397
6.746,0.006411086849447578,0.00022844362582878592,6415
6.849,0.00645968229417293,0.0002261683115384492,6463
6.953,0.006509911152769443,0.00022342462323397762,6513
7.055,0.006573982455380545,0.00023058769086358117,6578
7.159,0.006624060890067951,0.00023116824841687894,6628
7.261,0.006631523804927597,0.00023708927142398412,6635
7.363,0.006664742368318155,0.00023228958768329967,6668
7.465,0.006693969644504527,0.00023343781985020603,6698
7.566,0.00672322399176517,0.00023454243238142715,6727
7.669,0.006739112046195372,0.00023051890223532858,6743
7.771,0.006740155936667547,0.00022818794263620388,6744
7.873,0.006780431283200161,0.0002373781604373638,6784
7.974,0.006790616116592818,0.0002398607625206142,6794
8.076,0.0067974262913451655,0.00023757723218975434,6801
8.178,0.006806364721585689,0.0002345440837873753,6810
8.28,0.006828394367265789,0.00023567954203622355,6832
8.382,0.006838399750012436,0.00024083396397866266,6842
8.483,0.006871575303781685,0.00024443694714679773,6875
8.586,0.006872983326977833,0.00024043481796614196,6877
8.689,0.006881290090889225,0.00024590634209439795,6885
8.791,0.006870481058419808,0.00024968232160438254,6875
8.894,0.006848284260069115,0.0002465417848814367,6852
9.001,0.006834608195253722,0.0002475495265670222,6839
9.104,0.006822078276006893,0.0002502999608833651,6826
9.208,0.006832974062977115,0.00025232332488545463,6837
9.31,0.00682980426948554,0.00025288549519267067,6834
9.413,0.006812190859975309,0.00025567867329633504,6816
9.515,0.006805139731253407,0.00025591352940705853,6809
9.617,0.0068136396891536055,0.00025040941752742154,6818
9.721,0.006822660290091043,0.0002540156636522473,6827
9.824,0.006861068429456774,0.000249298089580482,6865
9.926,0.006931975634535403,0.00025327814335603403,6936
10.028,0.006959882804120965,0.00025651290155007155,6964
10.13,0.006986278036246962,0.00026445888281114745,6991
10.232,0.007025599101443181,0.00025963758384173793,7030
10.332,0.007025599101443181,0.00025963758384173793,7030
10.432,0.007025599101443181,0.00025963758384173793,7030
10.532,0.007025599101443181,0.00025963758384173793,7030
